"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","qValuesBatch","pValuesBatch","SYMBOL"
"202149_at",-0.400303185907462,4.55698793294981,-6.96055675599308,0.000805148929971745,0.895783980078545,-2.29773543031296,NA,NA,"NEDD9"
"221011_s_at",-0.416881188799993,6.17796160830078,-6.81391977560409,0.000890859229870199,0.895783980078545,-2.31723211329658,NA,NA,"LBH"
"219312_s_at",-0.428782017945184,5.46384248713836,-6.73129854766996,0.000943863156492153,0.895783980078545,-2.32864878764954,NA,NA,"ZBTB10"
"210767_at",-0.402586168762057,4.01642545303751,-6.50993654632662,0.00110516906013126,0.895783980078545,-2.36086813365464,NA,NA,"NF2"
"208441_at",-0.369126248805351,3.98533513864749,-6.34921438369287,0.00124273201677481,0.895783980078545,-2.38584964827452,NA,NA,"IGF1R"
"207675_x_at",0.475319555445743,7.1191733347154,6.17126901127047,0.00141909543570062,0.895783980078545,-2.41519364502411,NA,NA,"ARTN"
"205330_at",-0.386752613583591,5.76555945090482,-6.11897104637252,0.00147639354062976,0.895783980078545,-2.42417351830899,NA,NA,"MN1"
"206121_at",0.38312946579608,3.40959682890577,6.04638961196168,0.00156046406894219,0.895783980078545,-2.43691556922042,NA,NA,"AMPD1"
"204532_x_at",0.37613036161921,6.36978713138106,6.002533199534,0.00161397660831778,0.895783980078545,-2.44477599138182,NA,NA,"NA"
"211639_x_at",0.42233289774143,4.10918097490147,5.6018870538988,0.00221654331785096,0.895783980078545,-2.52263827636928,NA,NA,"SKAP2"
"206603_at",0.32909903053935,4.09914461507828,5.59269976763442,0.00223317715748137,0.895783980078545,-2.52456024720943,NA,NA,"SLC2A4"
"220936_s_at",-0.313444045607628,4.53504098909829,-5.58019484024673,0.00225605220907371,0.895783980078545,-2.52718669785793,NA,NA,"H2AJ"
"208211_s_at",0.433766822247282,4.59354743747269,5.45299289732902,0.00250496253425508,0.895783980078545,-2.55460147024029,NA,NA,"ALK"
"220678_at",0.46775446484266,5.60682611457662,5.39964775743609,0.00261878131943005,0.895783980078545,-2.56648738827443,NA,NA,"FLJ20712"
"208241_at",0.344032250096909,4.81176459667292,5.39708003302231,0.00262441010426354,0.895783980078545,-2.5670654558222,NA,NA,"NRG1"
"201117_s_at",-0.330273720620739,4.65155774274039,-5.35941448414275,0.00270861878640387,0.895783980078545,-2.57560866539553,NA,NA,"CPE"
"205749_at",2.40168239201009,8.30227881675989,5.35893481192199,0.00270971129926558,0.895783980078545,-2.57571823617676,NA,NA,"CYP1A1"
"213716_s_at",0.336725018220681,9.21596834318338,5.34756699659153,0.00273575366813115,0.895783980078545,-2.57832069598066,NA,NA,"SECTM1"
"215446_s_at",-0.380676362033616,8.03363998424196,-5.27676477767139,0.00290466983220826,0.895783980078545,-2.59477993185435,NA,NA,"LOX"
"212665_at",0.67966648754741,10.2166659194105,5.1486399026975,0.00324219439425217,0.895783980078545,-2.62569466603672,NA,NA,"TIPARP"
"219897_at",0.340103006779746,5.40564460699022,5.13840405193904,0.00327107261258879,0.895783980078545,-2.62822908638069,NA,NA,"RNF122"
"216049_at",0.368452336527257,3.87014018084978,5.12188963449637,0.0033182968925745,0.895783980078545,-2.63233870357007,NA,NA,"RHOBTB3"
"206767_at",-0.315084226822816,6.0875069969953,-5.1180312581732,0.00332944407532428,0.895783980078545,-2.63330254444368,NA,NA,"RBMS3"
