"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","pValuesBatch","qValuesBatch","SYMBOL"
"204614_at",1.81468331781848,5.52799773760758,23.4311873688524,1.30759637489537e-07,0.00291293244435442,0.140818298851045,0.00198816954165038,0.885402369149111,"SERPINB2"
"205749_at",2.97744997476421,7.55004065308755,18.7353755580732,5.62415152053434e-07,0.00626446117114717,0.060104382163531,0.0891117750296005,0.973547434993237,"CYP1A1"
"206569_at",1.26488307397095,5.18753806917698,15.2962019293518,2.0921965858142e-06,0.0155359544473943,-0.0473882109261243,0.0454185926794133,0.973547434993237,"IL24"
"202437_s_at",1.12384408222848,10.6762134926753,14.0942827309077,3.54282115101571e-06,0.0197308566952943,-0.102719163457483,0.0544786213499283,0.973547434993237,"CYP1B1"
"202435_s_at",1.03651952099895,9.66992219593618,13.2187855950538,5.34407282721887e-06,0.0238099820743909,-0.151732593586977,0.046226042152463,0.973547434993237,"CYP1B1"
"205117_at",-0.754193041937478,5.47237138897254,-9.59083460334189,4.05448991283843e-05,0.149341805050948,-0.48734086974727,0.00486031700105305,0.973547434993237,"FGF1"
"202436_s_at",1.07615584623599,11.3590982737406,9.36767644615981,4.69269935519432e-05,0.149341805050948,-0.518772620853628,0.0822478283464005,0.973547434993237,"CYP1B1"
"204684_at",1.01803487415955,5.58131643848431,8.69236772874128,7.44606618594544e-05,0.197706042459972,-0.625536728416439,0.173499599452647,0.973547434993237,"NPTX1"
"39402_at",0.663285438946351,9.06261560189401,8.59349018094153,7.98740576441958e-05,0.197706042459972,-0.64280155535957,0.0642898363387729,0.973547434993237,"IL1B"
"212665_at",0.825326156426222,10.6820320527477,8.31841339714011,9.74543594927887e-05,0.217099076642085,-0.693284669725434,0.144806513521566,0.973547434993237,"TIPARP"
"215325_x_at",0.594499530361504,3.34792988462482,7.49246821673524,0.00018343286087788,0.321649172326686,-0.869645350242019,0.0208333898675138,0.973547434993237,"CBARP"
"203439_s_at",0.598760062382126,7.03839498602092,7.46437432514291,0.000187608182049265,0.321649172326686,-0.876383862707995,0.104254084834707,0.973547434993237,"STC2"
"205067_at",0.618827724193713,9.18154655619002,7.46375071561308,0.000187702080183459,0.321649172326686,-0.876534045482792,0.106718969750152,0.973547434993237,"IL1B"
"204475_at",0.938303462682808,5.98126381260244,7.27442561931247,0.000218844293085069,0.348228165504006,-0.923375354911159,0.19645454024077,0.973547434993237,"MMP1"
"202936_s_at",-0.555134034778033,7.86867562291167,-7.15823738510939,0.000240848558059998,0.357554193258987,-0.953394991498189,0.0839083937044557,0.973547434993237,"SOX9"
"205896_at",0.544952609228674,7.73690440411651,7.07761425551087,0.000257593715084396,0.357554193258987,-0.974819821820379,0.0824763725364595,0.973547434993237,"SLC22A4"
"218469_at",0.672869889419017,7.28116832734835,7.00914611235954,0.00027285636689872,0.357554193258987,-0.993408319335611,0.117838784065878,0.973547434993237,"GREM1"
"203438_at",0.570047585377914,8.00361699940034,6.80074169767139,0.000326010818117354,0.403474610844461,-1.05230503230522,0.110068811442559,0.973547434993237,"STC2"
"206785_s_at",-0.524090915332131,5.85339664451614,-6.7103224251511,0.000352652472939672,0.41347574419353,-1.07898857072645,0.0682503906633414,0.973547434993237,"NA"
"36711_at",0.488610961595898,9.02462638389775,6.58228877142834,0.000394701246543242,0.414725205752703,-1.11799953914657,0.00764535209447814,0.973547434993237,"MAFF"
"218468_s_at",0.73672699110698,6.74203554966583,6.54509231851381,0.000407960907765757,0.414725205752703,-1.12961046717479,0.0758032227687627,0.973547434993237,"GREM1"
"210118_s_at",0.643774281705161,8.92497794176881,6.5406761752165,0.000409568367668873,0.414725205752703,-1.13099742571018,0.197933883842795,0.973547434993237,"IL1A"
"215254_at",-0.478107248361398,3.21892584666949,-6.27267726451282,0.000521976852766016,0.505568623872545,-1.21864307310326,0.0822771808665551,0.973547434993237,"RCAN1"
"205381_at",-0.523770548918584,4.63887696862415,-6.01159759230408,0.000666111930036321,0.606754504510247,-1.31100585866495,0.175569209851837,0.973547434993237,"LRRC17"
"210512_s_at",0.468840802051659,9.21539398569408,5.9884547169785,0.000680920348913955,0.606754504510247,-1.31954620069596,0.0490801146913264,0.973547434993237,"VEGFA"
"209113_s_at",-0.484563592187882,4.48247063941811,-5.79900263721836,0.000817126965751474,0.66888277035354,-1.39173482997373,0.111035059921845,0.973547434993237,"HMG20B"
"215505_s_at",-0.453727416145627,4.91599139884117,-5.77055292459206,0.000840120468435393,0.66888277035354,-1.40293477545601,0.0564492092968079,0.973547434993237,"STRN3"
"205225_at",-0.43661171358218,4.14459474498659,-5.75887557326848,0.000849768502894367,0.66888277035354,-1.40755970579492,0.00151655181497556,0.885402369149111,"ESR1"
"206884_s_at",-0.426908118573308,6.69739725079613,-5.73399337169582,0.000870745627339977,0.66888277035354,-1.4174689849991,0.0517597805306893,0.973547434993237,"SCEL"
"212977_at",-0.564011526344185,4.19568642716675,-5.66187651398384,0.000934913062334132,0.686176637447133,-1.44661284133653,0.00684250320650537,0.973547434993237,"ACKR3"
"203180_at",0.460624135709496,11.629615865198,5.64058512934787,0.000954862672750421,0.686176637447133,-1.45533903035653,0.142858065556993,0.973547434993237,"ALDH1A3"
"221324_at",-0.407016922895703,4.59863149068301,-5.41164413949405,0.00120252061734896,0.822447131224376,-1.55280278939725,0.0695198672380082,0.973547434993237,"TAS2R1"
"211873_s_at",-0.407993975126489,5.16549298514083,-5.29442502482266,0.00135673117499837,0.822447131224376,-1.60537809866868,0.0458374266023235,0.973547434993237,"PCDHGA9"
