"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","qValuesBatch","pValuesBatch","SYMBOL"
"205476_at",3.03288234850177,8.07192942530675,38.2664401502133,3.48961585096182e-09,7.77381723118765e-05,8.19489742536096,NA,NA,"CCL20"
"204614_at",3.16342654250926,8.02774707210036,31.8587174465121,1.20329738080503e-08,8.93557043373215e-05,7.86198415161821,NA,NA,"SERPINB2"
"209774_x_at",2.37730501609438,8.58571723722213,31.858566767169,1.20333578584174e-08,8.93557043373215e-05,7.86197433574339,NA,NA,"CXCL2"
"205207_at",2.29399264089816,8.07795900587508,29.1218025692691,2.20530693599853e-08,0.000122819056533098,7.66319748309367,NA,NA,"IL6"
"207850_at",2.15977896013989,6.8810374332151,28.0298698671509,2.85304175576188e-08,0.000127114422386215,7.57086892794398,NA,NA,"CXCL3"
"204470_at",2.55686671737084,9.49732068632741,25.1281898232864,5.95303271329926e-08,0.000221026182923613,7.27993186070765,NA,NA,"CXCL1"
"206157_at",2.38161390246469,7.72869932865255,24.5370137558326,6.98628063773043e-08,0.000222333391095315,7.21109074775666,NA,NA,"PTX3"
"202643_s_at",2.16876454208898,7.15526373372821,23.8254364817575,8.51374239566025e-08,0.000237075799185154,7.12323111295416,NA,NA,"TNFAIP3"
"210538_s_at",1.69855873034286,7.1786458524762,22.173282442656,1.3791064686673e-07,0.000327882838968077,6.89566339317963,NA,NA,"BIRC3"
"202644_s_at",2.09190688445606,8.31006929973398,21.9591139186023,1.47184467822452e-07,0.000327882838968077,6.86350101542268,NA,NA,"TNFAIP3"
"202638_s_at",1.56816794922368,8.65048181197899,20.9526660747302,2.01553019210056e-07,0.00039866991435973,6.70320818835703,NA,NA,"ICAM1"
"214974_x_at",1.66913809634336,7.13691677358312,20.7551002811104,2.14752389115085e-07,0.00039866991435973,6.669868054144,NA,NA,"CXCL5"
"213680_at",1.9583473301504,8.33546515213765,19.1302880183068,3.70402197524473e-07,0.000634726904173283,6.36949711061807,NA,NA,"KRT6B"
"202435_s_at",1.27072046917871,10.8448435809493,17.4156307860712,6.92786322580648e-07,0.00110237149343779,5.99379412400563,NA,NA,"CYP1B1"
"206569_at",1.56622508029257,6.77643793884634,16.6073920315233,9.50256233210246e-07,0.00140921382142603,5.7918137326445,NA,NA,"IL24"
"202637_s_at",1.29934016901536,9.01502021400783,16.4503958275381,1.01213902872095e-06,0.00140921382142603,5.7505072301944,NA,NA,"ICAM1"
"202859_x_at",2.20695632877647,7.99903930196131,16.1506968789095,1.14352625012469e-06,0.00149849025141339,5.66967610023713,NA,NA,"CXCL8"
"39402_at",1.19783084091977,10.3583831671847,15.5713492728653,1.45689692098982e-06,0.00180307181716057,5.50570975160156,NA,NA,"IL1B"
"204597_x_at",1.30305038779436,7.71200398639908,15.0887498357181,1.79444734072135e-06,0.00210394228469734,5.36087405875896,NA,NA,"STC1"
"200632_s_at",1.00630735775316,8.81764511945453,13.9881744928906,2.95822136935561e-06,0.00329501487225675,4.99959672318242,NA,NA,"NDRG1"
"211506_s_at",1.76662417134388,6.8557169198404,13.8403747488952,3.17252169493176e-06,0.00336544122847595,4.94752690750586,NA,NA,"CXCL8"
"221477_s_at",1.27820547500754,9.96200767817243,13.6787484107577,3.42744743665263e-06,0.0034706021157414,4.88955799128683,NA,NA,"NA"
"202510_s_at",1.0373322202283,9.96119243890274,13.3495949761334,4.022482765674e-06,0.00365526365917639,4.76808099273889,NA,NA,"TNFAIP2"
"206336_at",1.65507238629993,4.76882330877634,13.3232381133228,4.07502645803981e-06,0.00365526365917639,4.75815027898918,NA,NA,"CXCL6"
"201502_s_at",1.00835519371412,10.4654721671968,13.3098284051445,4.10206003857834e-06,0.00365526365917639,4.75308599654197,NA,NA,"NFKBIA"
"202917_s_at",2.57560941502378,7.28690076632904,13.2172003398753,4.29449119660318e-06,0.00367955309179727,4.71788581690791,NA,NA,"S100A8"
"205067_at",1.2862714793118,10.4040673486776,12.8211704265103,5.24240311068795e-06,0.00428914438924836,4.56297794133017,NA,NA,"IL1B"
"207196_s_at",0.926169774532147,10.974570456614,12.7665491930492,5.39103303402406e-06,0.00428914438924836,4.54103688921942,NA,NA,"TNIP1"
"210118_s_at",1.37666222455408,9.70772653292751,12.5729829342139,5.95787275750036e-06,0.00457667349720122,4.46212285461578,NA,NA,"IL1A"
"212665_at",1.19229526007506,10.686969999213,12.4052226750222,6.50468451777449e-06,0.00483016190008208,4.39223639225604,NA,NA,"TIPARP"
"205266_at",0.894911272496262,7.6579068993873,12.2732927656375,6.97514279287138e-06,0.00501242761279986,4.33627854616693,NA,NA,"LIF"
"209720_s_at",1.28483097629341,5.90766038986213,11.9868613717777,8.13663998349188e-06,0.00566437277850777,4.21167615927231,NA,NA,"SERPINB3"
"204595_s_at",1.00485376575978,8.12715084217937,11.8772897416416,8.63821349471068e-06,0.0058313176370203,4.16285356246547,NA,NA,"STC1"
