"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","qValuesBatch","pValuesBatch","SYMBOL"
"204614_at",2.02528787308033,7.23239984059928,21.539354000756,5.39447891534061e-10,1.13820224494075e-05,7.32721636815157,NA,NA,"SERPINB2"
"205749_at",2.16401116357358,8.24968750307708,20.2340552441201,1.02186312783656e-09,1.13820224494075e-05,7.17824000865676,NA,NA,"CYP1A1"
"206569_at",1.21316529869251,6.56333642277542,13.805259819008,4.83874396282424e-08,0.000359308997532786,5.93175012406301,NA,NA,"IL24"
"212665_at",1.21045774525291,10.5665067177723,13.2136334080459,7.47306160083273e-08,0.000416193483204377,5.74905512474964,NA,NA,"TIPARP"
"204684_at",1.05793152157465,6.70908952168054,12.1825548827582,1.66464486920067e-07,0.000741665875023666,5.3879533391626,NA,NA,"NPTX1"
"202435_s_at",1.05380505517403,10.6668128721961,11.9292227337856,2.04528482480141e-07,0.00075938016736835,5.28990860991781,NA,NA,"CYP1B1"
"202436_s_at",0.993194408771316,11.3276260310412,11.2830572916407,3.52044311976858e-07,0.00112035587684407,5.02105078060151,NA,NA,"CYP1B1"
"200632_s_at",1.02418294615643,8.74762465197555,10.8408193289596,5.18583189186675e-07,0.00144405971318894,4.82011804950784,NA,NA,"NDRG1"
"202434_s_at",0.879821899029906,7.22753846160722,10.374109501176,7.92134426103157e-07,0.00196070873447778,4.59161650773932,NA,NA,"CYP1B1"
"39402_at",0.680210296488056,9.96794733261265,8.08591184225225,8.18455269530427e-06,0.0182327280393293,3.17082211932382,NA,NA,"IL1B"
"203439_s_at",0.755944169172702,8.90223260132316,7.62838833970368,1.38653619297546e-05,0.0264737211701645,2.8138258457003,NA,NA,"STC2"
"202437_s_at",0.952660319560893,10.9927527871575,7.60453488658221,1.42606569125993e-05,0.0264737211701645,2.79443282525415,NA,NA,"CYP1B1"
"215774_s_at",-0.666135466270073,6.29914064353315,-7.364594344797,1.89887532026977e-05,0.0305350338965683,2.59488088149092,NA,NA,"NA"
"222168_at",0.856829592148302,6.3317408843806,7.35587444741363,1.91897685752999e-05,0.0305350338965683,2.58747307313345,NA,NA,"NA"
"205067_at",0.71610612930345,10.0192445901644,7.20777217473693,2.29790734217932e-05,0.0326525695281176,2.45995230084347,NA,NA,"IL1B"
"203438_at",0.612982599901002,8.49971548488865,7.19116040128384,2.34520407797227e-05,0.0326525695281176,2.44544650639749,NA,NA,"STC2"
"204337_at",-0.597455417196467,8.37345372897599,-7.01854477370076,2.90381892257824e-05,0.0380519847872208,2.29225423066416,NA,NA,"RGS4"
"207675_x_at",0.629383296482727,7.39643153747324,6.61017561509941,4.88426619276255e-05,0.0604482210978729,1.91142556733323,NA,NA,"ARTN"
"208229_at",-0.57318569170365,6.4298843260426,-6.53900716900295,5.35906623020468e-05,0.0619597535075763,1.84232509877174,NA,NA,"FGFR2"
"216504_s_at",-0.546853681396192,4.84525675791617,-6.51054199179835,5.56266584437548e-05,0.0619597535075763,1.81445478716508,NA,NA,"SLC39A8"
"205019_s_at",0.574541348363819,6.7961253396259,6.22167210727046,8.16993528148115e-05,0.0866674515550264,1.52399039004369,NA,NA,"VIPR1"
"210118_s_at",0.648233140946685,9.21700543079265,6.1675681948365,8.79058675972803e-05,0.0890126823847551,1.46801985583007,NA,NA,"IL1A"
"205476_at",0.54087639340419,6.81874465707518,6.11105687454195,9.49323295629103e-05,0.0919481524205632,1.40902259249074,NA,NA,"CCL20"
"210237_at",0.69539258857009,7.01057010452634,6.07613090033917,9.95743958537269e-05,0.0924257840180614,1.3722848232885,NA,NA,"ARTN"
"202935_s_at",-0.56259997225582,6.7872694174296,-5.98150228653655,0.000113418588436847,0.097335868839044,1.27168334395603,NA,NA,"SOX9"
"208849_at",-0.53662812471944,6.07673274605969,-5.98032732912869,0.000113602935306152,0.097335868839044,1.27042441267416,NA,NA,"NA"
"201442_s_at",-0.532728229341812,5.32597627328011,-5.80092350726093,0.000145898063625016,0.12037670975461,1.07535045954574,NA,NA,"ATP6AP2"
"202917_s_at",1.09767364227168,6.43449488922101,5.73473177464543,0.000160187247441791,0.123154267168645,1.00193775174286,NA,NA,"S100A8"
