Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,155.669998,156.490005,150.800003,153.160004,152.460968,1229000
2021-01-05,153.039993,157.190002,152.740005,155.809998,155.098862,969800
2021-01-06,155.649994,160.630005,155.649994,160.250000,159.518600,1383300
2021-01-07,160.330002,161.350006,158.419998,159.300003,158.572937,1201600
2021-01-08,160.289993,161.889999,158.360001,158.949997,158.224533,1222400
2021-01-11,156.779999,159.139999,155.570007,159.000000,158.274307,1201700
2021-01-12,158.360001,160.039993,157.039993,159.830002,159.100525,1177000
2021-01-13,160.460007,163.979996,159.559998,162.949997,162.206284,1675400
2021-01-14,162.380005,165.929993,162.380005,162.619995,161.877777,1145700
2021-01-15,162.179993,162.690002,159.529999,160.119995,159.389191,1409200
2021-01-19,161.289993,161.600006,159.289993,159.929993,159.200058,1007600
2021-01-20,159.949997,164.119995,158.710007,163.460007,162.713959,1184500
2021-01-21,164.070007,165.500000,162.529999,162.960007,162.216248,1046100
2021-01-22,161.839996,162.740005,160.589996,161.009995,160.275131,974400
2021-01-25,160.539993,161.000000,156.479996,159.309998,158.582886,1343400
2021-01-26,160.250000,161.229996,157.320007,158.220001,157.497864,842600
2021-01-27,155.229996,157.720001,152.020004,152.600006,151.903519,1890000
2021-01-28,154.199997,159.070007,152.889999,157.029999,156.313293,1540200
2021-01-29,156.000000,156.789993,151.850006,153.669998,152.968628,1621500
2021-02-01,154.869995,156.009995,152.240005,153.899994,153.197571,1422000
2021-02-02,155.160004,160.679993,154.869995,158.500000,157.776596,1712500
2021-02-03,157.779999,159.039993,155.860001,158.559998,157.836319,942000
2021-02-04,159.919998,163.970001,158.240005,160.729996,159.996399,1812200
2021-02-05,170.050003,170.050003,158.479996,159.889999,159.160248,3544900
2021-02-08,160.169998,161.190002,157.250000,159.809998,159.080597,1327300
2021-02-09,159.800003,160.259995,157.720001,159.149994,158.423615,1195100
2021-02-10,160.000000,162.449997,159.520004,160.339996,159.608185,1644300
2021-02-11,161.490005,163.880005,160.000000,162.210007,161.469666,1105300
2021-02-12,161.250000,162.500000,160.339996,161.380005,160.643448,1206200
2021-02-16,161.779999,161.779999,159.509995,160.369995,159.638046,921900
2021-02-17,159.460007,159.559998,157.119995,158.580002,157.856232,951100
2021-02-18,157.690002,158.070007,154.479996,156.809998,156.094284,868000
2021-02-19,157.020004,157.940002,155.910004,156.669998,155.954941,806600
2021-02-22,155.630005,161.169998,154.830002,160.339996,159.608185,1277200
2021-02-23,161.720001,164.520004,160.500000,161.869995,161.131195,1824800
2021-02-24,162.080002,165.210007,161.940002,163.690002,162.942902,1018000
2021-02-25,162.949997,165.369995,162.210007,164.500000,163.749207,1435700
2021-02-26,165.240005,166.360001,161.470001,163.059998,162.315765,1570700
2021-03-01,165.020004,166.460007,162.669998,163.399994,162.654221,1456600
2021-03-02,163.330002,163.710007,160.190002,161.190002,160.454300,1370700
2021-03-03,161.259995,161.759995,157.839996,159.750000,159.020874,2112600
2021-03-04,159.729996,159.729996,154.460007,156.250000,155.536850,1913900
2021-03-05,157.940002,159.419998,154.100006,158.500000,157.776596,1492000
2021-03-08,158.779999,160.899994,156.419998,156.500000,155.785706,2266100
2021-03-09,157.589996,160.539993,156.509995,156.660004,155.944992,1289500
2021-03-10,157.949997,161.330002,156.759995,160.389999,159.657959,1055400
2021-03-11,160.300003,161.639999,159.009995,160.300003,159.568390,1372800
2021-03-12,159.949997,163.440002,159.699997,163.160004,162.415329,1863500
2021-03-15,164.039993,165.490005,160.570007,161.470001,160.733047,1088500
2021-03-16,161.000000,161.000000,158.479996,160.250000,159.518600,1008700
2021-03-17,159.619995,161.449997,157.929993,160.520004,159.787369,920300
2021-03-18,159.970001,161.070007,158.490005,158.889999,158.164795,693400
2021-03-19,158.460007,161.649994,157.639999,160.160004,159.429016,1412900
2021-03-22,159.679993,160.990005,159.089996,160.240005,159.508652,667400
2021-03-23,159.529999,160.149994,155.179993,156.139999,155.427368,979900
2021-03-24,157.229996,158.639999,156.559998,157.449997,156.731369,694400
2021-03-25,158.320007,158.320007,154.880005,157.880005,157.159424,1081900
2021-03-26,158.350006,161.490005,157.289993,161.320007,160.828201,655800
