"","Hour","dow_surgery_date","Count"
"182",7.61666666666667,"Tuesday",18
"183",7.61666666666667,"Wednesday",9
"184",7.63333333333333,"Friday",7
"185",7.63333333333333,"Monday",6
"186",7.63333333333333,"Thursday",3
"187",7.63333333333333,"Tuesday",14
"188",7.63333333333333,"Wednesday",5
"189",7.65,"Friday",7
"190",7.65,"Monday",12
"191",7.65,"Thursday",5
"192",7.65,"Tuesday",14
"193",7.65,"Wednesday",8
"194",7.66666666666667,"Friday",11
"195",7.66666666666667,"Monday",9
"196",7.66666666666667,"Thursday",7
"197",7.66666666666667,"Tuesday",10
"198",7.66666666666667,"Wednesday",8
"199",7.68333333333333,"Friday",3
"200",7.68333333333333,"Monday",9
"201",7.68333333333333,"Saturday",1
"202",7.68333333333333,"Sunday",1
"203",7.68333333333333,"Tuesday",14
"204",7.68333333333333,"Wednesday",2
"205",7.7,"Friday",12
"206",7.7,"Monday",8
"207",7.7,"Tuesday",7
"208",7.7,"Wednesday",4
"209",7.71666666666667,"Friday",10
"210",7.71666666666667,"Monday",4
"211",7.71666666666667,"Thursday",1
"212",7.71666666666667,"Tuesday",10
"213",7.71666666666667,"Wednesday",9
"214",7.73333333333333,"Friday",5
"215",7.73333333333333,"Monday",6
"216",7.73333333333333,"Tuesday",5
"217",7.73333333333333,"Wednesday",7
"218",7.75,"Friday",8
"219",7.75,"Monday",9
"220",7.75,"Tuesday",5
"221",7.75,"Wednesday",4
"222",7.76666666666667,"Friday",6
"223",7.76666666666667,"Monday",4
"224",7.76666666666667,"Thursday",6
"225",7.76666666666667,"Tuesday",7
"226",7.76666666666667,"Wednesday",8
"227",7.78333333333333,"Friday",9
"228",7.78333333333333,"Monday",6
"229",7.78333333333333,"Thursday",2
"230",7.78333333333333,"Tuesday",5
"231",7.78333333333333,"Wednesday",6
"232",7.8,"Friday",1
"233",7.8,"Monday",3
"234",7.8,"Thursday",1
"235",7.8,"Tuesday",7
"236",7.8,"Wednesday",12
"237",7.81666666666667,"Friday",8
"238",7.81666666666667,"Monday",2
"239",7.81666666666667,"Sunday",1
"240",7.81666666666667,"Thursday",5
"241",7.81666666666667,"Tuesday",3
"242",7.81666666666667,"Wednesday",4
"243",7.83333333333333,"Friday",4
"244",7.83333333333333,"Monday",10
"245",7.83333333333333,"Sunday",1
"246",7.83333333333333,"Thursday",5
"247",7.83333333333333,"Tuesday",10
"248",7.83333333333333,"Wednesday",5
"249",7.85,"Friday",4
"250",7.85,"Monday",2
"251",7.85,"Saturday",1
"252",7.85,"Tuesday",4
"253",7.85,"Wednesday",9
"254",7.86666666666667,"Friday",3
"255",7.86666666666667,"Monday",2
"256",7.86666666666667,"Thursday",2
"257",7.86666666666667,"Tuesday",6
"258",7.86666666666667,"Wednesday",5
"259",7.88333333333333,"Friday",5
"260",7.88333333333333,"Monday",4
"261",7.88333333333333,"Thursday",2
"262",7.88333333333333,"Tuesday",4
"263",7.88333333333333,"Wednesday",9
"264",7.9,"Friday",2
"265",7.9,"Monday",4
"266",7.9,"Thursday",3
"267",7.9,"Tuesday",5
"268",7.9,"Wednesday",6
"269",7.91666666666667,"Friday",4
"270",7.91666666666667,"Monday",3
"271",7.91666666666667,"Thursday",4
"272",7.91666666666667,"Tuesday",3
"273",7.91666666666667,"Wednesday",5
"274",7.93333333333333,"Friday",1
"275",7.93333333333333,"Monday",4
"276",7.93333333333333,"Thursday",3
"277",7.93333333333333,"Tuesday",5
"278",7.93333333333333,"Wednesday",5
"279",7.95,"Friday",1
"280",7.95,"Monday",6
"281",7.95,"Thursday",2
"282",7.95,"Tuesday",6
"283",7.95,"Wednesday",3
"284",7.96666666666667,"Friday",4
"285",7.96666666666667,"Monday",3
"286",7.96666666666667,"Thursday",10
"287",7.96666666666667,"Tuesday",1
"288",7.96666666666667,"Wednesday",6
"289",7.98333333333333,"Friday",3
"290",7.98333333333333,"Thursday",2
"291",7.98333333333333,"Tuesday",4
"292",7.98333333333333,"Wednesday",5
"293",8,"Friday",6
"294",8,"Monday",6
"295",8,"Sunday",1
"296",8,"Thursday",6
"297",8,"Tuesday",12
"298",8,"Wednesday",4
"299",8.01666666666667,"Friday",3
"300",8.01666666666667,"Monday",1
"301",8.01666666666667,"Tuesday",2
"302",8.01666666666667,"Wednesday",6
"303",8.03333333333333,"Friday",1
"304",8.03333333333333,"Monday",1
"305",8.03333333333333,"Thursday",1
"306",8.03333333333333,"Tuesday",2
"307",8.03333333333333,"Wednesday",5
"308",8.05,"Friday",3
"309",8.05,"Monday",2
"310",8.05,"Thursday",2
"311",8.05,"Tuesday",3
"312",8.05,"Wednesday",7
"313",8.06666666666667,"Friday",4
"314",8.06666666666667,"Monday",2
"315",8.06666666666667,"Saturday",1
"316",8.06666666666667,"Thursday",3
"317",8.06666666666667,"Tuesday",6
"318",8.06666666666667,"Wednesday",1
"319",8.08333333333333,"Friday",4
"320",8.08333333333333,"Monday",8
"321",8.08333333333333,"Thursday",2
"322",8.08333333333333,"Tuesday",4
"323",8.08333333333333,"Wednesday",3
"324",8.1,"Friday",1
"325",8.1,"Monday",3
"326",8.1,"Thursday",1
"327",8.1,"Tuesday",3
"328",8.1,"Wednesday",2
"329",8.11666666666667,"Friday",2
"330",8.11666666666667,"Monday",4
"331",8.11666666666667,"Thursday",2
"332",8.11666666666667,"Tuesday",9
"333",8.11666666666667,"Wednesday",5
"334",8.13333333333333,"Friday",3
"335",8.13333333333333,"Monday",2
"336",8.13333333333333,"Saturday",1
"337",8.13333333333333,"Thursday",2
"338",8.13333333333333,"Tuesday",6
"339",8.15,"Friday",1
"340",8.15,"Monday",1
"341",8.15,"Thursday",2
"342",8.15,"Tuesday",4
"343",8.16666666666667,"Friday",2
"344",8.16666666666667,"Monday",1
"345",8.16666666666667,"Sunday",1
"346",8.16666666666667,"Thursday",4
"347",8.16666666666667,"Tuesday",7
"348",8.16666666666667,"Wednesday",2
"349",8.18333333333333,"Friday",1
"350",8.18333333333333,"Monday",3
"351",8.18333333333333,"Thursday",2
"352",8.18333333333333,"Tuesday",4
"353",8.18333333333333,"Wednesday",2
"354",8.2,"Friday",2
"355",8.2,"Monday",3
"356",8.2,"Saturday",1
"357",8.2,"Thursday",1
"358",8.2,"Tuesday",4
"359",8.2,"Wednesday",5
"360",8.21666666666667,"Thursday",2
"361",8.21666666666667,"Tuesday",3
"362",8.21666666666667,"Wednesday",3
"363",8.23333333333333,"Friday",6
"364",8.23333333333333,"Monday",1
"365",8.23333333333333,"Saturday",1
"366",8.23333333333333,"Sunday",1
"367",8.23333333333333,"Thursday",2
"368",8.23333333333333,"Tuesday",4
"369",8.23333333333333,"Wednesday",4
"370",8.25,"Friday",6
"371",8.25,"Monday",3
"372",8.25,"Thursday",1
"373",8.25,"Tuesday",2
"374",8.25,"Wednesday",3
"375",8.26666666666667,"Friday",3
"376",8.26666666666667,"Monday",1
"377",8.26666666666667,"Tuesday",3
"378",8.28333333333333,"Sunday",1
"379",8.28333333333333,"Thursday",1
"380",8.28333333333333,"Wednesday",5
"381",8.3,"Friday",2
"382",8.3,"Monday",5
"383",8.3,"Saturday",1
"384",8.3,"Tuesday",6
"385",8.3,"Wednesday",3
"386",8.31666666666667,"Friday",5
"387",8.31666666666667,"Monday",3
"388",8.31666666666667,"Wednesday",4
"389",8.33333333333333,"Friday",4
"390",8.33333333333333,"Monday",1
"391",8.33333333333333,"Saturday",2
"392",8.33333333333333,"Thursday",1
"393",8.33333333333333,"Tuesday",4
"394",8.35,"Friday",3
"395",8.35,"Monday",2
"396",8.35,"Saturday",1
"397",8.35,"Tuesday",1
"398",8.35,"Wednesday",3
"399",8.36666666666667,"Friday",7
"400",8.36666666666667,"Monday",2
"401",8.36666666666667,"Thursday",1
"402",8.36666666666667,"Tuesday",3
"403",8.36666666666667,"Wednesday",1
"404",8.38333333333333,"Friday",4
"405",8.38333333333333,"Monday",4
"406",8.38333333333333,"Thursday",1
