Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,245.339996,245.529999,236.229996,239.020004,237.261566,1114900
2021-01-05,239.360001,241.539993,238.250000,239.660004,237.896851,1363900
2021-01-06,238.880005,242.720001,236.770004,242.449997,240.666336,1981800
2021-01-07,242.789993,244.229996,239.649994,243.720001,241.926987,921100
2021-01-08,244.589996,247.440002,241.639999,243.660004,241.867447,1378500
2021-01-11,242.619995,243.330002,240.789993,241.850006,240.070755,544800
2021-01-12,240.350006,241.820007,237.289993,239.210007,237.450180,824100
2021-01-13,239.199997,244.250000,238.589996,243.199997,241.410812,696000
2021-01-14,242.899994,244.110001,240.809998,242.130005,240.348679,1053800
2021-01-15,241.839996,243.660004,238.750000,241.990005,240.209732,1281100
2021-01-19,243.000000,244.250000,240.559998,242.070007,240.289139,835700
2021-01-20,242.399994,246.690002,240.679993,245.210007,243.406036,959200
2021-01-21,244.380005,245.339996,240.479996,243.600006,241.807877,991100
2021-01-22,242.600006,243.009995,239.919998,239.929993,238.164856,908600
2021-01-25,239.210007,239.970001,236.869995,239.550003,237.787674,1371600
2021-01-26,240.029999,242.149994,237.729996,238.000000,236.249069,1053500
2021-01-27,235.000000,235.460007,229.580002,230.750000,229.052414,1488900
2021-01-28,232.490005,234.589996,226.880005,230.000000,228.307922,2004300
2021-01-29,229.000000,229.759995,220.899994,221.009995,219.384064,2192100
2021-02-01,223.520004,227.419998,222.690002,226.539993,224.873383,2097300
2021-02-02,229.520004,238.740005,229.369995,235.130005,233.400192,1850100
2021-02-03,233.679993,235.399994,230.320007,233.949997,232.228867,1237900
2021-02-04,233.949997,241.149994,232.539993,237.080002,235.335831,1211000
2021-02-05,240.050003,241.970001,237.970001,238.779999,237.023331,1242300
2021-02-08,238.419998,242.550003,238.059998,242.449997,240.666336,925400
2021-02-09,242.669998,244.279999,240.570007,242.149994,240.368530,758600
2021-02-10,243.809998,244.600006,241.380005,243.029999,241.242065,752300
