,APOBEC 2 ,Background  
MMRF_2546_1_BM,0.324247492,0.675752508
MMRF_1267_1_BM,0.322476541,0.677523459
MMRF_2119_1_BM,0.32053466,0.67946534
MMRF_2531_2_BM,0.31951956,0.68048044
MMRF_2062_1_BM,0.319285879,0.680714121
MMRF_1656_2_BM,0.318821479,0.681178521
MMRF_1601_1_BM,0.317567287,0.682432713
MMRF_1356_1_BM,0.317528166,0.682471834
MMRF_1092_1_BM,0.316701322,0.683298678
MMRF_1641_1_BM,0.315635204,0.684364796
MMRF_2268_1_BM,0.315208165,0.684791835
MMRF_2913_1_BM,0.314397044,0.685602956
MMRF_1295_1_BM,0.312901725,0.687098275
MMRF_1994_1_BM,0.312131008,0.687868992
MMRF_2531_2_PB,0.312027363,0.687972637
MMRF_1913_2_BM,0.311469858,0.688530142
MMRF_2488_1_BM,0.310446979,0.689553021
MMRF_2064_2_BM,0.310382132,0.689617868
MMRF_2427_1_BM,0.309996544,0.690003456
MMRF_2746_1_BM,0.308935793,0.691064207
MMRF_1598_1_BM,0.307013076,0.692986924
MMRF_2293_1_BM,0.305448039,0.694551961
MMRF_2072_1_BM,0.304733135,0.695266865
MMRF_2061_1_BM,0.303718133,0.696281867
MMRF_1432_2_BM,0.303129443,0.696870557
MMRF_1129_1_BM,0.302568274,0.697431726
MMRF_1720_1_BM,0.301146404,0.698853596
MMRF_2115_1_BM,0.300559339,0.699440661
MMRF_2680_1_BM,0.299542439,0.700457561
MMRF_1202_2_BM,0.299275184,0.700724816
MMRF_1151_1_BM,0.299073545,0.700926455
MMRF_2114_1_BM,0.296838334,0.703161666
MMRF_2644_1_BM,0.296661236,0.703338764
MMRF_1307_1_BM,0.295335796,0.704664204
MMRF_1972_2_BM,0.293450852,0.706549148
MMRF_1972_1_BM,0.293318198,0.706681802
MMRF_2539_2_BM,0.293281703,0.706718297
MMRF_2640_1_BM,0.2930299,0.7069701
MMRF_2469_1_BM,0.293003721,0.706996279
MMRF_1780_1_BM,0.292851627,0.707148373
MMRF_1910_1_BM,0.291898705,0.708101295
MMRF_1678_1_BM,0.291359603,0.708640397
MMRF_1831_1_BM,0.291322883,0.708677117
MMRF_1407_3_BM,0.291268899,0.708731101
MMRF_1656_1_BM,0.289755211,0.710244789
MMRF_1596_1_BM,0.288348073,0.711651927
MMRF_1534_5_BM,0.288105612,0.711894388
MMRF_1579_1_BM,0.286785386,0.713214614
MMRF_2331_1_BM,0.285936024,0.714063976
MMRF_1746_1_BM,0.285616049,0.714383951
MMRF_1981_1_BM,0.284321683,0.715678317
