"","Hour","Count"
"1",0.316666666666667,1
"2",0.683333333333333,1
"3",1.43333333333333,1
"4",1.6,1
"5",6.1,1
"6",6.21666666666667,1
"7",6.75,1
"8",6.78333333333333,1
"9",6.83333333333333,2
"10",6.85,1
"11",6.86666666666667,4
"12",6.88333333333333,3
"13",6.9,4
"14",6.91666666666667,12
"15",6.93333333333333,8
"16",6.95,17
"17",6.96666666666667,17
"18",6.98333333333333,26
"19",7,32
"20",7.01666666666667,11
"21",7.03333333333333,8
"22",7.05,6
"23",7.06666666666667,6
"24",7.08333333333333,4
"25",7.1,10
"26",7.11666666666667,2
"27",7.13333333333333,4
"28",7.15,2
"29",7.16666666666667,1
"30",7.18333333333333,6
"31",7.2,3
"32",7.21666666666667,5
"33",7.23333333333333,7
"34",7.25,9
"35",7.26666666666667,10
"36",7.28333333333333,6
"37",7.3,9
"38",7.31666666666667,9
"39",7.33333333333333,15
"40",7.35,19
"41",7.36666666666667,15
"42",7.38333333333333,17
"43",7.4,33
"44",7.41666666666667,33
"45",7.43333333333333,41
"46",7.45,47
"47",7.46666666666667,67
"48",7.48333333333333,90
"49",7.5,143
"50",7.51666666666667,46
"51",7.53333333333333,44
"52",7.55,48
"53",7.56666666666667,43
"54",7.58333333333333,49
"55",7.6,37
"56",7.61666666666667,56
"57",7.63333333333333,35
"58",7.65,46
"59",7.66666666666667,45
"60",7.68333333333333,30
"61",7.7,31
"62",7.71666666666667,34
"63",7.73333333333333,23
"64",7.75,26
"65",7.76666666666667,31
"66",7.78333333333333,28
"67",7.8,24
"68",7.81666666666667,23
"69",7.83333333333333,35
"70",7.85,20
"71",7.86666666666667,18
"72",7.88333333333333,24
"73",7.9,20
"74",7.91666666666667,19
"75",7.93333333333333,18
"76",7.95,18
"77",7.96666666666667,24
"78",7.98333333333333,14
"79",8,35
"80",8.01666666666667,12
"81",8.03333333333333,10
"82",8.05,17
"83",8.06666666666667,17
"84",8.08333333333333,21
"85",8.1,10
"86",8.11666666666667,22
"87",8.13333333333333,14
"88",8.15,8
"89",8.16666666666667,17
"90",8.18333333333333,12
"91",8.2,16
"92",8.21666666666667,8
"93",8.23333333333333,19
"94",8.25,15
"95",8.26666666666667,7
"96",8.28333333333333,7
"97",8.3,17
"98",8.31666666666667,12
"99",8.33333333333333,12
"100",8.35,10
"101",8.36666666666667,14
"102",8.38333333333333,17
"103",8.4,16
"104",8.41666666666667,14
"105",8.43333333333333,11
"106",8.45,17
"107",8.46666666666667,11
"108",8.48333333333333,12
"109",8.5,15
"110",8.51666666666667,15
"111",8.53333333333333,14
"112",8.55,23
"113",8.56666666666667,14
"114",8.58333333333333,18
"115",8.6,19
"116",8.61666666666667,5
"117",8.63333333333333,17
"118",8.65,10
"119",8.66666666666667,12
"120",8.68333333333333,15
"121",8.7,10
"122",8.71666666666667,16
"123",8.73333333333333,13
"124",8.75,7
"125",8.76666666666667,19
"126",8.78333333333333,17
"127",8.8,15
"128",8.81666666666667,20
"129",8.83333333333333,24
"130",8.85,12
"131",8.86666666666667,21
"132",8.88333333333333,19
"133",8.9,24
"134",8.91666666666667,24
"135",8.93333333333333,30
"136",8.95,22
"137",8.96666666666667,36
"138",8.98333333333333,29
"139",9,42
"140",9.01666666666667,14
"141",9.03333333333333,24
"142",9.05,23
"143",9.06666666666667,24
"144",9.08333333333333,23
"145",9.1,16
"146",9.11666666666667,27
"147",9.13333333333333,11
"148",9.15,30
"149",9.16666666666667,19
"150",9.18333333333333,15
"151",9.2,19
"152",9.21666666666667,16
"153",9.23333333333333,12
"154",9.25,12
"155",9.26666666666667,22
"156",9.28333333333333,16
"157",9.3,24
"158",9.31666666666667,27
"159",9.33333333333333,13
"160",9.35,16
"161",9.36666666666667,13
"162",9.38333333333333,29
"163",9.4,16
"164",9.41666666666667,19
"165",9.43333333333333,18
"166",9.45,15
"167",9.46666666666667,12
"168",9.48333333333333,20
"169",9.5,19
"170",9.51666666666667,16
"171",9.53333333333333,13
"172",9.55,11
"173",9.56666666666667,15
"174",9.58333333333333,14
"175",9.6,14
"176",9.61666666666667,19
"177",9.63333333333333,20
"178",9.65,19
"179",9.66666666666667,22
"180",9.68333333333333,17
"181",9.7,19
"182",9.71666666666667,17
"183",9.73333333333333,19
"184",9.75,15
"185",9.76666666666667,11
"186",9.78333333333333,18
"187",9.8,19
"188",9.81666666666667,14
"189",9.83333333333333,18
"190",9.85,19
"191",9.86666666666667,17
"192",9.88333333333333,20
"193",9.9,16
"194",9.91666666666667,21
"195",9.93333333333333,19
"196",9.95,9
"197",9.96666666666667,20
"198",9.98333333333333,14
"199",10,21
"200",10.0166666666667,12
"201",10.0333333333333,15
"202",10.05,18
"203",10.0666666666667,22
"204",10.0833333333333,20
"205",10.1,17
"206",10.1166666666667,17
"207",10.1333333333333,25
"208",10.15,16
"209",10.1666666666667,18
"210",10.1833333333333,16
"211",10.2,15
"212",10.2166666666667,21
"213",10.2333333333333,19
"214",10.25,18
"215",10.2666666666667,24
"216",10.2833333333333,19
"217",10.3,13
"218",10.3166666666667,10
"219",10.3333333333333,13
"220",10.35,20
"221",10.3666666666667,17
"222",10.3833333333333,21
"223",10.4,21
"224",10.4166666666667,17
"225",10.4333333333333,15
"226",10.45,24
"227",10.4666666666667,20
"228",10.4833333333333,17
"229",10.5,15
"230",10.5166666666667,23
"231",10.5333333333333,21
"232",10.55,14
"233",10.5666666666667,19
"234",10.5833333333333,17
"235",10.6,21
"236",10.6166666666667,15
"237",10.6333333333333,15
"238",10.65,10
"239",10.6666666666667,17
"240",10.6833333333333,16
"241",10.7,21
"242",10.7166666666667,20
"243",10.7333333333333,23
"244",10.75,15
"245",10.7666666666667,21
"246",10.7833333333333,26
"247",10.8,14
"248",10.8166666666667,20
"249",10.8333333333333,15
"250",10.85,27
"251",10.8666666666667,25
"252",10.8833333333333,14
"253",10.9,18
"254",10.9166666666667,18
"255",10.9333333333333,14
