"Notes"	"County"	"County Code"	"Year of Death"	"Year of Death Code"	Deaths	Births	Death Rate
	"Jefferson County, AL"	"01073"	"2007"	"2007"	121	9705	12.47
	"Jefferson County, AL"	"01073"	"2008"	"2008"	118	9577	12.32
	"Jefferson County, AL"	"01073"	"2009"	"2009"	94	10448	9.00
	"Jefferson County, AL"	"01073"	"2010"	"2010"	102	8894	11.47
	"Jefferson County, AL"	"01073"	"2011"	"2011"	81	8916	9.08
	"Jefferson County, AL"	"01073"	"2012"	"2012"	94	9027	10.41
	"Jefferson County, AL"	"01073"	"2013"	"2013"	99	8640	11.46
	"Jefferson County, AL"	"01073"	"2014"	"2014"	93	8925	10.42
	"Jefferson County, AL"	"01073"	"2015"	"2015"	91	8792	10.35
	"Jefferson County, AL"	"01073"	"2016"	"2016"	89	8655	10.28
	"Jefferson County, AL"	"01073"	"2017"	"2017"	84	8706	9.65
	"Madison County, AL"	"01089"	"2007"	"2007"	28	4236	6.61
	"Madison County, AL"	"01089"	"2008"	"2008"	48	4221	11.37
	"Madison County, AL"	"01089"	"2009"	"2009"	36	4265	8.44
	"Madison County, AL"	"01089"	"2010"	"2010"	28	4195	6.67
	"Madison County, AL"	"01089"	"2011"	"2011"	29	4150	6.99
	"Madison County, AL"	"01089"	"2012"	"2012"	26	3926	6.62
	"Madison County, AL"	"01089"	"2013"	"2013"	35	4106	8.52
	"Madison County, AL"	"01089"	"2014"	"2014"	36	4254	8.46
	"Madison County, AL"	"01089"	"2015"	"2015"	33	4159	7.93
	"Madison County, AL"	"01089"	"2016"	"2016"	33	4228	7.81
	"Madison County, AL"	"01089"	"2017"	"2017"	20	4253	4.70
	"Mobile County, AL"	"01097"	"2007"	"2007"	68	6270	10.85
	"Mobile County, AL"	"01097"	"2008"	"2008"	40	6206	6.45
	"Mobile County, AL"	"01097"	"2009"	"2009"	43	6057	7.10
	"Mobile County, AL"	"01097"	"2010"	"2010"	42	5707	7.36
	"Mobile County, AL"	"01097"	"2011"	"2011"	48	5623	8.54
	"Mobile County, AL"	"01097"	"2012"	"2012"	59	5495	10.74
	"Mobile County, AL"	"01097"	"2013"	"2013"	56	5578	10.04
	"Mobile County, AL"	"01097"	"2014"	"2014"	58	5682	10.21
	"Mobile County, AL"	"01097"	"2015"	"2015"	43	5663	7.59
	"Mobile County, AL"	"01097"	"2016"	"2016"	54	5504	9.81
	"Mobile County, AL"	"01097"	"2017"	"2017"	40	5607	7.13
	"Unidentified Counties, AL"	"01999"	"2007"	"2007"	427	44593	9.58
	"Unidentified Counties, AL"	"01999"	"2008"	"2008"	405	44542	9.09
	"Unidentified Counties, AL"	"01999"	"2009"	"2009"	344	41705	8.25
	"Unidentified Counties, AL"	"01999"	"2010"	"2010"	352	41254	8.53
	"Unidentified Counties, AL"	"01999"	"2011"	"2011"	330	40665	8.12
	"Unidentified Counties, AL"	"01999"	"2012"	"2012"	340	40000	8.50
	"Unidentified Counties, AL"	"01999"	"2013"	"2013"	310	39843	7.78
	"Unidentified Counties, AL"	"01999"	"2014"	"2014"	328	40561	8.09
	"Unidentified Counties, AL"	"01999"	"2015"	"2015"	329	41043	8.02
	"Unidentified Counties, AL"	"01999"	"2016"	"2016"	358	40764	8.78
	"Unidentified Counties, AL"	"01999"	"2017"	"2017"	291	40375	7.21
	"Anchorage Borough, AK"	"02020"	"2007"	"2007"	21	4480	4.69
	"Anchorage Borough, AK"	"02020"	"2008"	"2008"	20	4657	4.29
	"Anchorage Borough, AK"	"02020"	"2009"	"2009"	30	4743	6.33
	"Anchorage Borough, AK"	"02020"	"2010"	"2010"	19	4575	4.15 (Unreliable)
	"Anchorage Borough, AK"	"02020"	"2011"	"2011"	17	4792	3.55 (Unreliable)
	"Anchorage Borough, AK"	"02020"	"2012"	"2012"	20	4613	4.34
	"Anchorage Borough, AK"	"02020"	"2013"	"2013"	26	4778	5.44
	"Anchorage Borough, AK"	"02020"	"2014"	"2014"	26	4691	5.54
	"Anchorage Borough, AK"	"02020"	"2015"	"2015"	28	4589	6.10
	"Anchorage Borough, AK"	"02020"	"2016"	"2016"	26	4518	5.75
	"Anchorage Borough, AK"	"02020"	"2017"	"2017"	23	4136	5.56
	"Unidentified Counties, AK"	"02999"	"2007"	"2007"	52	6572	7.91
	"Unidentified Counties, AK"	"02999"	"2008"	"2008"	49	6785	7.22
	"Unidentified Counties, AK"	"02999"	"2009"	"2009"	48	6581	7.29
	"Unidentified Counties, AK"	"02999"	"2010"	"2010"	22	6896	3.19
	"Unidentified Counties, AK"	"02999"	"2011"	"2011"	27	6664	4.05
	"Unidentified Counties, AK"	"02999"	"2012"	"2012"	37	6574	5.63
	"Unidentified Counties, AK"	"02999"	"2013"	"2013"	40	6668	6.00
	"Unidentified Counties, AK"	"02999"	"2014"	"2014"	50	6701	7.46
	"Unidentified Counties, AK"	"02999"	"2015"	"2015"	50	6693	7.47
	"Unidentified Counties, AK"	"02999"	"2016"	"2016"	32	6691	4.78
	"Unidentified Counties, AK"	"02999"	"2017"	"2017"	37	6309	5.86
	"Maricopa County, AZ"	"04013"	"2007"	"2007"	429	66001	6.50
	"Maricopa County, AZ"	"04013"	"2008"	"2008"	375	62680	5.98
	"Maricopa County, AZ"	"04013"	"2009"	"2009"	326	57718	5.65
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	318	54348	5.85
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	310	53467	5.80
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	324	54644	5.93
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	284	54015	5.26
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	336	55410	6.06
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	292	54736	5.33
	"Maricopa County, AZ"	"04013"	"2016"	"2016"	296	54126	5.47
	"Maricopa County, AZ"	"04013"	"2017"	"2017"	311	52633	5.91
	"Pima County, AZ"	"04019"	"2007"	"2007"	102	13819	7.38
	"Pima County, AZ"	"04019"	"2008"	"2008"	104	13521	7.69
	"Pima County, AZ"	"04019"	"2009"	"2009"	83	12868	6.45
	"Pima County, AZ"	"04019"	"2010"	"2010"	74	12184	6.07
	"Pima County, AZ"	"04019"	"2011"	"2011"	59	11893	4.96
	"Pima County, AZ"	"04019"	"2012"	"2012"	59	11917	4.95
	"Pima County, AZ"	"04019"	"2013"	"2013"	58	11994	4.84
	"Pima County, AZ"	"04019"	"2014"	"2014"	63	11864	5.31
	"Pima County, AZ"	"04019"	"2015"	"2015"	45	11500	3.91
	"Pima County, AZ"	"04019"	"2016"	"2016"	51	11421	4.47
	"Pima County, AZ"	"04019"	"2017"	"2017"	41	10983	3.73
	"Pinal County, AZ"	"04021"	"2007"	"2007"	Missing County	Missing County	Missing County
	"Pinal County, AZ"	"04021"	"2008"	"2008"	Missing County	Missing County	Missing County
	"Pinal County, AZ"	"04021"	"2009"	"2009"	Missing County	Missing County	Missing County
	"Pinal County, AZ"	"04021"	"2010"	"2010"	Missing County	Missing County	Missing County
	"Pinal County, AZ"	"04021"	"2011"	"2011"	Missing County	Missing County	Missing County
	"Pinal County, AZ"	"04021"	"2012"	"2012"	Missing County	Missing County	Missing County
	"Pinal County, AZ"	"04021"	"2013"	"2013"	Missing County	Missing County	Missing County
	"Pinal County, AZ"	"04021"	"2014"	"2014"	30	4491	6.68
	"Pinal County, AZ"	"04021"	"2015"	"2015"	27	4451	6.07
	"Pinal County, AZ"	"04021"	"2016"	"2016"	22	4470	4.92
	"Pinal County, AZ"	"04021"	"2017"	"2017"	25	4392	5.69
	"Unidentified Counties, AZ"	"04999"	"2007"	"2007"	176	23161	7.60
	"Unidentified Counties, AZ"	"04999"	"2008"	"2008"	156	23241	6.71
	"Unidentified Counties, AZ"	"04999"	"2009"	"2009"	145	22212	6.53
	"Unidentified Counties, AZ"	"04999"	"2010"	"2010"	127	20945	6.06
	"Unidentified Counties, AZ"	"04999"	"2011"	"2011"	142	20183	7.04
	"Unidentified Counties, AZ"	"04999"	"2012"	"2012"	117	19880	5.89
	"Unidentified Counties, AZ"	"04999"	"2013"	"2013"	107	19591	5.46
	"Unidentified Counties, AZ"	"04999"	"2014"	"2014"	100	15122	6.61
	"Unidentified Counties, AZ"	"04999"	"2015"	"2015"	103	14664	7.02
	"Unidentified Counties, AZ"	"04999"	"2016"	"2016"	80	14503	5.52
	"Unidentified Counties, AZ"	"04999"	"2017"	"2017"	90	13864	6.49
	"Pulaski County, AR"	"05119"	"2007"	"2007"	60	6016	9.97
	"Pulaski County, AR"	"05119"	"2008"	"2008"	58	6018	9.64
	"Pulaski County, AR"	"05119"	"2009"	"2009"	49	5776	8.48
	"Pulaski County, AR"	"05119"	"2010"	"2010"	33	5763	5.73
	"Pulaski County, AR"	"05119"	"2011"	"2011"	45	5759	7.81
	"Pulaski County, AR"	"05119"	"2012"	"2012"	40	5602	7.14
	"Pulaski County, AR"	"05119"	"2013"	"2013"	49	5521	8.88
	"Pulaski County, AR"	"05119"	"2014"	"2014"	49	5641	8.69
	"Pulaski County, AR"	"05119"	"2015"	"2015"	46	5571	8.26
	"Pulaski County, AR"	"05119"	"2016"	"2016"	42	5348	7.85
	"Pulaski County, AR"	"05119"	"2017"	"2017"	47	5259	8.94
	"Unidentified Counties, AR"	"05999"	"2007"	"2007"	264	35362	7.47
	"Unidentified Counties, AR"	"05999"	"2008"	"2008"	242	34651	6.98
	"Unidentified Counties, AR"	"05999"	"2009"	"2009"	252	34032	7.40
	"Unidentified Counties, AR"	"05999"	"2010"	"2010"	246	32777	7.51
	"Unidentified Counties, AR"	"05999"	"2011"	"2011"	238	32956	7.22
	"Unidentified Counties, AR"	"05999"	"2012"	"2012"	231	32745	7.05
	"Unidentified Counties, AR"	"05999"	"2013"	"2013"	248	32311	7.68
	"Unidentified Counties, AR"	"05999"	"2014"	"2014"	239	32870	7.27
	"Unidentified Counties, AR"	"05999"	"2015"	"2015"	247	33315	7.41
	"Unidentified Counties, AR"	"05999"	"2016"	"2016"	272	32926	8.26
	"Unidentified Counties, AR"	"05999"	"2017"	"2017"	257	32261	7.97
	"Alameda County, CA"	"06001"	"2007"	"2007"	109	21522	5.06
	"Alameda County, CA"	"06001"	"2008"	"2008"	89	20976	4.24
	"Alameda County, CA"	"06001"	"2009"	"2009"	77	20325	3.79
	"Alameda County, CA"	"06001"	"2010"	"2010"	96	19306	4.97
	"Alameda County, CA"	"06001"	"2011"	"2011"	85	19003	4.47
	"Alameda County, CA"	"06001"	"2012"	"2012"	72	19546	3.68
	"Alameda County, CA"	"06001"	"2013"	"2013"	89	19257	4.62
	"Alameda County, CA"	"06001"	"2014"	"2014"	78	19650	3.97
	"Alameda County, CA"	"06001"	"2015"	"2015"	76	19434	3.91
	"Alameda County, CA"	"06001"	"2016"	"2016"	74	19573	3.78
	"Alameda County, CA"	"06001"	"2017"	"2017"	73	18888	3.86
	"Contra Costa County, CA"	"06013"	"2007"	"2007"	58	13487	4.30
	"Contra Costa County, CA"	"06013"	"2008"	"2008"	53	13135	4.04
	"Contra Costa County, CA"	"06013"	"2009"	"2009"	59	12686	4.65
	"Contra Costa County, CA"	"06013"	"2010"	"2010"	54	12358	4.37
	"Contra Costa County, CA"	"06013"	"2011"	"2011"	72	12060	5.97
	"Contra Costa County, CA"	"06013"	"2012"	"2012"	52	12065	4.31
	"Contra Costa County, CA"	"06013"	"2013"	"2013"	52	12154	4.28
	"Contra Costa County, CA"	"06013"	"2014"	"2014"	46	12557	3.66
	"Contra Costa County, CA"	"06013"	"2015"	"2015"	43	12596	3.41
	"Contra Costa County, CA"	"06013"	"2016"	"2016"	35	12340	2.84
	"Contra Costa County, CA"	"06013"	"2017"	"2017"	41	12180	3.37
	"Fresno County, CA"	"06019"	"2007"	"2007"	99	17292	5.73
	"Fresno County, CA"	"06019"	"2008"	"2008"	116	16764	6.92
	"Fresno County, CA"	"06019"	"2009"	"2009"	101	16271	6.21
	"Fresno County, CA"	"06019"	"2010"	"2010"	113	16283	6.94
	"Fresno County, CA"	"06019"	"2011"	"2011"	133	16160	8.23
	"Fresno County, CA"	"06019"	"2012"	"2012"	93	15955	5.83
	"Fresno County, CA"	"06019"	"2013"	"2013"	145	15737	9.21
	"Fresno County, CA"	"06019"	"2014"	"2014"	117	15762	7.42
	"Fresno County, CA"	"06019"	"2015"	"2015"	118	15359	7.68
	"Fresno County, CA"	"06019"	"2016"	"2016"	72	15129	4.76
	"Fresno County, CA"	"06019"	"2017"	"2017"	100	14541	6.88
	"Kern County, CA"	"06029"	"2007"	"2007"	110	15336	7.17
	"Kern County, CA"	"06029"	"2008"	"2008"	113	15317	7.38
	"Kern County, CA"	"06029"	"2009"	"2009"	104	14828	7.01
	"Kern County, CA"	"06029"	"2010"	"2010"	65	14419	4.51
	"Kern County, CA"	"06029"	"2011"	"2011"	97	14287	6.79
	"Kern County, CA"	"06029"	"2012"	"2012"	87	14553	5.98
	"Kern County, CA"	"06029"	"2013"	"2013"	99	14149	7.00
	"Kern County, CA"	"06029"	"2014"	"2014"	87	14193	6.13
	"Kern County, CA"	"06029"	"2015"	"2015"	94	13768	6.83
	"Kern County, CA"	"06029"	"2016"	"2016"	66	13728	4.81
	"Kern County, CA"	"06029"	"2017"	"2017"	79	13326	5.93
	"Los Angeles County, CA"	"06037"	"2007"	"2007"	760	151908	5.00
	"Los Angeles County, CA"	"06037"	"2008"	"2008"	735	147766	4.97
	"Los Angeles County, CA"	"06037"	"2009"	"2009"	692	139757	4.95
	"Los Angeles County, CA"	"06037"	"2010"	"2010"	609	133252	4.57
	"Los Angeles County, CA"	"06037"	"2011"	"2011"	601	130370	4.61
	"Los Angeles County, CA"	"06037"	"2012"	"2012"	553	131664	4.20
	"Los Angeles County, CA"	"06037"	"2013"	"2013"	554	128598	4.31
	"Los Angeles County, CA"	"06037"	"2014"	"2014"	515	130289	3.95
	"Los Angeles County, CA"	"06037"	"2015"	"2015"	510	124641	4.09
	"Los Angeles County, CA"	"06037"	"2016"	"2016"	529	123092	4.30
	"Los Angeles County, CA"	"06037"	"2017"	"2017"	469	116950	4.01
	"Marin County, CA"	"06041"	"2007"	"2007"	Missing County	Missing County	Missing County
	"Marin County, CA"	"06041"	"2008"	"2008"	Missing County	Missing County	Missing County
	"Marin County, CA"	"06041"	"2009"	"2009"	Missing County	Missing County	Missing County
	"Marin County, CA"	"06041"	"2010"	"2010"	Missing County	Missing County	Missing County
	"Marin County, CA"	"06041"	"2011"	"2011"	Missing County	Missing County	Missing County
	"Marin County, CA"	"06041"	"2012"	"2012"	Missing County	Missing County	Missing County
	"Marin County, CA"	"06041"	"2013"	"2013"	Missing County	Missing County	Missing County
	"Marin County, CA"	"06041"	"2014"	"2014"	Suppressed	2401	Suppressed
	"Marin County, CA"	"06041"	"2015"	"2015"	Suppressed	2288	Suppressed
	"Marin County, CA"	"06041"	"2016"	"2016"	Suppressed	2252	Suppressed
	"Marin County, CA"	"06041"	"2017"	"2017"	Suppressed	2237	Suppressed
	"Merced County, CA"	"06047"	"2007"	"2007"	Missing County	Missing County	Missing County
	"Merced County, CA"	"06047"	"2008"	"2008"	Missing County	Missing County	Missing County
	"Merced County, CA"	"06047"	"2009"	"2009"	Missing County	Missing County	Missing County
	"Merced County, CA"	"06047"	"2010"	"2010"	Missing County	Missing County	Missing County
	"Merced County, CA"	"06047"	"2011"	"2011"	Missing County	Missing County	Missing County
	"Merced County, CA"	"06047"	"2012"	"2012"	Missing County	Missing County	Missing County
	"Merced County, CA"	"06047"	"2013"	"2013"	Missing County	Missing County	Missing County
	"Merced County, CA"	"06047"	"2014"	"2014"	Suppressed	4164	Suppressed
	"Merced County, CA"	"06047"	"2015"	"2015"	22	4104	5.36
	"Merced County, CA"	"06047"	"2016"	"2016"	16	4117	3.89 (Unreliable)
	"Merced County, CA"	"06047"	"2017"	"2017"	16	4202	3.81 (Unreliable)
	"Monterey County, CA"	"06053"	"2007"	"2007"	33	7551	4.37
	"Monterey County, CA"	"06053"	"2008"	"2008"	33	7435	4.44
	"Monterey County, CA"	"06053"	"2009"	"2009"	37	7070	5.23
	"Monterey County, CA"	"06053"	"2010"	"2010"	29	6765	4.29
	"Monterey County, CA"	"06053"	"2011"	"2011"	34	6812	4.99
	"Monterey County, CA"	"06053"	"2012"	"2012"	35	6652	5.26
	"Monterey County, CA"	"06053"	"2013"	"2013"	26	6547	3.97
	"Monterey County, CA"	"06053"	"2014"	"2014"	29	6455	4.49
	"Monterey County, CA"	"06053"	"2015"	"2015"	40	6420	6.23
	"Monterey County, CA"	"06053"	"2016"	"2016"	27	6219	4.34
	"Monterey County, CA"	"06053"	"2017"	"2017"	25	5810	4.30
	"Orange County, CA"	"06059"	"2007"	"2007"	195	44038	4.43
	"Orange County, CA"	"06059"	"2008"	"2008"	211	42467	4.97
	"Orange County, CA"	"06059"	"2009"	"2009"	157	40437	3.88
	"Orange County, CA"	"06059"	"2010"	"2010"	142	38250	3.71
	"Orange County, CA"	"06059"	"2011"	"2011"	165	38101	4.33
	"Orange County, CA"	"06059"	"2012"	"2012"	130	38183	3.40
	"Orange County, CA"	"06059"	"2013"	"2013"	123	37281	3.30
	"Orange County, CA"	"06059"	"2014"	"2014"	124	38595	3.21
	"Orange County, CA"	"06059"	"2015"	"2015"	115	37609	3.06
	"Orange County, CA"	"06059"	"2016"	"2016"	113	38106	2.97
	"Orange County, CA"	"06059"	"2017"	"2017"	117	37369	3.13
	"Placer County, CA"	"06061"	"2007"	"2007"	Missing County	Missing County	Missing County
	"Placer County, CA"	"06061"	"2008"	"2008"	Missing County	Missing County	Missing County
	"Placer County, CA"	"06061"	"2009"	"2009"	Missing County	Missing County	Missing County
	"Placer County, CA"	"06061"	"2010"	"2010"	Missing County	Missing County	Missing County
	"Placer County, CA"	"06061"	"2011"	"2011"	Missing County	Missing County	Missing County
	"Placer County, CA"	"06061"	"2012"	"2012"	Missing County	Missing County	Missing County
	"Placer County, CA"	"06061"	"2013"	"2013"	Missing County	Missing County	Missing County
	"Placer County, CA"	"06061"	"2014"	"2014"	16	3631	4.41 (Unreliable)
	"Placer County, CA"	"06061"	"2015"	"2015"	20	3747	5.34
	"Placer County, CA"	"06061"	"2016"	"2016"	Suppressed	3732	Suppressed
	"Placer County, CA"	"06061"	"2017"	"2017"	Suppressed	3689	Suppressed
	"Riverside County, CA"	"06065"	"2007"	"2007"	190	34563	5.50
	"Riverside County, CA"	"06065"	"2008"	"2008"	180	32881	5.47
	"Riverside County, CA"	"06065"	"2009"	"2009"	166	31605	5.25
	"Riverside County, CA"	"06065"	"2010"	"2010"	158	30670	5.15
	"Riverside County, CA"	"06065"	"2011"	"2011"	144	30611	4.70
	"Riverside County, CA"	"06065"	"2012"	"2012"	152	30300	5.02
	"Riverside County, CA"	"06065"	"2013"	"2013"	151	29941	5.04
	"Riverside County, CA"	"06065"	"2014"	"2014"	137	30235	4.53
	"Riverside County, CA"	"06065"	"2015"	"2015"	119	30491	3.90
	"Riverside County, CA"	"06065"	"2016"	"2016"	146	30661	4.76
	"Riverside County, CA"	"06065"	"2017"	"2017"	140	29857	4.69
	"Sacramento County, CA"	"06067"	"2007"	"2007"	131	22119	5.92
	"Sacramento County, CA"	"06067"	"2008"	"2008"	111	21399	5.19
	"Sacramento County, CA"	"06067"	"2009"	"2009"	110	20433	5.38
	"Sacramento County, CA"	"06067"	"2010"	"2010"	107	20056	5.34
	"Sacramento County, CA"	"06067"	"2011"	"2011"	103	20002	5.15
	"Sacramento County, CA"	"06067"	"2012"	"2012"	109	19623	5.55
	"Sacramento County, CA"	"06067"	"2013"	"2013"	97	19371	5.01
	"Sacramento County, CA"	"06067"	"2014"	"2014"	107	19871	5.38
	"Sacramento County, CA"	"06067"	"2015"	"2015"	91	19423	4.69
	"Sacramento County, CA"	"06067"	"2016"	"2016"	95	19588	4.85
	"Sacramento County, CA"	"06067"	"2017"	"2017"	87	19202	4.53
	"San Bernardino County, CA"	"06071"	"2007"	"2007"	207	35190	5.88
	"San Bernardino County, CA"	"06071"	"2008"	"2008"	201	33837	5.94
	"San Bernardino County, CA"	"06071"	"2009"	"2009"	243	32006	7.59
	"San Bernardino County, CA"	"06071"	"2010"	"2010"	180	31368	5.74
	"San Bernardino County, CA"	"06071"	"2011"	"2011"	183	30566	5.99
	"San Bernardino County, CA"	"06071"	"2012"	"2012"	182	30701	5.93
	"San Bernardino County, CA"	"06071"	"2013"	"2013"	209	30246	6.91
	"San Bernardino County, CA"	"06071"	"2014"	"2014"	187	31226	5.99
	"San Bernardino County, CA"	"06071"	"2015"	"2015"	168	30530	5.50
	"San Bernardino County, CA"	"06071"	"2016"	"2016"	195	31032	6.28
	"San Bernardino County, CA"	"06071"	"2017"	"2017"	163	29643	5.50
	"San Diego County, CA"	"06073"	"2007"	"2007"	243	47569	5.11
	"San Diego County, CA"	"06073"	"2008"	"2008"	230	46754	4.92
	"San Diego County, CA"	"06073"	"2009"	"2009"	196	44982	4.36
	"San Diego County, CA"	"06073"	"2010"	"2010"	194	44867	4.32
	"San Diego County, CA"	"06073"	"2011"	"2011"	190	43643	4.35
	"San Diego County, CA"	"06073"	"2012"	"2012"	170	44396	3.83
	"San Diego County, CA"	"06073"	"2013"	"2013"	191	43659	4.37
	"San Diego County, CA"	"06073"	"2014"	"2014"	176	44596	3.95
	"San Diego County, CA"	"06073"	"2015"	"2015"	162	43942	3.69
	"San Diego County, CA"	"06073"	"2016"	"2016"	167	42720	3.91
	"San Diego County, CA"	"06073"	"2017"	"2017"	153	41230	3.71
	"San Francisco County, CA"	"06075"	"2007"	"2007"	33	9129	3.61
	"San Francisco County, CA"	"06075"	"2008"	"2008"	48	9106	5.27
	"San Francisco County, CA"	"06075"	"2009"	"2009"	34	8810	3.86
	"San Francisco County, CA"	"06075"	"2010"	"2010"	29	8806	3.29
	"San Francisco County, CA"	"06075"	"2011"	"2011"	21	8813	2.38
	"San Francisco County, CA"	"06075"	"2012"	"2012"	31	9075	3.42
	"San Francisco County, CA"	"06075"	"2013"	"2013"	33	8814	3.74
	"San Francisco County, CA"	"06075"	"2014"	"2014"	26	9104	2.86
	"San Francisco County, CA"	"06075"	"2015"	"2015"	33	8972	3.68
	"San Francisco County, CA"	"06075"	"2016"	"2016"	19	9062	2.10 (Unreliable)
	"San Francisco County, CA"	"06075"	"2017"	"2017"	22	8947	2.46
	"San Joaquin County, CA"	"06077"	"2007"	"2007"	64	11600	5.52
	"San Joaquin County, CA"	"06077"	"2008"	"2008"	74	11030	6.71
	"San Joaquin County, CA"	"06077"	"2009"	"2009"	61	10876	5.61
	"San Joaquin County, CA"	"06077"	"2010"	"2010"	64	10596	6.04
	"San Joaquin County, CA"	"06077"	"2011"	"2011"	71	10329	6.87
	"San Joaquin County, CA"	"06077"	"2012"	"2012"	45	10129	4.44
	"San Joaquin County, CA"	"06077"	"2013"	"2013"	67	9800	6.84
	"San Joaquin County, CA"	"06077"	"2014"	"2014"	62	10113	6.13
	"San Joaquin County, CA"	"06077"	"2015"	"2015"	61	9983	6.11
	"San Joaquin County, CA"	"06077"	"2016"	"2016"	44	10268	4.29
	"San Joaquin County, CA"	"06077"	"2017"	"2017"	54	9928	5.44
	"San Luis Obispo County, CA"	"06079"	"2007"	"2007"	Missing County	Missing County	Missing County
	"San Luis Obispo County, CA"	"06079"	"2008"	"2008"	Missing County	Missing County	Missing County
	"San Luis Obispo County, CA"	"06079"	"2009"	"2009"	Missing County	Missing County	Missing County
	"San Luis Obispo County, CA"	"06079"	"2010"	"2010"	Missing County	Missing County	Missing County
	"San Luis Obispo County, CA"	"06079"	"2011"	"2011"	Missing County	Missing County	Missing County
	"San Luis Obispo County, CA"	"06079"	"2012"	"2012"	Missing County	Missing County	Missing County
	"San Luis Obispo County, CA"	"06079"	"2013"	"2013"	Missing County	Missing County	Missing County
	"San Luis Obispo County, CA"	"06079"	"2014"	"2014"	15	2596	5.78 (Unreliable)
	"San Luis Obispo County, CA"	"06079"	"2015"	"2015"	11	2668	4.12 (Unreliable)
	"San Luis Obispo County, CA"	"06079"	"2016"	"2016"	12	2581	4.65 (Unreliable)
	"San Luis Obispo County, CA"	"06079"	"2017"	"2017"	11	2550	4.31 (Unreliable)
	"San Mateo County, CA"	"06081"	"2007"	"2007"	46	9914	4.64
	"San Mateo County, CA"	"06081"	"2008"	"2008"	34	9771	3.48
	"San Mateo County, CA"	"06081"	"2009"	"2009"	29	9452	3.07
	"San Mateo County, CA"	"06081"	"2010"	"2010"	29	9194	3.15
	"San Mateo County, CA"	"06081"	"2011"	"2011"	23	9048	2.54
	"San Mateo County, CA"	"06081"	"2012"	"2012"	26	9185	2.83
	"San Mateo County, CA"	"06081"	"2013"	"2013"	16	8824	1.81 (Unreliable)
	"San Mateo County, CA"	"06081"	"2014"	"2014"	26	9083	2.86
	"San Mateo County, CA"	"06081"	"2015"	"2015"	30	9037	3.32
	"San Mateo County, CA"	"06081"	"2016"	"2016"	26	8960	2.90
	"San Mateo County, CA"	"06081"	"2017"	"2017"	25	8585	2.91
	"Santa Barbara County, CA"	"06083"	"2007"	"2007"	28	6292	4.45
	"Santa Barbara County, CA"	"06083"	"2008"	"2008"	38	6320	6.01
	"Santa Barbara County, CA"	"06083"	"2009"	"2009"	30	6041	4.97
	"Santa Barbara County, CA"	"06083"	"2010"	"2010"	27	5821	4.64
	"Santa Barbara County, CA"	"06083"	"2011"	"2011"	29	5804	5.00
	"Santa Barbara County, CA"	"06083"	"2012"	"2012"	16	5585	2.86 (Unreliable)
	"Santa Barbara County, CA"	"06083"	"2013"	"2013"	15	5755	2.61 (Unreliable)
	"Santa Barbara County, CA"	"06083"	"2014"	"2014"	20	5830	3.43
	"Santa Barbara County, CA"	"06083"	"2015"	"2015"	28	5673	4.94
	"Santa Barbara County, CA"	"06083"	"2016"	"2016"	27	5501	4.91
	"Santa Barbara County, CA"	"06083"	"2017"	"2017"	28	5531	5.06
	"Santa Clara County, CA"	"06085"	"2007"	"2007"	108	27490	3.93
	"Santa Clara County, CA"	"06085"	"2008"	"2008"	86	26731	3.22
	"Santa Clara County, CA"	"06085"	"2009"	"2009"	97	25203	3.85
	"Santa Clara County, CA"	"06085"	"2010"	"2010"	68	23940	2.84
	"Santa Clara County, CA"	"06085"	"2011"	"2011"	70	23649	2.96
	"Santa Clara County, CA"	"06085"	"2012"	"2012"	80	24308	3.29
	"Santa Clara County, CA"	"06085"	"2013"	"2013"	80	23313	3.43
	"Santa Clara County, CA"	"06085"	"2014"	"2014"	66	23742	2.78
	"Santa Clara County, CA"	"06085"	"2015"	"2015"	80	23393	3.42
	"Santa Clara County, CA"	"06085"	"2016"	"2016"	80	23042	3.47
	"Santa Clara County, CA"	"06085"	"2017"	"2017"	70	22133	3.16
	"Santa Cruz County, CA"	"06087"	"2007"	"2007"	22	3571	6.16
	"Santa Cruz County, CA"	"06087"	"2008"	"2008"	10	3537	2.83 (Unreliable)
	"Santa Cruz County, CA"	"06087"	"2009"	"2009"	Suppressed	3299	Suppressed
	"Santa Cruz County, CA"	"06087"	"2010"	"2010"	Suppressed	3192	Suppressed
	"Santa Cruz County, CA"	"06087"	"2011"	"2011"	14	3233	4.33 (Unreliable)
	"Santa Cruz County, CA"	"06087"	"2012"	"2012"	17	3083	5.51 (Unreliable)
	"Santa Cruz County, CA"	"06087"	"2013"	"2013"	12	2871	4.18 (Unreliable)
	"Santa Cruz County, CA"	"06087"	"2014"	"2014"	13	3069	4.24 (Unreliable)
	"Santa Cruz County, CA"	"06087"	"2015"	"2015"	12	2840	4.23 (Unreliable)
	"Santa Cruz County, CA"	"06087"	"2016"	"2016"	11	2799	3.93 (Unreliable)
	"Santa Cruz County, CA"	"06087"	"2017"	"2017"	10	2658	3.76 (Unreliable)
