	Feature	score
243	ENSG00000106537	33
244	ENSG00000106546	0
245	ENSG00000106565	-13
246	ENSG00000106605	22
247	ENSG00000106624	28
248	ENSG00000106665	51
249	ENSG00000106780	12
250	ENSG00000106952	12
251	ENSG00000106976	13
252	ENSG00000107281	34
253	ENSG00000107282	41
254	ENSG00000107317	48
255	ENSG00000107438	-8
256	ENSG00000107447	34
257	ENSG00000107551	31
258	ENSG00000107562	-20
259	ENSG00000107719	49
260	ENSG00000107738	16
261	ENSG00000107742	26
262	ENSG00000107863	64
263	ENSG00000107957	25
264	ENSG00000108176	24
265	ENSG00000108511	112
266	ENSG00000108551	25
267	ENSG00000108679	-10
268	ENSG00000108702	62
269	ENSG00000108798	9
270	ENSG00000109099	52
271	ENSG00000109113	32
272	ENSG00000109255	-10
273	ENSG00000109265	45
274	ENSG00000109321	15
275	ENSG00000109436	-1
276	ENSG00000109452	35
277	ENSG00000109576	97
278	ENSG00000109743	13
279	ENSG00000109906	9
280	ENSG00000110042	31
281	ENSG00000110076	15
282	ENSG00000110077	45
283	ENSG00000110079	28
284	ENSG00000110237	19
285	ENSG00000110324	18
286	ENSG00000110400	9
287	ENSG00000110446	15
288	ENSG00000110492	22
289	ENSG00000110665	12
290	ENSG00000110799	7
291	ENSG00000110848	-12
292	ENSG00000110852	20
293	ENSG00000111052	11
294	ENSG00000111057	69
295	ENSG00000111261	50
296	ENSG00000111275	39
297	ENSG00000111335	6
298	ENSG00000111371	40
299	ENSG00000111424	42
300	ENSG00000111729	0
301	ENSG00000111885	54
302	ENSG00000112077	-6
303	ENSG00000112290	8
304	ENSG00000112299	38
305	ENSG00000112303	13
306	ENSG00000112414	-11
307	ENSG00000112559	18
308	ENSG00000112655	4
309	ENSG00000112715	27
310	ENSG00000112799	3
311	ENSG00000113070	10
312	ENSG00000113100	6
313	ENSG00000113140	51
314	ENSG00000113389	70
315	ENSG00000113657	60
316	ENSG00000113749	9
317	ENSG00000113758	16
318	ENSG00000113916	17
319	ENSG00000114013	5
320	ENSG00000114204	16
321	ENSG00000114374	0
322	ENSG00000114631	25
323	ENSG00000114654	39
324	ENSG00000115085	8
325	ENSG00000115138	1
326	ENSG00000115295	42
327	ENSG00000115457	46
328	ENSG00000115461	17
329	ENSG00000115523	19
330	ENSG00000115590	-8
331	ENSG00000115594	13
332	ENSG00000115602	-6
333	ENSG00000115738	17
334	ENSG00000115828	39
335	ENSG00000115919	21
336	ENSG00000116133	-1
337	ENSG00000116574	19
338	ENSG00000116667	53
339	ENSG00000116701	10
340	ENSG00000116711	55
341	ENSG00000116741	8
342	ENSG00000116824	-4
343	ENSG00000116883	15
344	ENSG00000116962	29
345	ENSG00000116991	25
346	ENSG00000117020	45
347	ENSG00000117091	16
348	ENSG00000117115	8
349	ENSG00000117228	24
350	ENSG00000117245	37
351	ENSG00000117298	41
352	ENSG00000117400	34
353	ENSG00000117407	2
354	ENSG00000117525	50
355	ENSG00000117594	-8
356	ENSG00000117595	-6
357	ENSG00000117791	53
358	ENSG00000117984	17
359	ENSG00000118113	2
360	ENSG00000118231	29
361	ENSG00000118242	37
362	ENSG00000118276	46
363	ENSG00000118515	7
364	ENSG00000118523	-2
365	ENSG00000118785	21
366	ENSG00000118971	59
367	ENSG00000119138	38
368	ENSG00000119865	5
369	ENSG00000119888	-13
370	ENSG00000119919	102
371	ENSG00000120068	10
372	ENSG00000120075	85
373	ENSG00000120093	139
374	ENSG00000120279	70
375	ENSG00000120280	19
376	ENSG00000120318	37
377	ENSG00000120594	-1
378	ENSG00000120645	-12
379	ENSG00000120708	20
380	ENSG00000120738	-8
381	ENSG00000120833	10
382	ENSG00000120885	39
383	ENSG00000120896	28
384	ENSG00000121053	14
385	ENSG00000121064	43
386	ENSG00000121297	31
387	ENSG00000121316	36
388	ENSG00000121552	27
389	ENSG00000121570	39
390	ENSG00000121807	17
391	ENSG00000121858	4
392	ENSG00000122025	-5
393	ENSG00000122378	56
394	ENSG00000122592	137
395	ENSG00000122824	52
396	ENSG00000122862	28
397	ENSG00000122877	-1
398	ENSG00000123080	22
399	ENSG00000123191	20
400	ENSG00000123342	24
401	ENSG00000123358	5
402	ENSG00000123384	15
403	ENSG00000123689	-4
404	ENSG00000123892	19
405	ENSG00000124006	56
406	ENSG00000124107	53
407	ENSG00000124145	3
408	ENSG00000124181	32
409	ENSG00000124216	34
410	ENSG00000124469	9
411	ENSG00000124491	15
412	ENSG00000124507	41
413	ENSG00000124570	36
414	ENSG00000124575	14
415	ENSG00000124731	17
416	ENSG00000124762	3
417	ENSG00000124780	23
418	ENSG00000124882	11
419	ENSG00000125089	3
420	ENSG00000125148	19
421	ENSG00000125538	-11
422	ENSG00000125657	9
423	ENSG00000125726	-14
424	ENSG00000125740	-4
425	ENSG00000125810	17
426	ENSG00000125869	10
427	ENSG00000125900	17
428	ENSG00000125968	3
429	ENSG00000126353	0
430	ENSG00000126458	9
431	ENSG00000126709	-14
432	ENSG00000126759	8
433	ENSG00000126821	32
434	ENSG00000126822	28
435	ENSG00000126878	28
436	ENSG00000127418	2
437	ENSG00000127528	9
438	ENSG00000127824	46
439	ENSG00000127920	23
440	ENSG00000127946	7
441	ENSG00000127951	5
442	ENSG00000127955	69
443	ENSG00000128040	0
444	ENSG00000128268	6
445	ENSG00000128274	-6
446	ENSG00000128283	0
447	ENSG00000128322	29
448	ENSG00000128383	15
449	ENSG00000128422	100
450	ENSG00000128739	34
451	ENSG00000128805	74
452	ENSG00000128833	24
453	ENSG00000129244	-8
454	ENSG00000129450	28
455	ENSG00000129538	11
456	ENSG00000129682	79
457	ENSG00000129757	10
458	ENSG00000129824	-15
