"2016-2017 IMMUNIZATION STATUS OF KINDERGARTEN STUDENTS, CALIFORNIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schools with 20 or more students enrolled that reported and schools that did not report.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,
SCHOOL CODE,COUNTY,PUB/  PRIV,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,UP-TO-DATE†,,CONDI- TIONAL^,,PME**,,PBE***,,OTHERS§ ,,OVERDUE ††,,DTP†††,,POLIO¥,,MMR‡,,HEPB‡‡,,VAR¶,,REPORTED¶¶
,,,,,,,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%,
6105407,LOS ANGELES,PUBLIC,MOUNTAIN VIEW ELEMENTARY,EL MONTE,TWIN LAKES ELEMENTARY,81,78,96,3,4,0,0,0,0,0,0,0,0,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6020788,LOS ANGELES,PUBLIC,MOUNTAIN VIEW ELEMENTARY,EL MONTE,WILLARD F. PAYNE ELEMENTARY,93,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
100644,LOS ANGELES,PUBLIC,NEWHALL,NEWHALL,DR. J. MICHAEL MCGRATH ELEMENTARY,113,110,97,3,3,0,0,0,0,0,0,0,0,111,98,--*,≥99%,111,98,--*,≥99%,111,98,Y
6020796,LOS ANGELES,PUBLIC,NEWHALL,NEWHALL,NEWHALL ELEMENTARY,97,94,97,2,2,0,0,0,0,1,1,0,0,94,97,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6020804,LOS ANGELES,PUBLIC,NEWHALL,NEWHALL,PEACHLAND AVENUE ELEMENTARY,85,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6020812,LOS ANGELES,PUBLIC,NEWHALL,NEWHALL,WILEY CANYON ELEMENTARY,95,92,97,2,2,1,1,0,0,0,0,0,0,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
100636,LOS ANGELES,PUBLIC,NEWHALL,STEVENSON RANCH,PICO CANYON ELEMENTARY,130,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6113047,LOS ANGELES,PUBLIC,NEWHALL,STEVENSON RANCH,STEVENSON RANCH ELEMENTARY,117,108,92,9,8,0,0,0,0,0,0,0,0,110,94,110,94,115,98,115,98,115,98,Y
6095442,LOS ANGELES,PUBLIC,NEWHALL,VALENCIA,MEADOWS ELEMENTARY,83,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
108027,LOS ANGELES,PUBLIC,NEWHALL,VALENCIA,OAK HILLS ELEMENTARY,81,78,96,3,4,0,0,0,0,0,0,0,0,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6066773,LOS ANGELES,PUBLIC,NEWHALL,VALENCIA,OLD ORCHARD ELEMENTARY,67,65,97,1,1,1,1,0,0,0,0,0,0,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6107171,LOS ANGELES,PUBLIC,NEWHALL,VALENCIA,VALENCIA VALLEY ELEMENTARY,88,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6020903,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,LA MIRADA,EASTWOOD ELEMENTARY,67,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6020929,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,LA MIRADA,ESCALONA ELEMENTARY,94,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6020937,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,LA MIRADA,FOSTER ROAD ELEMENTARY,,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,N
6020945,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,LA MIRADA,GARDENHILL ELEMENTARY,117,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6021000,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,LA MIRADA,JOHN FOSTER DULLES ELEMENTARY,85,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6021034,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,LA MIRADA,LA PLUMA ELEMENTARY,72,67,93,0,0,0,0,0,0,0,0,5,7,67,93,67,93,67,93,69,96,70,97,Y
6020838,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,NORWALK,ANNA M. GLAZIER ELEMENTARY,91,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6021091,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,NORWALK,ARTURO SANCHEZ ELEMENTARY,45,35,78,10,22,0,0,0,0,0,0,0,0,37,82,40,89,37,82,--*,≥95%,--*,≥95%,Y
6020853,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,NORWALK,CESAR CHAVEZ ELEMENTARY,82,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6020895,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,NORWALK,D. D. JOHNSTON ELEMENTARY,72,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6020952,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,NORWALK,EARL E. EDMONDSON ELEMENTARY,94,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6020994,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,NORWALK,JOHN DOLLAND ELEMENTARY,101,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6021018,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,NORWALK,JOHN H. NUFFER ELEMENTARY,48,--*,≥95%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,Y
6021026,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,NORWALK,JULIA B. MORRISON ELEMENTARY,110,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6020911,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,NORWALK,LORETTA LAMPTON ELEMENTARY,128,122,95,6,5,0,0,0,0,0,0,0,0,123,96,125,98,123,96,125,98,125,98,Y
6021083,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,NORWALK,NEW RIVER ELEMENTARY,64,60,94,0,0,0,0,0,0,0,0,4,6,61,95,61,95,60,94,62,97,62,97,Y
6021133,LOS ANGELES,PUBLIC,NORWALK-LA MIRADA UNIFIED,NORWALK,THOMAS B. MOFFITT ELEMENTARY,77,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6111538,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,BARREL SPRINGS ELEMENTARY,124,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6108609,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,BUENA VISTA ELEMENTARY,116,111,96,1,1,1,1,2,2,0,0,1,1,113,97,113,97,113,97,114,98,114,98,Y
6106900,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,CHAPARRAL ELEMENTARY,109,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6113906,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,CIMARRON ELEMENTARY,165,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6105621,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,DESERT ROSE ELEMENTARY,151,148,98,0,0,0,0,0,0,0,0,3,2,148,98,148,98,--*,≥99%,--*,≥99%,--*,≥99%,Y
124156,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,DOS CAMINOS,114,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6118749,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,GOLDEN POPPY ELEMENTARY,125,123,98,1,1,0,0,0,0,0,0,1,1,123,98,123,98,--*,≥99%,--*,≥99%,--*,≥99%,Y
6119580,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,GUIDANCE CHARTER,52,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6106793,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,JOSHUA HILLS ELEMENTARY,111,109,98,1,1,1,1,0,0,0,0,0,0,109,98,109,98,109,98,--*,≥99%,--*,≥99%,Y
6119143,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,LOS AMIGOS,223,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6021158,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,MANZANITA ELEMENTARY,141,137,97,4,3,0,0,0,0,0,0,0,0,138,98,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6108625,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,MESQUITE ELEMENTARY,165,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6021141,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,OCOTILLO ELEMENTARY,150,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6107635,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,PALM TREE ELEMENTARY,147,143,97,0,0,1,1,1,1,0,0,2,1,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6111546,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,PALMDALE LEARNING PLAZA,90,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6115273,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,QUAIL VALLEY ELEMENTARY,104,99,95,0,0,0,0,0,0,0,0,5,5,99,95,101,97,102,98,101,97,--*,≥99%,Y
6108633,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,SUMMERWIND ELEMENTARY,139,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
129973,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,TAMARISK,184,180,98,3,2,0,0,0,0,0,0,1,1,181,98,--*,≥99%,181,98,--*,≥99%,--*,≥99%,Y
6021190,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,TUMBLEWEED ELEMENTARY,171,168,98,3,2,0,0,0,0,0,0,0,0,168,98,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6021208,LOS ANGELES,PUBLIC,PALMDALE ELEMENTARY,PALMDALE,YUCCA ELEMENTARY,116,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6021240,LOS ANGELES,PUBLIC,PALOS VERDES PENINSULA UNIFIED,PALOS VERDES ESTATES,LUNADA BAY ELEMENTARY,72,68,94,4,6,0,0,0,0,0,0,0,0,--*,≥98%,70,97,--*,≥98%,69,96,--*,≥98%,Y
6021299,LOS ANGELES,PUBLIC,PALOS VERDES PENINSULA UNIFIED,PALOS VERDES ESTATES,MONTEMALAGA ELEMENTARY,93,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6021307,LOS ANGELES,PUBLIC,PALOS VERDES PENINSULA UNIFIED,RANCHO PALOS VERDES,CORNERSTONE AT PEDREGAL ELEMENTARY,62,60,97,2,3,0,0,0,0,0,0,0,0,60,97,60,97,60,97,60,97,60,97,Y
6021273,LOS ANGELES,PUBLIC,PALOS VERDES PENINSULA UNIFIED,RANCHO PALOS VERDES,MIRA CATALINA ELEMENTARY,70,66,94,0,0,0,0,1,1,0,0,3,4,68,97,68,97,67,96,67,96,--*,≥98%,Y
6021315,LOS ANGELES,PUBLIC,PALOS VERDES PENINSULA UNIFIED,RANCHO PALOS VERDES,POINT VICENTE ELEMENTARY,66,64,97,2,3,0,0,0,0,0,0,0,0,--*,≥98%,--*,≥98%,--*,≥98%,64,97,--*,≥98%,Y
6021349,LOS ANGELES,PUBLIC,PALOS VERDES PENINSULA UNIFIED,RANCHO PALOS VERDES,SILVER SPUR ELEMENTARY,100,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6021356,LOS ANGELES,PUBLIC,PALOS VERDES PENINSULA UNIFIED,RANCHO PALOS VERDES,SOLEADO ELEMENTARY,87,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6021372,LOS ANGELES,PUBLIC,PALOS VERDES PENINSULA UNIFIED,RANCHO PALOS VERDES,VISTA GRANDE ELEMENTARY,70,68,97,0,0,1,1,1,1,0,0,0,0,68,97,68,97,68,97,68,97,68,97,Y
6116172,LOS ANGELES,PUBLIC,PALOS VERDES PENINSULA UNIFIED,ROLLING HILLS ESTATES,DAPPLEGRAY ELEMENTARY,123,120,98,0,0,0,0,2,2,1,1,0,0,121,98,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6021323,LOS ANGELES,PUBLIC,PALOS VERDES PENINSULA UNIFIED,ROLLING HILLS ESTATES,RANCHO VISTA ELEMENTARY,91,87,96,4,4,0,0,0,0,0,0,0,0,--*,≥98%,--*,≥98%,87,96,--*,≥98%,--*,≥98%,Y
6021380,LOS ANGELES,PUBLIC,PARAMOUNT UNIFIED,LONG BEACH,CAPTAIN RAYMOND COLLINS,113,98,87,0,0,0,0,0,0,0,0,15,13,99,88,100,88,101,89,--*,≥99%,--*,≥99%,Y
6021430,LOS ANGELES,PUBLIC,PARAMOUNT UNIFIED,PARAMOUNT,ABRAHAM LINCOLN,120,109,91,0,0,0,0,0,0,0,0,11,9,109,91,--*,≥99%,113,94,--*,≥99%,--*,≥99%,Y
6021489,LOS ANGELES,PUBLIC,PARAMOUNT UNIFIED,PARAMOUNT,HARRY WIRTZ ELEMENTARY,93,86,92,7,8,0,0,0,0,0,0,0,0,87,94,--*,≥98%,88,95,--*,≥98%,--*,≥98%,Y
108779,LOS ANGELES,PUBLIC,PARAMOUNT UNIFIED,PARAMOUNT,HOWARD TANNER,104,90,87,0,0,0,0,0,0,0,0,14,13,100,96,93,89,95,91,102,98,94,90,Y
6117444,LOS ANGELES,PUBLIC,PARAMOUNT UNIFIED,PARAMOUNT,JEFFERSON ELEMENTARY,53,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6021448,LOS ANGELES,PUBLIC,PARAMOUNT UNIFIED,PARAMOUNT,LOS CERRITOS,102,95,93,0,0,0,0,0,0,0,0,7,7,95,93,95,93,95,93,--*,≥99%,--*,≥99%,Y
6021463,LOS ANGELES,PUBLIC,PARAMOUNT UNIFIED,PARAMOUNT,MAJOR LYNN MOKLER,112,77,69,34,30,0,0,0,0,0,0,1,1,93,83,86,77,92,82,108,96,--*,≥99%,Y
6021455,LOS ANGELES,PUBLIC,PARAMOUNT UNIFIED,PARAMOUNT,MARK KEPPEL,78,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6021471,LOS ANGELES,PUBLIC,PARAMOUNT UNIFIED,PARAMOUNT,THEODORE ROOSEVELT,114,109,96,0,0,0,0,0,0,0,0,5,4,109,96,109,96,109,96,--*,≥99%,--*,≥99%,Y
6021398,LOS ANGELES,PUBLIC,PARAMOUNT UNIFIED,PARAMOUNT,WESLEY GAINES,114,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6021414,LOS ANGELES,PUBLIC,PARAMOUNT UNIFIED,SOUTH GATE,HOLLYDALE,106,47,44,58,55,0,0,1,1,0,0,0,0,85,80,87,82,92,87,102,96,--*,≥99%,Y
6021505,LOS ANGELES,PUBLIC,PASADENA UNIFIED,ALTADENA,ALTADENA ELEMENTARY,28,--*,≥95%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,Y
113472,LOS ANGELES,PUBLIC,PASADENA UNIFIED,ALTADENA,AVESON SCHOOL OF LEADERS,112,63,56,35,31,2,2,4,4,8,7,0,0,93,83,97,87,91,81,96,86,104,93,Y
6021588,LOS ANGELES,PUBLIC,PASADENA UNIFIED,ALTADENA,FRANKLIN ELEMENTARY,44,--*,≥95%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,Y
6021620,LOS ANGELES,PUBLIC,PASADENA UNIFIED,ALTADENA,JACKSON ELEMENTARY,118,115,97,2,2,0,0,0,0,0,0,1,1,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
113894,LOS ANGELES,PUBLIC,PASADENA UNIFIED,ALTADENA,PASADENA ROSEBUD ACADEMY,22,20,91,0,0,0,0,2,9,0,0,0,0,20,91,20,91,20,91,20,91,20,91,Y
6021547,LOS ANGELES,PUBLIC,PASADENA UNIFIED,PASADENA,CLEVELAND ELEMENTARY,27,22,81,0,0,0,0,0,0,0,0,5,19,22,81,22,81,22,81,--*,≥95%,--*,≥95%,Y
6021760,LOS ANGELES,PUBLIC,PASADENA UNIFIED,PASADENA,DANIEL WEBSTER,70,68,97,0,0,2,3,0,0,0,0,0,0,--*,≥98%,--*,≥98%,68,97,--*,≥98%,--*,≥98%,Y
6021554,LOS ANGELES,PUBLIC,PASADENA UNIFIED,PASADENA,DON BENITO FUNDAMENTAL,100,98,98,0,0,2,2,0,0,0,0,0,0,98,98,98,98,98,98,98,98,98,98,Y
6021570,LOS ANGELES,PUBLIC,PASADENA UNIFIED,PASADENA,FIELD (EUGENE) ELEMENTARY,96,72,75,0,0,0,0,0,0,0,0,24,25,80,83,82,85,79,82,91,95,--*,≥98%,Y
6021612,LOS ANGELES,PUBLIC,PASADENA UNIFIED,PASADENA,HAMILTON ELEMENTARY,90,87,97,2,2,0,0,1,1,0,0,0,0,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6021638,LOS ANGELES,PUBLIC,PASADENA UNIFIED,PASADENA,JEFFERSON ELEMENTARY,115,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6021679,LOS ANGELES,PUBLIC,PASADENA UNIFIED,PASADENA,LONGFELLOW (HENRY W.) ELEMENTARY,99,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6021687,LOS ANGELES,PUBLIC,PASADENA UNIFIED,PASADENA,MADISON ELEMENTARY,90,77,86,13,14,0,0,0,0,0,0,0,0,80,89,82,91,83,92,--*,≥98%,84,93,Y
6120265,LOS ANGELES,PUBLIC,PASADENA UNIFIED,PASADENA,MCKINLEY,135,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
1932409,LOS ANGELES,PUBLIC,PASADENA UNIFIED,PASADENA,NORMA COOMBS ELEMENTARY,84,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6021711,LOS ANGELES,PUBLIC,PASADENA UNIFIED,PASADENA,ROOSEVELT,44,--*,≥95%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,Y
6021729,LOS ANGELES,PUBLIC,PASADENA UNIFIED,PASADENA,SAN RAFAEL ELEMENTARY,92,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6119549,LOS ANGELES,PUBLIC,PASADENA UNIFIED,PASADENA,WASHINGTON ELEMENTARY,112,110,98,2,2,0,0,0,0,0,0,0,0,110,98,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6021778,LOS ANGELES,PUBLIC,PASADENA UNIFIED,PASADENA,WILLARD ELEMENTARY,109,105,96,0,0,0,0,0,0,2,2,2,2,106,97,107,98,106,97,107,98,--*,≥99%,Y
6021737,LOS ANGELES,PUBLIC,PASADENA UNIFIED,SIERRA MADRE,SIERRA MADRE ELEMENTARY,105,101,96,3,3,1,1,0,0,0,0,0,0,103,98,103,98,103,98,103,98,103,98,Y
6068787,LOS ANGELES,PUBLIC,POMONA UNIFIED,DIAMOND BAR,ARMSTRONG ELEMENTARY,74,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6021828,LOS ANGELES,PUBLIC,POMONA UNIFIED,DIAMOND BAR,DIAMOND POINT ELEMENTARY,34,--*,≥95%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,Y
6021836,LOS ANGELES,PUBLIC,POMONA UNIFIED,DIAMOND BAR,GOLDEN SPRINGS ELEMENTARY,39,--*,≥95%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,Y
6120653,LOS ANGELES,PUBLIC,POMONA UNIFIED,DIAMOND BAR,PANTERA ELEMENTARY,65,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6021786,LOS ANGELES,PUBLIC,POMONA UNIFIED,POMONA,ALCOTT ELEMENTARY,150,140,93,10,7,0,0,0,0,0,0,0,0,141,94,140,93,143,95,--*,≥99%,142,95,Y
6021794,LOS ANGELES,PUBLIC,POMONA UNIFIED,POMONA,ALLISON ELEMENTARY,47,36,77,11,23,0,0,0,0,0,0,0,0,39,83,38,81,37,79,42,89,42,89,Y
6021802,LOS ANGELES,PUBLIC,POMONA UNIFIED,POMONA,ARROYO ELEMENTARY,88,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6021927,LOS ANGELES,PUBLIC,POMONA UNIFIED,POMONA,BARFIELD ELEMENTARY,50,47,94,3,6,0,0,0,0,0,0,0,0,47,94,47,94,47,94,47,94,47,94,Y
111054,LOS ANGELES,PUBLIC,POMONA UNIFIED,POMONA,CORTEZ ELEMENTARY,71,69,97,2,3,0,0,0,0,0,0,0,0,--*,≥98%,--*,≥98%,69,97,--*,≥98%,--*,≥98%,Y
6101133,LOS ANGELES,PUBLIC,POMONA UNIFIED,POMONA,DECKER ELEMENTARY,107,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6021851,LOS ANGELES,PUBLIC,POMONA UNIFIED,POMONA,HARRISON ELEMENTARY,40,32,80,8,20,0,0,0,0,0,0,0,0,32,80,33,83,34,85,--*,≥95%,--*,≥95%,Y
