"2016-2017 IMMUNIZATION STATUS OF KINDERGARTEN STUDENTS, CALIFORNIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schools with 20 or more students enrolled that reported and schools that did not report.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,
SCHOOL CODE,COUNTY,PUB/  PRIV,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,UP-TO-DATE†,,CONDI- TIONAL^,,PME**,,PBE***,,OTHERS§ ,,OVERDUE ††,,DTP†††,,POLIO¥,,MMR‡,,HEPB‡‡,,VAR¶,,REPORTED¶¶
,,,,,,,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%,#,%,
131805,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,THE ACADEMY OF ALAMEDA ELEMENTARY,46,41,89,1,2,0,0,0,0,0,0,4,9,41,89,41,89,43,93,--*,≥95%,--*,≥95%,Y
6090120,ALAMEDA,PUBLIC,ALAMEDA UNIFIED,ALAMEDA,WILLIAM G. PADEN ELEMENTARY,67,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6090146,ALAMEDA,PUBLIC,ALBANY CITY UNIFIED,ALBANY,CORNELL ELEMENTARY,81,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6095376,ALAMEDA,PUBLIC,ALBANY CITY UNIFIED,ALBANY,MARIN ELEMENTARY,83,79,95,4,5,0,0,0,0,0,0,0,0,80,96,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6116222,ALAMEDA,PUBLIC,ALBANY CITY UNIFIED,ALBANY,OCEAN VIEW ELEMENTARY,127,122,96,5,4,0,0,0,0,0,0,0,0,122,96,--*,≥99%,124,98,125,98,--*,≥99%,Y
6097729,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,BERKELEY ARTS MAGNET AT WHITTIER,72,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6090195,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,CRAGMONT ELEMENTARY,45,--*,≥95%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,Y
6090211,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,EMERSON ELEMENTARY,57,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6090252,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,JEFFERSON ELEMENTARY,67,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6105316,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,JOHN MUIR ELEMENTARY,38,--*,≥95%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,Y
6090278,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,LECONTE ELEMENTARY,90,86,96,4,4,0,0,0,0,0,0,0,0,--*,≥98%,--*,≥98%,--*,≥98%,86,96,--*,≥98%,Y
6090286,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,MALCOLM X ELEMENTARY,112,109,97,0,0,3,3,0,0,0,0,0,0,109,97,110,98,109,97,109,97,109,97,Y
6090302,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,OXFORD ELEMENTARY,36,--*,≥95%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,Y
6090187,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,ROSA PARKS ENVIRONMENTAL SCIENCE MAGNET,71,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6090310,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,THOUSAND OAKS ELEMENTARY,69,66,96,2,3,1,1,0,0,0,0,0,0,67,97,67,97,--*,≥98%,67,97,--*,≥98%,Y
6090328,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,WASHINGTON ELEMENTARY,105,102,97,1,1,2,2,0,0,0,0,0,0,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6090351,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,CASTRO VALLEY ELEMENTARY,75,72,96,2,3,0,0,0,0,0,0,1,1,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
133876,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,CASTRO VALLEY VIRTUAL ACADEMY,,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,N
6090369,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,CHABOT ELEMENTARY,81,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6090393,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,INDEPENDENT ELEMENTARY,75,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6113005,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,JENSEN RANCH ELEMENTARY,59,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6090401,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,MARSHALL ELEMENTARY,73,71,97,0,0,1,1,0,0,0,0,1,1,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6090419,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,PALOMARES ELEMENTARY,25,--*,≥95%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≤5%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,--*,≥95%,Y
6090435,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,PROCTOR ELEMENTARY,98,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6090468,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,STANTON ELEMENTARY,74,--*,≥98%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≤2%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6090484,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,VANNOY ELEMENTARY,72,70,97,2,3,0,0,0,0,0,0,0,0,70,97,--*,≥98%,--*,≥98%,--*,≥98%,--*,≥98%,Y
6001374,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,DUBLIN ELEMENTARY,188,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6001390,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,FREDERIKSEN ELEMENTARY,177,173,98,2,1,2,1,0,0,0,0,0,0,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
123935,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,HAROLD WILLIAM KOLB,165,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
131615,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,J. M. AMADOR ELEMENTARY,164,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6118038,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,JAMES DOUGHERTY ELEMENTARY,174,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
114579,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,JOHN GREEN ELEMENTARY,121,118,98,1,1,2,2,0,0,0,0,0,0,119,98,119,98,119,98,--*,≥99%,--*,≥99%,Y
6001424,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,MURRAY ELEMENTARY,121,118,98,1,1,0,0,2,2,0,0,0,0,--*,≥99%,119,98,--*,≥99%,--*,≥99%,--*,≥99%,Y
6090492,ALAMEDA,PUBLIC,EMERY UNIFIED,EMERYVILLE,ANNA YATES ELEMENTARY,,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,   .,N
6104723,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,ARDENWOOD ELEMENTARY,144,141,98,3,2,0,0,0,0,0,0,0,0,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6000558,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,BRIER ELEMENTARY,146,--*,≥99%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≤1%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,--*,≥99%,Y
6089320,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,BROOKVALE ELEMENTARY,179,172,96,0,0,4,2,0,0,0,0,3,2,174,97,174,97,172,96,176,98,--*,≥99%,Y
