"","c2.geneId","c2.symbol","c2.uniprotId","c0.score","Gene.Name","Gene.ID","Brodmann..1909..area.24","Brodmann..1909..area.9","amygdala","caudate.nucleus","cerebellar.hemisphere","cerebellum","cerebral.cortex","hippocampus.proper","hypothalamus","nucleus.accumbens","pituitary.gland","putamen","substantia.nigra","Human.GeneID","Mouse.GeneID","phenotype.x","genes.x","phenotype.y","genes.y","idgTDL","uniprotId"
"961",10243,"GPHN","Q9NQX3",0.0002747267842131,"GPHN","ENSG00000171723",5,7,4,5,14,13,7,4,5,6,3,5,3,10243,NA,NA,NA,NA,NA,NA,NA
"962",1311,"COMP","P49747",0.0002747267842131,"COMP","ENSG00000105664",NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,1311,NA,NA,NA,NA,NA,NA,NA
"963",1557,"CYP2C19","P33261",0.0002747267842131,"CYP2C19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1557,NA,NA,NA,NA,NA,NA,NA
"964",1649,"DDIT3","P35638",0.0002747267842131,"DDIT3","ENSG00000175197",14,16,12,18,19,18,15,15,20,18,38,17,20,1649,"Ddit3",NA,"Ddit3","decreased vertical activity",NA,NA,NA
"965",144165,"PRICKLE1","Q96MT3",0.0002747267842131,"PRICKLE1","ENSG00000139174",1,2,0.7,0.6,0.9,0.8,2,1,0.8,0.6,0.7,0.5,0.5,144165,NA,NA,NA,NA,NA,NA,NA
"966",144195,"SLC2A14","Q8TDB8",0.0002747267842131,"SLC2A14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144195,NA,NA,NA,NA,NA,NA,NA
"967",145173,"B3GLCT","Q6Y288",0.0002747267842131,"B3GLCT","ENSG00000187676",3,3,2,5,0.6,0.7,3,2,2,6,2,5,1,145173,NA,NA,NA,NA,NA,NA,NA
"968",147381,"CBLN2","Q8IUK8",0.0002747267842131,"CBLN2","ENSG00000141668",7,12,1,NA,NA,NA,11,1,2,NA,NA,NA,0.8,147381,NA,NA,NA,NA,NA,NA,NA
"969",3827,"KNG1","P01042",0.0002747267842131,"KNG1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3827,NA,NA,NA,NA,NA,NA,NA
"970",2922,"GRP","P07492",0.0002747267842131,"GRP","ENSG00000134443",2,0.9,1,NA,NA,NA,0.9,2,2,NA,1,NA,1,2922,NA,NA,NA,NA,NA,NA,NA
