county,year_week,case_mean,case_mean_per100thou,next_week_mean,next_week_per100thou,next_week_increase,vacc_incidence_n,vacc_incidence_per100thou,mean_per_pop_fully_vacc,mean_fully_vacc_n,vacc_prevalence_per100thou,mean_retail_rec,mean_grocery_pharm,mean_parks,mean_transit_stations,mean_workplaces,mean_residential
Bucks County,2020 - 07,0,0,0,0,0,0,0,0,0,0,2,-3,3,28,3,0
Bucks County,2020 - 08,0,0,0,0,0,0,0,0,0,0,3.5714285714285716,1.1428571428571428,44.57142857142857,-1,-1.7142857142857142,0.42857142857142855
Bucks County,2020 - 09,0,0,0,0,0,0,0,0,0,0,4,0.8571428571428571,33.714285714285715,4.714285714285714,3.142857142857143,-0.42857142857142855
Bucks County,2020 - 10,0,0,1.0204071428571428,0.1624153855598935,1,0,0,0,0,0,6.714285714285714,5.857142857142857,39.57142857142857,8.285714285714286,3,-0.42857142857142855
Bucks County,2020 - 11,1.0204071428571428,0.1624153855598935,1.7142842857142857,0.2728578932169745,1,0,0,0,0,0,5.571428571428571,12.428571428571429,101.85714285714286,-3.5714285714285716,-1.7142857142857142,2
Bucks County,2020 - 12,1.7142842857142857,0.2728578932169745,10.836732857142858,1.7248528271512023,1,0,0,0,0,0,-30.571428571428573,-4.285714285714286,80.28571428571429,-42.142857142857146,-33,15
Bucks County,2020 - 13,10.836732857142858,1.7248528271512023,35.55101428571429,5.658556716971093,1,0,0,0,0,0,-48.857142857142854,-29,27.857142857142858,-61,-50.142857142857146,22
Bucks County,2020 - 14,35.55101428571429,5.658556716971093,64.26531428571428,10.228932510817687,1,0,0,0,0,0,-46.57142857142857,-27.714285714285715,18.285714285714285,-59.57142857142857,-51.57142857142857,22.428571428571427
Bucks County,2020 - 15,64.26531428571428,10.228932510817687,78.69387142857143,12.525486085372759,1,0,0,0,0,0,-45.42857142857143,-26,52.42857142857143,-58,-53.42857142857143,22.285714285714285
Bucks County,2020 - 16,78.69387142857143,12.525486085372759,100.69387142857143,16.027165299723276,1,0,0,0,0,0,-48.857142857142854,-26,24.857142857142858,-62.57142857142857,-52.714285714285715,22.571428571428573
Bucks County,2020 - 17,100.69387142857143,16.027165299723276,110.28571428571429,17.553872425185716,1,0,0,0,0,0,-43.714285714285715,-20.714285714285715,76.71428571428571,-62.5,-49.57142857142857,21.285714285714285
Bucks County,2020 - 18,110.28571428571429,17.553872425185716,104.4081,16.618348799083197,0,0,0,0,0,0,-40.57142857142857,-18.142857142857142,74.28571428571429,-59.833333333333336,-48.57142857142857,19.428571428571427
Bucks County,2020 - 19,104.4081,16.618348799083197,90.40817142857142,14.390018849948495,0,0,0,0,0,0,-34.57142857142857,-10.428571428571429,89,-54,-44.857142857142854,18.857142857142858
Bucks County,2020 - 20,90.40817142857142,14.390018849948495,66.91835714285715,10.651210012073973,0,0,0,0,0,0,-32.57142857142857,-11.714285714285714,166.57142857142858,-52.42857142857143,-43.42857142857143,17
Bucks County,2020 - 21,66.91835714285715,10.651210012073973,43.183685714285716,6.873427939307258,0,0,0,0,0,0,-30,-9.714285714285714,126.71428571428571,-56.714285714285715,-41.42857142857143,16.571428571428573
Bucks County,2020 - 22,43.183685714285716,6.873427939307258,28.530614285714286,4.54113904622444,0,0,0,0,0,0,-30.714285714285715,-11.428571428571429,197,-54.857142857142854,-42.285714285714285,16
Bucks County,2020 - 23,28.530614285714286,4.54113904622444,27.142857142857142,4.320253576146743,0,0,0,0,0,0,-23.571428571428573,-4.142857142857143,160.14285714285714,-43.285714285714285,-35.42857142857143,13.714285714285714
Bucks County,2020 - 24,27.142857142857142,4.320253576146743,19.693871428571427,3.1346191014327323,0,0,0,0,0,0,-17.857142857142858,-2.7142857142857144,206.71428571428572,-38.285714285714285,-32.285714285714285,11.857142857142858
Bucks County,2020 - 25,19.693871428571427,3.1346191014327323,20.693871428571427,3.2937863384486645,1,0,0,0,0,0,-16.428571428571427,-2.2857142857142856,195,-40,-31.571428571428573,11.142857142857142
Bucks County,2020 - 26,20.693871428571427,3.2937863384486645,22.448985714285715,3.5731430299530005,1,0,0,0,0,0,-16.285714285714285,-3.5714285714285716,187,-36.57142857142857,-31.428571428571427,10.142857142857142
Bucks County,2020 - 27,22.448985714285715,3.5731430299530005,27.857157142857144,4.433946733547224,1,0,0,0,0,0,-11.571428571428571,1,210.85714285714286,-36.857142857142854,-36.142857142857146,10.142857142857142
Bucks County,2020 - 28,27.857157142857144,4.433946733547224,31.408157142857142,4.9991495921908005,1,0,0,0,0,0,-15.428571428571429,-6,134.71428571428572,-39,-32.285714285714285,10.571428571428571
Bucks County,2020 - 29,31.408157142857142,4.9991495921908005,44.77551428571429,7.126794894824563,1,0,0,0,0,0,-10.714285714285714,-1.1428571428571428,211.57142857142858,-34.57142857142857,-30.285714285714285,9
Bucks County,2020 - 30,44.77551428571429,7.126794894824563,43.73471428571428,6.96113363453838,0,0,0,0,0,0,-13,-3.857142857142857,156.57142857142858,-37,-31.428571428571427,9.857142857142858
Bucks County,2020 - 31,43.73471428571428,6.96113363453838,39,6.207522243621373,0,0,0,0,0,0,-11.142857142857142,-2.7142857142857144,182,-34.142857142857146,-31,9.142857142857142
Bucks County,2020 - 32,39,6.207522243621373,27.81632857142857,4.42744816264163,0,0,0,0,0,0,-11.142857142857142,-5.285714285714286,148.14285714285714,-31.714285714285715,-32.57142857142857,9.285714285714286
Bucks County,2020 - 33,27.81632857142857,4.42744816264163,29.612257142857143,4.713301151233887,1,0,0,0,0,0,-11.142857142857142,-5,173.57142857142858,-31.142857142857142,-31.428571428571427,8.571428571428571
