county,state,cocaineDeath,year,fips,meanHouseholdSize,prevDisabled,gini,prevHispanic,medianAge,prevMedicaid,prevMinBachelors,prevBlack,prevWhite,perCapIncome,prevMen,nPop,prevPoverty,medianRentCostBurden,prevNoCar,totalJailAdmit,jailAdmit100k
Allen,IN,148.33333333333334,2015-2019,18003,13.26,12.50,0.45,7.47,2.53,36,19.13,28.48,11.28,73.85,29160,48.87,372575,27.5,5.85,68763.75,140707489.25721303
Androscoggin,ME,50,2015-2019,23001,11.78,15.94,0.43,1.86,2.29,41,21.21,22.77,2.16,90.61,28956,48.86,107602,28.0,9.05,26000,53213262.38231683
Anne Arundel,MD,257,2015-2019,24003,5.79,10.74,0.41,7.81,2.64,38,12.76,41.75,16.31,68.22,46629,49.47,571275,28.9,3.63,28283.75,57173539.51890035
Arapahoe,CO,99,2015-2019,08005,8.09,9.00,0.45,19.23,2.66,37,16.92,42.75,10.49,60.28,40443,49.48,644560,31.3,4.88,85737.5,173277081.64915118
Atlantic,NJ,118,2015-2019,34001,13.33,13.68,0.47,18.85,2.61,42,22.53,28.13,14.01,56.40,33284,48.4,266105,34.3,13.05,36452.5,75315082.64462811
Baltimore,MD,486,2015-2019,24005,9.05,11.64,0.45,5.41,2.58,39,17.27,39.36,28.47,57.27,40105,47.4,828018,29.8,7.73,55393.75,116864451.47679326
Barnstable,MA,92.5,2015-2019,25001,6.43,13.33,0.45,3.10,2.23,53,21.19,43.42,2.85,89.27,44505,47.82,213496,32.7,4.73,12216.6875,25547234.42074446
Bay,FL,60,2015-2019,12005,14.59,19.48,0.44,6.49,2.52,40,19.09,23.72,10.83,76.12,29290,49.7,182161,30.5,5.93,66642.5,134089537.22334003
Bay,MI,50,2015-2019,26017,15.81,15.53,0.43,5.33,2.32,43,24.17,19.31,1.67,90.06,27469,49.12,104104,27.9,7.30,21233.75,43228318.4039088
Beaufort,SC,50,2015-2019,45013,10.22,13.46,0.48,11.09,2.53,46,13.56,41.16,17.51,67.92,38946,49.17,186095,31.2,4.24,24136.25,49087350.010168806
Beaver,PA,91.25,2015-2019,42007,11.02,16.16,0.43,1.60,2.29,45,20.70,24.71,5.73,89.47,31305,48.52,165833,27.1,8.50,16380,33759274.52596867
Bell,TX,50,2015-2019,48027,13.87,14.72,0.44,24.82,2.75,31,16.64,25.15,21.52,45.77,26677,49.87,348574,28.1,5.72,58072.5,116447764.18688591
Bergen,NJ,156,2015-2019,34003,6.65,7.95,0.48,19.91,2.71,42,10.59,49.35,5.29,56.56,51214,48.49,930390,29.2,8.29,36965,76232212.82738708
Berkeley,SC,65,2015-2019,45015,11.89,14.31,0.42,6.61,2.75,36,17.50,24.98,23.85,63.54,29662,49.75,215044,28.0,4.16,32456.25,65238693.46733668
Berkeley,WV,102.5,2015-2019,54003,12.18,15.42,0.40,4.40,2.60,39,21.76,21.24,7.40,83.90,29994,49.31,115329,27.8,4.92,17121.6625,34722495.43703102
Berks,PA,108.75,2015-2019,42011,12.00,13.68,0.44,21.03,2.62,40,20.66,24.90,4.24,71.70,31571,49.19,418025,30.3,8.35,32410,65887375.48282171
Berkshire,MA,80,2015-2019,25003,10.89,15.75,0.46,4.75,2.18,47,25.56,33.64,2.62,88.11,35616,48.37,126425,30.5,9.45,6272.5,12967748.604506927
Bernalillo,NM,121,2015-2019,35001,16.69,13.72,0.48,49.99,2.50,38,28.18,34.41,2.47,38.68,30734,49.01,677858,30.7,6.69,182246.875,371856508.87573963
Bexar,TX,250,2015-2019,48029,15.72,14.08,0.47,60.22,3.02,34,18.84,28.01,7.10,27.67,27834,49.37,1952843,29.8,7.16,285252.5,577785092.1612315
Brazoria,TX,50,2015-2019,48039,8.70,9.35,0.42,30.63,2.87,36,10.21,30.03,13.65,47.21,34561,50.55,360677,27.3,2.98,57836.25,114413946.5875371
