Gene_name,BMI_1,BMI_3,foldchange,ANOVA
RP11-958F21.1_45981,0.043529225,0.07896483,-0.035435605,0.23364924
RP11-958F21.3_45982,0.023938313,0.004954399,0.018983914,0.152414982
RP11-958J22.1_45983,3.814558738,3.848413057,-0.033854319,0.686301614
RP11-958J22.2_45984,0.054309857,0.118871944,-0.064562087,0.112355598
RP11-958J22.3_45985,0.008944328,0,0.008944328,0.248698546
RP11-958N24.1_45986,11.05056817,10.97736013,0.07320804,0.334774252
RP11-958N24.2_45987,7.826830854,7.562200905,0.264629949,0.154989106
RP11-958N24.4_45988,0.08268511,0.040268028,0.042417081,0.177490179
RP11-959F10.4_45989,0.246538644,0.259036245,-0.012497601,0.866239183
RP11-959F10.5_45990,0.163626366,0.137394205,0.026232161,0.506550866
RP11-959F10.6_45991,0.139076612,0.171387493,-0.032310881,0.612242322
RP11-959I15.1_45992,0.106481403,0.117432384,-0.010950981,0.776147768
RP11-959I15.4_45993,0.022283999,0.020016842,0.002267157,0.887444626
RP11-95C14.1_45994,2.72062097,2.674105097,0.046515873,0.410979019
RP11-95D17.1_45995,6.442169557,6.45410698,-0.011937423,0.842010498
RP11-95F22.1_45996,0.152654753,0.135825833,0.01682892,0.682171001
RP11-95G17.2_45997,2.650397597,2.701718946,-0.051321349,0.614859853
RP11-95G6.1_45998,0.155066614,0.134429953,0.020636661,0.704987295
RP11-95H11.1_45999,0.764572881,0.827694465,-0.063121584,0.512839657
RP11-95H3.1_46000,0.041455775,0.037495506,0.003960269,0.87099608
RP11-95I16.2_46001,0.497730351,0.582402446,-0.084672095,0.323046507
RP11-95I16.4_46002,4.351236182,4.353885506,-0.002649325,0.980901099
RP11-95I16.6_46003,0.283769252,0.316729802,-0.03296055,0.636311664
RP11-95I19.1_46004,1.274885756,1.188697,0.086188756,0.412501148
RP11-95I19.2_46005,0.542036037,0.528227845,0.013808192,0.849927781
RP11-95J11.1_46006,0.338899881,0.307736783,0.031163098,0.576771231
RP11-95L3.2_46007,0,0,0,NA
RP11-95M15.1_46008,0.435015347,0.5299413,-0.094925953,0.307054469
RP11-95M15.2_46009,1.785774262,1.876341097,-0.090566836,0.404079759
RP11-95M5.1_46010,0.189416791,0.178769063,0.010647729,0.872871093
RP11-95O2.1_46011,3.259886674,3.170327412,0.089559261,0.392557807
RP11-95O2.5_46012,2.889174357,2.789321046,0.099853311,0.386816502
RP11-95P13.1_46013,1.182287218,1.065807325,0.116479893,0.251454441
RP11-95P13.2_46014,0.004035281,0.04155694,-0.037521659,0.016520391
RP11-95P2.3_46015,1.64376982,1.531902233,0.111867587,0.395557237
RP11-95P2.4_46016,0.013931517,0.008380951,0.005550566,0.618522676
RP11-95P9.1_46017,0.285359494,0.230028393,0.055331101,0.345946802
RP11-960B9.2_46018,0.799807169,0.791262078,0.008545091,0.908836524
RP11-960D24.1_46019,0.171096524,0.178415398,-0.007318873,0.891886945
RP11-960H2.1_46020,0.023831513,0,0.023831513,0.087984814
RP11-960H2.2_46021,0.02703289,0.026389511,0.000643379,0.970500247
RP11-960L18.1_46022,7.246021558,7.229968425,0.016053133,0.896112463
RP11-961A15.1_46023,1.774190996,1.670983842,0.103207154,0.402765135
RP11-961A15.3_46024,1.845567172,1.893200365,-0.047633193,0.656880137
RP11-962G15.1_46025,1.609094882,1.491707442,0.11738744,0.445763286
RP11-962G15.2_46026,0,0,0,NA
RP11-963H1.1_46027,1.444015378,1.53461257,-0.090597192,0.117533136
RP11-963H4.2_46028,0.111765284,0.169767481,-0.058002198,0.160918578
RP11-963H4.3_46029,0.717185904,0.667902546,0.049283358,0.607501721
RP11-963H4.5_46030,0.090993463,0.126951304,-0.03595784,0.383242977
RP11-963H4.6_46031,0.035962548,0.021320755,0.014641793,0.440469485
RP11-964E11.2_46032,0.014868464,0.137153861,-0.122285397,0.009170068
RP11-964E11.3_46033,0.65052878,0.725238828,-0.074710048,0.495799595
RP11-966I7.2_46034,0.149735111,0.136677585,0.013057526,0.851187085
RP11-966I7.3_46035,2.971695572,2.913913676,0.057781896,0.524931043
RP11-966I7.4_46036,0.01615311,0.018796146,-0.002643036,0.870584866
RP11-967K21.1_46037,6.456474269,6.482125509,-0.02565124,0.752060635
RP11-967K21.2_46038,0.20990728,0.288077715,-0.078170435,0.187066198
RP11-968A15.2_46039,4.214238362,4.347563855,-0.133325493,0.175922647
RP11-968A15.8_46040,4.086478575,4.135050121,-0.048571546,0.626192609
RP11-968O1.5_46041,5.196062128,5.308856142,-0.112794015,0.51643273
RP11-96A1.4_46042,0.022270877,0.083393162,-0.061122285,0.03631576
RP11-96A1.5_46043,0.358131214,0.382830827,-0.024699614,0.708072169
RP11-96A15.1_46044,1.182727854,1.218396679,-0.035668825,0.783717183
RP11-96B2.1_46045,1.557913835,1.487739488,0.070174347,0.286367249
RP11-96B5.3_46046,4.296975323,4.192898264,0.104077058,0.451863231
RP11-96B5.4_46047,1.919544487,2.079775244,-0.160230757,0.156182776
RP11-96C21.1_46048,1.303629032,1.367736104,-0.064107072,0.604406411
RP11-96C21.2_46049,3.035243853,2.815766522,0.219477331,0.031489883
RP11-96C23.10_46050,0.45096524,0.677711786,-0.226746547,0.007768644
RP11-96C23.11_46051,2.075237096,2.06615006,0.009087035,0.873247845
RP11-96C23.12_46052,0,0.011786888,-0.011786888,0.139000928
RP11-96C23.13_46053,6.927965731,6.913544905,0.014420826,0.781386223
RP11-96C23.14_46054,2.529466107,2.383876545,0.145589562,0.116634662
RP11-96C23.15_46055,1.026510179,1.090229445,-0.063719266,0.373869959
RP11-96C23.9_46056,1.498635885,1.531135489,-0.032499603,0.757553095
RP11-96D1.10_46057,6.879777393,6.838932694,0.040844699,0.409781478
RP11-96D1.11_46058,7.160571302,7.26575555,-0.105184248,0.433856456
RP11-96D1.3_46059,1.994001645,1.893634336,0.100367309,0.373665375
RP11-96D1.5_46060,2.971135577,2.969215477,0.0019201,0.984794823
RP11-96D1.6_46061,1.50565783,1.556380236,-0.050722407,0.635626498
RP11-96D1.7_46062,1.895685147,1.893680643,0.002004503,0.986703015
RP11-96D1.8_46063,7.359031147,7.327463044,0.031568103,0.681691084
RP11-96D1.9_46064,3.088619726,3.005087547,0.083532179,0.306136751
RP11-96D24.1_46065,0.037295448,0.052610809,-0.015315361,0.623255362
RP11-96F8.1_46066,0.19805784,0.219239873,-0.021182032,0.749166353
RP11-96G10.1_46067,0.488352127,0.558607366,-0.070255238,0.539877102
RP11-96H17.1_46068,3.157389003,3.116163224,0.041225779,0.681519648
RP11-96H17.3_46069,0.526978315,0.493493997,0.033484318,0.75428898
RP11-96H19.1_46070,7.914501445,7.835080487,0.079420958,0.205556918
RP11-96J15.1_46071,1.367383079,1.237322627,0.130060452,0.11558756
RP11-96J19.1_46072,0,0.012216935,-0.012216935,0.129059375
RP11-96J19.4_46073,0.011975616,0.012549777,-0.000574161,0.964393071
RP11-96K14.1_46074,0.05625801,0.070162257,-0.013904247,0.624700515
RP11-96K19.2_46075,6.76210874,6.714627573,0.047481167,0.465945505
RP11-96K19.4_46076,9.019621935,9.093657338,-0.074035403,0.092009593
RP11-96K19.5_46077,4.959429988,5.070081437,-0.110651449,0.13067017
RP11-96L14.7_46078,6.814066502,6.787818441,0.026248061,0.709537021
RP11-96L14.8_46079,0.342054413,0.384726051,-0.042671637,0.567119219
RP11-96L7.2_46080,2.335414688,2.404169098,-0.06875441,0.626447521
RP11-96O20.2_46081,2.71410117,2.706586624,0.007514546,0.935033923
RP11-96O20.4_46082,3.269331514,3.168017416,0.101314098,0.483168294
RP11-96O20.5_46083,3.662202654,3.670653234,-0.00845058,0.941047236
RP11-96P7.1_46084,2.946884358,3.079917145,-0.133032786,0.182525727
RP11-972K6.1_46085,0.205740914,0.198002581,0.007738333,0.886221664
RP11-972L6.2_46086,0.073537321,0.042817659,0.030719663,0.231873399
RP11-972P1.10_46087,0.387714666,0.395431745,-0.007717079,0.909479561
RP11-972P1.11_46088,1.38900395,1.352685929,0.036318021,0.767473465
RP11-972P1.7_46089,5.860064663,5.939841576,-0.079776913,0.112189004
RP11-972P1.8_46090,0.702851693,0.673230474,0.029621219,0.740297375
RP11-973D8.4_46091,1.619757939,1.436051328,0.183706612,0.059275199
RP11-973D8.5_46092,1.258955931,1.265390792,-0.006434861,0.95864581
RP11-973F15.2_46093,1.254407119,1.278712195,-0.024305076,0.84701236
RP11-973H7.1_46094,2.931065348,2.726694315,0.204371033,0.089587703
RP11-973H7.3_46095,5.39464586,5.321382461,0.073263399,0.112913083
RP11-973H7.4_46096,0.507353085,0.470718965,0.036634121,0.685976573
RP11-973H7.5_46097,2.234017331,2.316282121,-0.082264791,0.412489938
RP11-973N13.2_46098,1.004181057,1.054907811,-0.050726754,0.200971619
RP11-973N13.3_46099,0.087976081,0.090784866,-0.002808786,0.940165396
RP11-973N13.4_46100,4.571820359,4.708564898,-0.136744539,0.147665286
RP11-973N13.5_46101,0.027045186,0.043090277,-0.016045091,0.391264379
RP11-974F13.5_46102,3.795636079,3.794739261,0.000896818,0.994889144
RP11-976B16.1_46103,4.991821802,4.997716823,-0.005895021,0.908184001
RP11-977B10.2_46104,2.348714159,2.418234465,-0.069520306,0.58559297
RP11-977G19.10_46105,9.377776538,9.324715413,0.053061125,0.604842983
RP11-977G19.11_46106,6.493810625,6.550171432,-0.056360807,0.253053955
RP11-977G19.12_46107,3.95982134,3.964395671,-0.004574331,0.952867722
RP11-977G19.14_46108,1.809010253,1.793998518,0.015011735,0.839644076
RP11-977G19.5_46109,6.454367947,6.436180822,0.018187125,0.700264203
