Sample	Gene	gene_symbol	count	Status
SRX6072831	Rnf44	Rnf44	377.694196424559	IL6_TGFb_12
SRX6072831	Ablim1	Ablim1	2515.59702657735	IL6_TGFb_12
SRX6072831	1500011K16Rik	1500011K16Rik	196.235482336391	IL6_TGFb_12
SRX6072831	Plscr2	Plscr2	14.1856975182933	IL6_TGFb_12
SRX6072831	Scarna10	Scarna10	964.036360514016	IL6_TGFb_12
SRX6072831	Cdv3	Cdv3	7108.80766885473	IL6_TGFb_12
SRX6072831	Ercc4	Ercc4	343.412094088684	IL6_TGFb_12
SRX6072831	Pdpk1	Pdpk1	2566.42910935123	IL6_TGFb_12
SRX6072831	Dus4l	Dus4l	303.810355183448	IL6_TGFb_12
SRX6072831	BC027231	BC027231	494.13513022055	IL6_TGFb_12
SRX6072831	Dpcr1	Dpcr1	2.95535364964444	IL6_TGFb_12
SRX6072831	Cep170	Cep170	1004.82024087911	IL6_TGFb_12
SRX6072831	Atg12	Atg12	306.174638103164	IL6_TGFb_12
SRX6072831	1700066M21Rik	1700066M21Rik	174.956936058951	IL6_TGFb_12
SRX6072831	Snx31	Snx31	4.13749510950221	IL6_TGFb_12
SRX6072831	Rsu1	Rsu1	393.653106132639	IL6_TGFb_12
SRX6072831	Eno1	Eno1	6.50177802921777	IL6_TGFb_12
SRX6072831	Snrpb2	Snrpb2	1326.95378869035	IL6_TGFb_12
SRX6072831	Mir103-2	Mir103-2	1.77321218978666	IL6_TGFb_12
SRX6072831	Mea1	Mea1	539.056505695146	IL6_TGFb_12
SRX6072831	Kcnc3	Kcnc3	0.591070729928888	IL6_TGFb_12
SRX6072831	Pstpip1	Pstpip1	760.708029418479	IL6_TGFb_12
SRX6072831	Napa	Napa	1180.95931839792	IL6_TGFb_12
SRX6072831	Dera	Dera	761.890170878336	IL6_TGFb_12
SRX6072831	Habp4	Habp4	123.533782555138	IL6_TGFb_12
SRX6072831	2810002D19Rik	2810002D19Rik	36.646385255591	IL6_TGFb_12
SRX6072831	9430065F17Rik	9430065F17Rik	2.95535364964444	IL6_TGFb_12
SRX6072831	Rad23a	Rad23a	1444.5768639462	IL6_TGFb_12
SRX6072831	Mgst2	Mgst2	36.0553145256622	IL6_TGFb_12
SRX6072831	Hyal3	Hyal3	1.77321218978666	IL6_TGFb_12
SRX6072831	Sep15	Sep15	2151.49745694115	IL6_TGFb_12
SRX6072831	D2hgdh	D2hgdh	92.7981045988354	IL6_TGFb_12
SRX6072831	Cabin1	Cabin1	1295.62704000412	IL6_TGFb_12
SRX6072831	Ccdc120	Ccdc120	0.591070729928888	IL6_TGFb_12
SRX6072831	Marcks	Marcks	196.235482336391	IL6_TGFb_12
SRX6072831	Eno2	Eno2	16.5499804380089	IL6_TGFb_12
SRX6072831	Churc1	Churc1	342.229952628826	IL6_TGFb_12
SRX6072831	Mrpl30	Mrpl30	1478.26789555215	IL6_TGFb_12
SRX6072831	Parn	Parn	926.207833798567	IL6_TGFb_12
SRX6072831	C1s1	C1s1	0.591070729928888	IL6_TGFb_12
SRX6072831	Mfsd3	Mfsd3	94.5713167886221	IL6_TGFb_12
SRX6072831	Nit2	Nit2	268.937182117644	IL6_TGFb_12
SRX6072831	Gripap1	Gripap1	433.254845037875	IL6_TGFb_12
SRX6072831	Brip1os	Brip1os	1555.69816117283	IL6_TGFb_12
SRX6072831	Aldh2	Aldh2	325.088901460888	IL6_TGFb_12
SRX6072831	Tuba1c	Tuba1c	1643.17662920231	IL6_TGFb_12
SRX6072831	Aim2	Aim2	398.972742701999	IL6_TGFb_12
SRX6072831	Commd1	Commd1	656.679580950994	IL6_TGFb_12
SRX6072831	Dgkg	Dgkg	7.09284875914665	IL6_TGFb_12
SRX6072831	Lsm7	Lsm7	367.645994015768	IL6_TGFb_12
SRX6072831	Lrrcc1	Lrrcc1	275.438960146862	IL6_TGFb_12
SRX6072831	5830416P10Rik	5830416P10Rik	6.50177802921777	IL6_TGFb_12
SRX6072831	Cxcl10	Cxcl10	7.68391948907554	IL6_TGFb_12
SRX6072831	Hist1h4n	Hist1h4n	1454.62506635499	IL6_TGFb_12
SRX6072831	Paf1	Paf1	1258.98065474853	IL6_TGFb_12
SRX6072831	Mir25	Mir25	17.1410511679377	IL6_TGFb_12
SRX6072831	Ubash3b	Ubash3b	797.35441467407	IL6_TGFb_12
SRX6072831	Rwdd4a	Rwdd4a	1018.41486766747	IL6_TGFb_12
SRX6072831	Arid4b	Arid4b	583.386810439812	IL6_TGFb_12
SRX6072831	D930016D06Rik	D930016D06Rik	98.1177411681954	IL6_TGFb_12
SRX6072831	Gabpb1	Gabpb1	932.709611827785	IL6_TGFb_12
SRX6072831	Gon4l	Gon4l	987.088118981243	IL6_TGFb_12
SRX6072831	Aurkaip1	Aurkaip1	1241.83960358059	IL6_TGFb_12
SRX6072831	Gpr34	Gpr34	8.27499021900443	IL6_TGFb_12
SRX6072831	Atp2a1	Atp2a1	0	IL6_TGFb_12
SRX6072831	Nthl1	Nthl1	61.4713559126043	IL6_TGFb_12
SRX6072831	4930413G21Rik	4930413G21Rik	2.95535364964444	IL6_TGFb_12
SRX6072831	Car15	Car15	7.09284875914665	IL6_TGFb_12
SRX6072831	Fancl	Fancl	321.542477081315	IL6_TGFb_12
SRX6072831	Ascc1	Ascc1	224.606877372977	IL6_TGFb_12
SRX6072831	Pdgfa	Pdgfa	7.09284875914665	IL6_TGFb_12
SRX6072831	Bsn	Bsn	14.1856975182933	IL6_TGFb_12
SRX6072831	Dctn1	Dctn1	972.311350733021	IL6_TGFb_12
SRX6072831	Adipor1	Adipor1	2426.93641708801	IL6_TGFb_12
SRX6072831	Dnajc19	Dnajc19	433.254845037875	IL6_TGFb_12
SRX6072831	Sco1	Sco1	703.965239345305	IL6_TGFb_12
SRX6072831	1810014B01Rik	1810014B01Rik	114.076650876275	IL6_TGFb_12
SRX6072831	Natd1	Natd1	56.7427900731732	IL6_TGFb_12
SRX6072831	Ehmt2	Ehmt2	1439.84829810677	IL6_TGFb_12
SRX6072831	Fscn1	Fscn1	5.31963656935999	IL6_TGFb_12
SRX6072831	Slc37a4	Slc37a4	252.387201679635	IL6_TGFb_12
SRX6072831	Tpgs1	Tpgs1	151.905177591724	IL6_TGFb_12
SRX6072831	Hist1h2bp	Hist1h2bp	476.403008322684	IL6_TGFb_12
SRX6072831	C87436	C87436	255.34255532928	IL6_TGFb_12
SRX6072831	Gzmb	Gzmb	2.36428291971555	IL6_TGFb_12
SRX6072831	Map3k10	Map3k10	147.767682482222	IL6_TGFb_12
SRX6072831	Tln1	Tln1	6144.18023761079	IL6_TGFb_12
SRX6072831	Glud1	Glud1	2624.35404088426	IL6_TGFb_12
SRX6072831	Zfp870	Zfp870	150.131965401937	IL6_TGFb_12
SRX6072831	Ccdc127	Ccdc127	990.634543360816	IL6_TGFb_12
