        Time, RR interval,   FFT Frequency,         PSD,  AF  Frequency,         PSD
481.708,0.671,,,,
482.363,0.655,,,,
483.02,0.657,,,,
483.707,0.688,,,,
484.417,0.709,,,,
485.14,0.723,,,,
485.849,0.709,,,,
486.56,0.711,,,,
487.263,0.703,,,,
487.974,0.711,,,,
488.68,0.706,,,,
489.388,0.708,,,,
490.14,0.752,,,,
490.959,0.82,,,,
491.752,0.792,,,,
492.499,0.748,,,,
493.241,0.741,,,,
493.997,0.756,,,,
494.779,0.782,,,,
495.557,0.778,,,,
496.338,0.781,,,,
497.114,0.776,,,,
497.827,0.713,,,,
498.541,0.714,,,,
499.251,0.71,,,,
500.036,0.785,,,,
500.938,0.902,,,,
501.706,0.767,,,,
502.488,0.783,,,,
503.337,0.849,,,,
504.231,0.894,,,,
505.051,0.82,,,,
505.893,0.842,,,,
506.822,0.929,,,,
507.749,0.927,,,,
508.637,0.888,,,,
509.517,0.879,,,,
510.313,0.797,,,,
511.106,0.793,,,,
511.884,0.778,,,,
512.681,0.797,,,,
513.471,0.79,,,,
514.213,0.742,,,,
514.985,0.772,,,,
515.781,0.796,,,,
516.547,0.766,,,,
517.345,0.798,,,,
518.232,0.887,,,,
519.126,0.894,,,,
519.919,0.793,,,,
520.693,0.774,,,,
521.433,0.74,,,,
522.145,0.712,,,,
522.837,0.692,,,,
523.526,0.689,,,,
524.188,0.663,,,,
524.849,0.661,,,,
525.5,0.65,,,,
526.169,0.67,,,,
526.892,0.722,,,,
527.671,0.779,,,,
528.426,0.755,,,,
529.149,0.723,,,,
529.896,0.747,,,,
530.667,0.771,,,,
531.476,0.809,,,,
532.219,0.744,,,,
532.958,0.739,,,,
533.717,0.759,,,,
534.483,0.766,,,,
535.209,0.726,,,,
535.967,0.758,,,,
536.798,0.831,,,,
537.576,0.778,,,,
538.394,0.818,,,,
539.236,0.842,,,,
540.039,0.803,,,,
540.839,0.8,,,,
541.648,0.809,,,,
542.438,0.79,,,,
543.208,0.77,,,,
543.974,0.766,,,,
544.759,0.785,,,,
545.539,0.78,,,,
546.314,0.775,,,,
547.039,0.725,,,,
547.794,0.755,,,,
548.617,0.823,,,,
549.451,0.833,,,,
550.246,0.796,,,,
551.081,0.834,,,,
551.925,0.844,,,,
552.697,0.773,,,,
553.451,0.753,,,,
554.223,0.773,,,,
555.048,0.825,,,,
555.869,0.821,,,,
556.707,0.838,,,,
557.521,0.814,,,,
558.249,0.728,,,,
558.979,0.73,,,,
559.735,0.756,,,,
560.528,0.793,,,,
561.378,0.85,,,,
562.14,0.762,,,,
562.894,0.755,,,,
563.685,0.791,,,,
564.548,0.863,,,,
565.403,0.856,,,,
566.151,0.748,,,,
566.907,0.756,,,,
567.688,0.782,,,,
568.469,0.781,,,,
569.267,0.797,,,,
570.049,0.783,,,,
570.787,0.737,,,,
571.51,0.723,,,,
572.249,0.739,,,,
572.972,0.723,,,,
573.707,0.735,,,,
574.471,0.764,,,,
575.297,0.826,,,,
576.096,0.799,,,,
576.843,0.747,,,,
577.599,0.756,,,,
578.362,0.763,,,,
579.173,0.81,,,,
579.97,0.798,,,,
580.716,0.745,,,,
581.482,0.767,,,,
582.289,0.807,,,,
583.116,0.827,,,,
583.917,0.8,,,,
584.735,0.818,,,,
585.578,0.843,,,,
586.405,0.827,,,,
587.152,0.747,,,,
587.881,0.73,,,,
588.635,0.754,,,,
589.125,0.489,,,,
589.664,0.54,,,,
589.983,0.319,,,,
590.262,0.278,,,,
590.669,0.408,,,,
591.397,0.727,,,,
592.155,0.758,,,,
592.923,0.768,,,,
593.766,0.843,,,,
594.528,0.762,,,,
595.329,0.802,,,,
596.144,0.815,,,,
596.966,0.822,,,,
597.719,0.754,,,,
598.478,0.759,,,,
599.279,0.8,,,,
600.05,0.771,,,,
600.789,0.739,,,,
601.503,0.714,,,,
602.223,0.72,,,,
602.987,0.764,,,,
603.857,0.87,,,,
604.714,0.857,,,,
605.516,0.802,,,,
606.298,0.782,,,,
607.069,0.772,,,,
607.824,0.755,,,,
608.596,0.772,,,,
609.432,0.836,,,,
610.223,0.791,,,,
610.956,0.732,,,,
611.681,0.725,,,,
612.386,0.705,,,,
613.119,0.733,,,,
613.865,0.746,,,,
614.676,0.811,,,,
615.536,0.86,,,,
616.413,0.877,,,,
617.313,0.9,,,,
618.235,0.923,,,,
619.144,0.909,,,,
620.06,0.916,,,,
620.962,0.903,,,,
621.83,0.868,,,,
622.667,0.837,,,,
623.478,0.812,,,,
624.276,0.798,,,,
625.048,0.772,,,,
625.844,0.797,,,,
626.62,0.776,,,,
627.431,0.811,,,,
628.298,0.866,,,,
629.183,0.885,,,,
629.976,0.793,,,,
630.769,0.793,,,,
631.553,0.784,,,,
632.328,0.775,,,,
633.059,0.731,,,,
633.794,0.736,,,,
634.537,0.742,,,,
635.282,0.745,,,,
635.997,0.716,,,,
636.75,0.753,,,,
637.539,0.788,,,,
638.348,0.809,,,,
639.091,0.743,,,,
639.811,0.72,,,,
640.524,0.713,,,,
641.265,0.741,,,,
642.092,0.827,,,,
642.834,0.742,,,,
643.62,0.786,,,,
644.492,0.872,,,,
645.425,0.933,,,,
646.207,0.782,,,,
647.003,0.797,,,,
647.843,0.84,,,,
648.719,0.876,,,,
649.545,0.826,,,,
650.381,0.836,,,,
651.25,0.869,,,,
652.121,0.871,,,,
652.978,0.857,,,,
653.763,0.784,,,,
654.583,0.821,,,,
655.44,0.857,,,,
656.289,0.849,,,,
657.066,0.777,,,,
657.846,0.78,,,,
658.659,0.814,,,,
659.539,0.879,,,,
660.347,0.808,,,,
661.169,0.822,,,,
662.036,0.867,,,,
662.896,0.86,,,,
663.692,0.796,,,,
664.514,0.822,,,,
665.419,0.905,,,,
666.288,0.869,,,,
667.109,0.821,,,,
667.961,0.853,,,,
668.819,0.857,,,,
669.635,0.816,,,,
670.39,0.756,,,,
671.146,0.755,,,,
671.889,0.743,,,,
672.658,0.769,,,,
673.403,0.745,,,,
674.174,0.772,,,,
674.991,0.817,,,,
675.862,0.87,,,,
676.66,0.798,,,,
677.457,0.797,,,,
678.268,0.811,,,,
679.1,0.832,,,,
679.885,0.784,,,,
680.647,0.762,,,,
681.416,0.769,,,,
682.212,0.796,,,,
683.026,0.814,,,,
683.819,0.794,,,,
684.644,0.824,,,,
685.436,0.793,,,,
686.226,0.79,,,,
687.013,0.787,,,,
687.816,0.803,,,,
688.61,0.794,,,,
689.389,0.779,,,,
690.138,0.75,,,,
690.891,0.753,,,,
691.663,0.771,,,,
692.409,0.747,,,,
693.13,0.721,,,,
693.847,0.717,,,,
694.587,0.74,,,,
695.384,0.797,,,,
696.24,0.856,,,,
697.114,0.874,,,,
697.979,0.865,,,,
698.793,0.814,,,,
699.616,0.823,,,,
700.259,0.642,,,,
700.95,0.691,,,,
701.628,0.678,,,,
702.299,0.671,,,,
702.977,0.678,,,,
703.636,0.659,,,,
704.311,0.675,,,,
705.051,0.739,,,,
705.783,0.732,,,,
706.529,0.745,,,,
707.323,0.794,,,,
708.164,0.841,,,,
708.996,0.832,,,,
709.761,0.765,,,,
710.547,0.786,,,,
711.359,0.812,,,,
712.193,0.834,,,,
712.982,0.789,,,,
713.809,0.827,,,,
714.64,0.832,,,,
715.49,0.849,,,,
716.269,0.779,,,,
717.075,0.806,,,,
717.927,0.852,,,,
718.773,0.846,,,,
719.549,0.776,,,,
720.36,0.811,,,,
721.191,0.831,,,,
722.059,0.868,,,,
722.849,0.79,,,,
723.651,0.803,,,,
724.518,0.867,,,,
725.386,0.868,,,,
726.18,0.794,,,,
727.039,0.859,,,,
727.92,0.881,,,,
728.762,0.842,,,,
729.543,0.781,,,,
730.385,0.843,,,,
731.268,0.883,,,,
732.135,0.866,,,,
732.932,0.798,,,,
733.736,0.804,,,,
734.569,0.832,,,,
735.45,0.881,,,,
736.248,0.798,,,,
737.079,0.831,,,,
737.944,0.865,,,,
738.794,0.851,,,,
739.616,0.822,,,,
740.444,0.827,,,,
741.276,0.832,,,,
742.049,0.773,,,,
742.829,0.78,,,,
743.655,0.826,,,,
744.519,0.864,,,,
745.341,0.822,,,,
746.172,0.832,,,,
747.066,0.894,,,,
748,0.933,,,,
748.872,0.873,,,,
749.762,0.889,,,,
750.636,0.874,,,,
751.479,0.843,,,,
752.255,0.775,,,,
753.039,0.784,,,,
753.834,0.795,,,,
754.686,0.852,,,,
755.515,0.828,,,,
756.302,0.788,,,,
757.152,0.85,,,,
758.024,0.873,,,,
758.879,0.854,,,,
759.696,0.817,,,,
760.464,0.769,,,,
761.215,0.751,,,,
761.951,0.736,,,,
762.649,0.698,,,,
763.361,0.712,,,,
764.097,0.736,,,,
764.855,0.758,,,,
765.608,0.753,,,,
766.405,0.797,,,,
767.255,0.85,,,,
768.119,0.864,,,,
768.886,0.768,,,,
769.692,0.806,,,,
770.554,0.862,,,,
771.399,0.845,,,,
772.164,0.765,,,,
772.919,0.755,,,,
773.672,0.753,,,,
774.408,0.736,,,,
775.101,0.692,,,,
775.816,0.716,,,,
776.508,0.692,,,,
777.207,0.699,,,,
777.919,0.711,,,,
778.666,0.747,,,,
779.495,0.828,,,,
780.319,0.824,,,,
781.091,0.772,,,,
781.933,0.842,,,,
782.719,0.786,,,,
783.519,0.799,,,,
784.301,0.782,,,,
785.092,0.791,,,,
785.969,0.877,,,,
786.837,0.869,,,,
787.641,0.804,,,,
788.498,0.857,,,,
789.384,0.885,,,,
790.174,0.79,,,,
790.995,0.821,,,,
791.756,0.762,,,,
792.507,0.75,,,,
793.424,0.918,,,,
794.352,0.928,,,,
795.241,0.889,,,,
796.114,0.872,,,,
796.979,0.865,,,,
797.87,0.892,,,,
798.729,0.859,,,,
799.582,0.853,,,,
800.457,0.875,,,,
801.291,0.834,,,,
802.087,0.796,,,,
802.876,0.789,,,,
803.709,0.832,,,,
804.561,0.852,,,,
805.38,0.818,,,,
806.289,0.909,,,,
807.199,0.91,,,,
808.077,0.878,,,,
808.934,0.857,,,,
809.778,0.844,,,,
810.62,0.842,,,,
811.469,0.849,,,,
812.247,0.779,,,,
813.066,0.819,,,,
813.927,0.861,,,,
814.849,0.922,,,,
815.738,0.889,,,,
816.661,0.923,,,,
817.598,0.937,,,,
818.544,0.946,,,,
819.461,0.917,,,,
820.321,0.86,,,,
821.194,0.873,,,,
822.055,0.861,,,,
822.901,0.846,,,,
823.696,0.795,,,,
824.543,0.846,,,,
825.438,0.895,,,,
826.318,0.88,,,,
827.316,0.999,,,,
828.076,0.76,,,,
828.93,0.854,,,,
829.699,0.769,,,,
830.495,0.796,,,,
831.309,0.814,,,,
832.179,0.87,,,,
832.97,0.791,,,,
833.809,0.839,,,,
834.694,0.885,,,,
835.586,0.893,,,,
836.37,0.784,,,,
837.183,0.813,,,,
838.038,0.856,,,,
838.867,0.829,,,,
839.668,0.8,,,,
840.5,0.832,,,,
841.351,0.852,,,,
842.171,0.82,,,,
842.998,0.827,,,,
843.838,0.84,,,,
844.699,0.861,,,,
845.487,0.789,,,,
846.306,0.819,,,,
847.185,0.879,,,,
848.082,0.897,,,,
848.96,0.878,,,,
849.832,0.872,,,,
850.726,0.893,,,,
851.571,0.846,,,,
852.454,0.883,,,,
853.349,0.894,,,,
854.229,0.88,,,,
855.024,0.796,,,,
855.87,0.845,,,,
856.743,0.874,,,,
857.611,0.868,,,,
858.409,0.798,,,,
859.255,0.845,,,,
860.149,0.894,,,,
861.018,0.869,,,,
861.826,0.809,,,,
862.702,0.876,,,,
863.628,0.926,,,,
864.416,0.789,,,,
865.222,0.806,,,,
866.09,0.868,,,,
866.985,0.894,,,,
867.784,0.8,,,,
868.626,0.842,,,,
869.549,0.923,,,,
870.47,0.921,,,,
871.327,0.857,,,,
872.227,0.899,,,,
873.112,0.885,,,,
873.961,0.849,,,,
874.746,0.785,,,,
875.6,0.854,,,,
876.535,0.935,,,,
877.336,0.801,,,,
878.135,0.799,,,,
878.937,0.802,,,,
879.698,0.761,,,,
880.444,0.746,,,,
881.179,0.736,,,,
881.891,0.712,,,,
882.584,0.693,,,,
883.288,0.704,,,,
884,0.712,,,,
884.707,0.707,,,,
885.43,0.722,,,,
886.191,0.761,,,,
886.992,0.802,,,,
887.784,0.792,,,,
888.586,0.802,,,,
889.324,0.738,,,,
890.069,0.745,,,,
890.847,0.779,,,,
891.667,0.819,,,,
892.531,0.864,,,,
893.394,0.864,,,,
894.143,0.748,,,,
894.898,0.755,,,,
895.656,0.758,,,,
896.416,0.76,,,,
897.159,0.743,,,,
897.9,0.74,,,,
898.647,0.747,,,,
899.447,0.8,,,,
900.201,0.754,,,,
900.961,0.76,,,,
901.808,0.846,,,,
902.619,0.811,,,,
903.388,0.769,,,,
904.187,0.799,,,,
905.009,0.822,,,,
905.875,0.866,,,,
906.68,0.805,,,,
907.537,0.857,,,,
908.409,0.872,,,,
909.314,0.905,,,,
910.121,0.807,,,,
910.947,0.826,,,,
911.829,0.882,,,,
912.739,0.91,,,,
913.581,0.842,,,,
914.417,0.836,,,,
915.304,0.888,,,,
916.187,0.883,,,,
917.135,0.948,,,,
918.048,0.913,,,,
918.983,0.936,,,,
919.824,0.841,,,,
920.687,0.863,,,,
921.556,0.869,,,,
922.367,0.811,,,,
923.129,0.762,,,,
923.907,0.778,,,,
924.729,0.822,,,,
925.492,0.763,,,,
926.347,0.856,,,,
927.305,0.957,,,,
928.245,0.94,,,,
929.076,0.831,,,,
929.947,0.871,,,,
930.796,0.849,,,,
931.616,0.82,,,,
932.386,0.77,,,,
933.25,0.864,,,,
934.196,0.946,,,,
935.056,0.86,,,,
935.906,0.85,,,,
936.801,0.895,,,,
937.73,0.929,,,,
938.574,0.844,,,,
939.441,0.867,,,,
940.341,0.899,,,,
941.28,0.939,,,,
942.14,0.86,,,,
943.038,0.899,,,,
943.942,0.904,,,,
944.807,0.865,,,,
945.672,0.865,,,,
946.531,0.859,,,,
947.382,0.851,,,,
948.191,0.809,,,,
949.048,0.857,,,,
949.929,0.882,,,,
950.803,0.874,,,,
951.648,0.845,,,,
952.476,0.827,,,,
953.349,0.874,,,,
954.253,0.903,,,,
955.169,0.917,,,,
956.064,0.895,,,,
956.935,0.87,,,,
957.788,0.853,,,,
958.62,0.832,,,,
959.456,0.836,,,,
960.264,0.808,,,,
961.027,0.763,,,,
961.749,0.722,,,,
962.47,0.721,,,,
963.206,0.736,,,,
963.964,0.758,,,,
964.738,0.774,,,,
965.547,0.809,,,,
966.301,0.754,,,,
967.053,0.752,,,,
967.764,0.711,,,,
968.481,0.717,,,,
969.159,0.679,,,,
969.827,0.668,,,,
970.487,0.66,,,,
971.133,0.646,,,,
971.795,0.662,,,,
972.496,0.702,,,,
973.181,0.685,,,,
973.878,0.696,,,,
974.633,0.755,,,,
975.39,0.757,,,,
976.111,0.721,,,,
976.809,0.699,,,,
977.509,0.699,,,,
978.276,0.767,,,,
979.023,0.747,,,,
979.809,0.786,,,,
980.669,0.86,,,,
981.536,0.867,,,,
982.371,0.835,,,,
983.226,0.854,,,,
984.071,0.846,,,,
984.893,0.822,,,,
985.838,0.945,,,,
986.73,0.892,,,,
987.644,0.914,,,,
988.496,0.852,,,,
989.419,0.922,,,,
990.386,0.967,,,,
991.361,0.975,,,,
992.246,0.885,,,,
993.19,0.944,,,,
994.156,0.966,,,,
995.112,0.957,,,,
995.99,0.877,,,,
996.925,0.935,,,,
997.873,0.948,,,,
998.812,0.939,,,,
999.661,0.849,,,,
1000.574,0.913,,,,
1001.509,0.934,,,,
1002.467,0.958,,,,
1003.321,0.854,,,,
1004.231,0.909,,,,
1005.16,0.929,,,,
1006.1,0.941,,,,
1006.986,0.885,,,,
1007.936,0.951,,,,
1008.905,0.969,,,,
1009.852,0.947,,,,
1010.694,0.842,,,,
1011.586,0.892,,,,
1012.501,0.915,,,,
1013.416,0.914,,,,
1014.247,0.832,,,,
1015.14,0.892,,,,
1016.063,0.923,,,,
1016.977,0.913,,,,
1017.836,0.86,,,,
1018.737,0.901,,,,
1019.662,0.925,,,,
1020.53,0.868,,,,
1021.407,0.877,,,,
1022.318,0.911,,,,
1023.227,0.909,,,,
1024.063,0.837,,,,
1024.929,0.866,,,,
1025.783,0.854,,,,
1026.621,0.838,,,,
1027.412,0.792,,,,
1028.26,0.848,,,,
1029.19,0.93,,,,
1030.129,0.939,,,,
1030.973,0.844,,,,
1031.866,0.893,,,,
1032.782,0.916,,,,
1033.7,0.918,,,,
1034.533,0.832,,,,
1035.417,0.884,,,,
1036.321,0.905,,,,
1037.209,0.888,,,,
1038.039,0.83,,,,
1038.946,0.907,,,,
1039.888,0.941,,,,
1040.796,0.909,,,,
1041.649,0.853,,,,
1042.518,0.869,,,,
1043.391,0.873,,,,
1044.277,0.886,,,,
1045.224,0.947,,,,
1046.118,0.894,,,,
1047.009,0.891,,,,
1047.915,0.906,,,,
1048.823,0.908,,,,
1049.667,0.844,,,,
1050.546,0.88,,,,
1051.459,0.912,,,,
1052.368,0.909,,,,
1053.217,0.849,,,,
1054.108,0.891,,,,
1055.011,0.903,,,,
1055.91,0.899,,,,
1056.721,0.811,,,,
1057.561,0.84,,,,
1058.424,0.863,,,,
1059.259,0.835,,,,
1060.112,0.853,,,,
1060.999,0.887,,,,
1061.89,0.89,,,,
1062.716,0.826,,,,
1063.592,0.876,,,,
1064.471,0.88,,,,
1065.329,0.857,,,,
1066.128,0.799,,,,
1066.975,0.847,,,,
1067.865,0.89,,,,
1068.734,0.869,,,,
1069.57,0.836,,,,
1070.448,0.878,,,,
1071.362,0.915,,,,
1072.287,0.925,,,,
1073.151,0.864,,,,
1073.96,0.809,,,,
1074.827,0.867,,,,
1075.759,0.932,,,,
1076.694,0.935,,,,
1077.561,0.868,,,,
1078.44,0.879,,,,
1079.356,0.915,,,,
1080.267,0.911,,,,
1081.164,0.897,,,,
1081.995,0.831,,,,
1082.869,0.874,,,,
1083.799,0.93,,,,
1084.734,0.935,,,,
1085.605,0.871,,,,
1086.521,0.916,,,,
1087.444,0.923,,,,
1088.329,0.885,,,,
1089.148,0.82,,,,
1090.009,0.861,,,,
1090.912,0.903,,,,
1091.809,0.897,,,,
1092.634,0.825,,,,
1093.523,0.889,,,,
1094.479,0.957,,,,
1095.419,0.939,,,,
1096.282,0.863,,,,
1097.166,0.884,,,,
1098.046,0.881,,,,
1098.901,0.855,,,,
1099.69,0.788,,,,
1100.514,0.824,,,,
1101.409,0.895,,,,
1102.309,0.9,,,,
1103.096,0.787,,,,
1103.912,0.816,,,,
1104.743,0.831,,,,
1105.614,0.871,,,,
1106.461,0.847,,,,
1107.32,0.859,,,,
1108.204,0.884,,,,
1109.12,0.916,,,,
1109.968,0.848,,,,
1110.832,0.864,,,,
1111.64,0.808,,,,
1112.395,0.755,,,,
1113.115,0.72,,,,
1113.809,0.694,,,,
1114.532,0.723,,,,
1115.445,0.913,,,,
1116.289,0.844,,,,
1117.167,0.878,,,,
1118.099,0.932,,,,
1119.036,0.937,,,,
1119.874,0.839,,,,
1120.749,0.875,,,,
1121.67,0.92,,,,
1122.6,0.93,,,,
1123.449,0.85,,,,
1124.32,0.87,,,,
1125.128,0.808,,,,
1125.986,0.858,,,,
1126.896,0.911,,,,
1127.83,0.933,,,,
1128.666,0.836,,,,
1129.548,0.882,,,,
1130.486,0.938,,,,
1131.43,0.945,,,,
1132.299,0.869,,,,
1133.213,0.914,,,,
1134.13,0.917,,,,
1135.023,0.892,,,,
1135.949,0.926,,,,
1136.856,0.908,,,,
1137.755,0.898,,,,
1138.578,0.823,,,,
1139.422,0.844,,,,
1140.282,0.86,,,,
1141.157,0.875,,,,
1141.94,0.783,,,,
1142.749,0.809,,,,
1143.552,0.803,,,,
1144.318,0.766,,,,
1145.073,0.755,,,,
1145.879,0.805,,,,
1146.769,0.89,,,,
1147.564,0.795,,,,
1148.368,0.804,,,,
1149.188,0.82,,,,
1150.021,0.833,,,,
1150.771,0.75,,,,
1151.55,0.779,,,,
1152.332,0.782,,,,
1153.172,0.841,,,,
1153.976,0.804,,,,
1154.86,0.883,,,,
1155.769,0.91,,,,
1156.617,0.848,,,,
1157.386,0.769,,,,
1158.142,0.755,,,,
1158.879,0.737,,,,
1159.586,0.707,,,,
1160.284,0.698,,,,
1160.993,0.709,,,,
1161.722,0.729,,,,
1162.471,0.749,,,,
1163.2,0.729,,,,
1163.965,0.764,,,,
1164.737,0.772,,,,
1165.527,0.791,,,,
1166.31,0.783,,,,
1167.035,0.725,,,,
1167.778,0.744,,,,
1168.521,0.743,,,,
1169.237,0.715,,,,
1169.945,0.708,,,,
1170.68,0.736,,,,
1171.439,0.758,,,,
1172.206,0.767,,,,
1172.939,0.733,,,,
1173.698,0.759,,,,
1174.49,0.793,,,,
1175.258,0.768,,,,
1175.961,0.703,,,,
1176.769,0.808,,,,
1177.608,0.839,,,,
1178.399,0.791,,,,
1179.174,0.775,,,,
1179.997,0.823,,,,
1180.809,0.812,,,,
1181.593,0.784,,,,
1182.39,0.796,,,,
1183.17,0.781,,,,
1183.898,0.727,,,,
1184.602,0.704,,,,
1185.292,0.69,,,,
1185.978,0.686,,,,
1186.657,0.679,,,,
1187.329,0.672,,,,
1187.995,0.666,,,,
1188.646,0.651,,,,
1189.297,0.651,,,,
1189.958,0.66,,,,
1190.609,0.651,,,,
1191.291,0.682,,,,
1192.017,0.726,,,,
1192.841,0.824,,,,
1193.705,0.863,,,,
1194.497,0.793,,,,
1195.329,0.832,,,,
1196.169,0.84,,,,
1197.019,0.85,,,,
1197.806,0.788,,,,
1198.644,0.838,,,,
1199.491,0.847,,,,
1200.39,0.898,,,,
1201.248,0.859,,,,
1202.142,0.894,,,,
1203.057,0.915,,,,
1203.959,0.902,,,,
1204.766,0.807,,,,
1205.578,0.812,,,,
1206.409,0.831,,,,
1207.18,0.771,,,,
1207.939,0.758,,,,
1208.738,0.799,,,,
1209.596,0.859,,,,
1210.517,0.921,,,,
1211.435,0.918,,,,
1212.315,0.88,,,,
1213.112,0.796,,,,
1213.881,0.77,,,,
1214.675,0.793,,,,
1215.498,0.823,,,,
1216.322,0.824,,,,
1217.116,0.794,,,,
1217.993,0.877,,,,
1218.598,0.605,,,,
1219.313,0.715,,,,
1220.019,0.706,,,,
1220.703,0.684,,,,
1221.053,0.351,,,,
1221.406,0.352,,,,
1222.11,0.704,,,,
1222.8,0.69,,,,
1223.519,0.719,,,,
1224.274,0.755,,,,
1225.104,0.83,,,,
1225.866,0.762,,,,
1226.682,0.816,,,,
1227.537,0.855,,,,
1228.428,0.891,,,,
1229.237,0.808,,,,
1230.054,0.817,,,,
1230.921,0.868,,,,
1231.785,0.864,,,,
1232.579,0.793,,,,
1233.381,0.802,,,,
1234.18,0.799,,,,
1234.979,0.799,,,,
1235.747,0.768,,,,
1236.539,0.792,,,,
1237.38,0.841,,,,
1238.198,0.819,,,,
1238.967,0.768,,,,
1239.767,0.801,,,,
1240.651,0.883,,,,
1241.561,0.91,,,,
1242.428,0.867,,,,
1243.298,0.87,,,,
1244.095,0.797,,,,
1244.83,0.735,,,,
1245.57,0.74,,,,
1246.3,0.73,,,,
1247.065,0.765,,,,
1247.856,0.792,,,,
1248.643,0.787,,,,
1249.555,0.912,,,,
1250.465,0.909,,,,
1251.307,0.843,,,,
1252.221,0.913,,,,
1253.154,0.933,,,,
1254.055,0.902,,,,
1254.851,0.796,,,,
1255.631,0.78,,,,
1256.375,0.744,,,,
1257.123,0.748,,,,
1257.888,0.765,,,,
1258.702,0.814,,,,
1259.457,0.755,,,,
1260.191,0.734,,,,
1260.948,0.756,,,,
1261.704,0.756,,,,
1262.437,0.733,,,,
1263.203,0.766,,,,
1264.022,0.819,,,,
1265.777,1.755,,,,
1266.672,0.895,,,,
1267.491,0.818,,,,
1268.265,0.774,,,,
1269.039,0.775,,,,
1269.827,0.788,,,,
1270.635,0.808,,,,
1271.436,0.801,,,,
1272.197,0.761,,,,
1272.99,0.793,,,,
1274.872,1.882,,,,
1275.83,0.958,,,,
1276.716,0.886,,,,
1277.645,0.929,,,,
1278.586,0.941,,,,
1279.505,0.919,,,,
1280.343,0.838,,,,
1281.215,0.871,,,,
1282.14,0.925,,,,
1283.053,0.913,,,,
1283.926,0.874,,,,
1284.782,0.855,,,,
1285.709,0.928,,,,
1286.664,0.955,,,,
1287.588,0.924,,,,
1288.442,0.854,,,,
1289.331,0.889,,,,
1290.257,0.926,,,,
1291.186,0.93,,,,
1292.045,0.858,,,,
1292.94,0.896,,,,
1293.889,0.949,,,,
1294.797,0.909,,,,
1295.656,0.858,,,,
1296.576,0.921,,,,
1297.529,0.953,,,,
1298.369,0.84,,,,
1299.366,0.998,,,,
1300.329,0.963,,,,
1301.253,0.924,,,,
1302.09,0.837,,,,
1302.914,0.824,,,,
1303.749,0.835,,,,
1304.603,0.854,,,,
1305.493,0.89,,,,
1306.34,0.847,,,,
1307.209,0.869,,,,
1308.145,0.936,,,,
1309.1,0.955,,,,
1309.995,0.895,,,,
1310.805,0.81,,,,
1311.635,0.83,,,,
1312.418,0.783,,,,
1313.263,0.845,,,,
1314.112,0.849,,,,
1314.976,0.865,,,,
1315.813,0.837,,,,
1316.601,0.788,,,,
1317.407,0.806,,,,
1318.21,0.803,,,,
1318.989,0.779,,,,
1319.739,0.75,,,,
1320.52,0.781,,,,
1321.303,0.783,,,,
1322.093,0.79,,,,
1322.871,0.778,,,,
1323.704,0.833,,,,
1324.52,0.816,,,,
1325.318,0.798,,,,
1326.079,0.761,,,,
1326.824,0.745,,,,
1327.546,0.723,,,,
1328.254,0.707,,,,
1328.958,0.704,,,,
1329.729,0.771,,,,
1330.495,0.766,,,,
1331.304,0.809,,,,
1332.161,0.858,,,,
1333.082,0.921,,,,
1334.01,0.928,,,,
1334.895,0.885,,,,
1335.737,0.841,,,,
1336.593,0.856,,,,
1337.468,0.875,,,,
1338.329,0.861,,,,
1339.125,0.796,,,,
1340,0.875,,,,
1340.9,0.9,,,,
1341.801,0.901,,,,
1342.649,0.847,,,,
1343.599,0.95,,,,
1344.515,0.916,,,,
1345.315,0.8,,,,
1346.136,0.822,,,,
1346.919,0.782,,,,
1347.67,0.752,,,,
1348.414,0.744,,,,
1349.196,0.783,,,,
1350.018,0.822,,,,
1350.82,0.802,,,,
1351.61,0.79,,,,
1352.359,0.749,,,,
1353.135,0.776,,,,
1353.93,0.795,,,,
1354.72,0.79,,,,
1355.467,0.747,,,,
1356.211,0.745,,,,
1356.956,0.745,,,,
1357.727,0.77,,,,
1358.529,0.802,,,,
1359.36,0.832,,,,
1360.17,0.809,,,,
1360.897,0.727,,,,
1361.625,0.727,,,,
1362.348,0.723,,,,
1363.065,0.718,,,,
1363.767,0.702,,,,
1364.45,0.683,,,,
1365.129,0.678,,,,
1365.825,0.697,,,,
1366.521,0.696,,,,
1367.252,0.731,,,,
1368.018,0.766,,,,
1368.795,0.777,,,,
1369.556,0.761,,,,
1370.312,0.755,,,,
1371.1,0.788,,,,
1371.891,0.791,,,,
1372.697,0.806,,,,
1373.445,0.747,,,,
1374.201,0.757,,,,
1374.95,0.748,,,,
1375.665,0.716,,,,
1376.366,0.701,,,,
1377.089,0.723,,,,
1377.939,0.85,,,,
1378.849,0.91,,,,
1379.718,0.869,,,,
1380.645,0.928,,,,
1381.588,0.942,,,,
1382.52,0.932,,,,
1383.38,0.861,,,,
1384.217,0.837,,,,
1385.054,0.837,,,,
1385.876,0.822,,,,
1386.645,0.769,,,,
1387.438,0.793,,,,
1388.257,0.819,,,,
1389.085,0.828,,,,
1389.892,0.806,,,,
1390.718,0.827,,,,
1391.621,0.902,,,,
1392.5,0.879,,,,
1393.34,0.841,,,,
1394.195,0.854,,,,
1395.047,0.853,,,,
1395.865,0.818,,,,
1396.694,0.829,,,,
1397.555,0.861,,,,
1398.382,0.827,,,,
1399.175,0.793,,,,
1399.92,0.745,,,,
