Insert_Size	DF_980_3_GFP
54	7
55	13
56	8
57	22
58	30
59	39
60	27
61	40
62	59
63	51
64	74
65	62
66	55
67	100
68	104
69	110
70	149
71	204
72	243
73	231
74	351
75	328
76	386
77	438
78	462
79	536
80	638
81	787
82	754
83	743
84	715
85	815
86	993
87	1038
88	974
89	1146
90	1131
91	1330
92	1581
93	1589
94	1716
95	1727
96	1677
97	2787
98	2054
99	2404
100	224120
101	243519
102	293629
103	296031
104	305568
105	309169
106	309739
107	311443
108	314148
109	310470
110	320462
111	320277
112	322736
113	325596
114	318661
115	312315
116	304287
117	299553
118	300995
119	292318
120	293070
121	295352
122	292335
123	292578
124	286861
125	284807
126	280434
127	269470
128	265533
129	270324
130	259684
131	257346
132	263548
133	257330
134	256853
135	250274
136	248641
137	238224
138	236225
139	230355
140	229744
141	226123
142	230275
143	226299
144	219663
145	216810
146	217903
147	212467
148	213513
149	212167
150	317169
151	312109
152	310428
153	307600
154	305473
155	299284
156	293787
157	285526
158	277820
159	268823
160	261977
161	258251
162	255353
163	255884
164	255457
165	247760
166	245259
167	235959
168	228058
169	223119
170	219203
171	215724
172	212866
173	210923
174	211913
175	206578
176	205578
177	201450
178	197001
179	190031
180	183455
181	181868
182	177495
183	179281
184	181168
185	179807
186	176397
187	172823
188	168641
189	163868
190	161380
191	159432
192	156163
193	156790
194	156434
195	157379
196	156465
197	154719
198	151631
199	147913
200	145122
201	142270
202	142361
203	138119
204	138057
205	138520
206	138281
207	138181
208	136609
209	131881
210	132114
211	130280
212	125324
213	124205
214	123003
215	123771
216	123668
217	123833
218	123107
219	121555
220	118202
221	116259
222	115699
223	113821
224	111157
225	111617
226	110904
227	112954
228	111977
229	111159
230	110077
231	106843
232	107079
233	103735
234	103110
235	102942
236	101778
237	103719
238	105111
239	103606
240	103821
241	102084
242	99023
243	96492
244	96717
245	95568
246	96859
247	97126
248	96177
249	95218
250	95322
251	94321
252	93074
253	92791
254	89694
255	88134
256	88503
257	88729
258	89716
259	88815
260	89067
261	87777
262	87906
263	86963
264	83577
265	83041
266	83445
267	82684
268	83048
269	82986
270	82113
271	81169
272	80456
273	79539
274	78064
275	77513
