Insert_Size	DF_980_3_GFP_tdt
54	2
55	4
56	3
57	5
58	22
59	36
60	23
61	19
62	34
63	33
64	60
65	32
66	59
67	84
68	69
69	60
70	91
71	181
72	254
73	163
74	293
75	239
76	333
77	421
78	401
79	448
80	521
81	700
82	691
83	619
84	659
85	692
86	872
87	840
88	864
89	1052
90	1039
91	1119
92	1473
93	1381
94	1486
95	1528
96	1469
97	2760
98	1952
99	2158
100	189357
101	207522
102	253377
103	255475
104	265037
105	267944
106	265167
107	267297
108	269048
109	267120
110	275643
111	280208
112	278474
113	281846
114	277920
115	270703
116	264780
117	261971
118	261533
119	253970
120	252534
121	257531
122	256474
123	255147
124	253533
125	249924
126	244543
127	235204
128	232725
129	235428
130	229611
131	225138
132	231549
133	226744
134	226265
135	218820
136	213886
137	205809
138	202544
139	196413
140	193381
141	193358
142	195097
143	196667
144	188937
145	186746
146	186507
147	179178
148	180588
149	176622
150	271811
151	267009
152	267873
153	266961
154	265077
155	259413
156	254597
157	245318
158	234751
159	225655
160	219526
161	217450
162	214886
163	216939
164	216227
165	212018
166	209229
167	201454
168	194018
169	188054
170	182513
171	181666
172	179530
173	179729
174	180202
175	176991
176	177202
177	171843
178	170132
179	160767
180	156320
181	153395
182	151682
183	153204
184	156808
185	156315
186	154946
187	150842
188	147752
189	143800
190	141741
191	138603
192	135267
193	137440
194	137533
195	139586
196	139856
197	139129
198	136074
199	132902
200	130153
201	126806
202	127095
203	125558
204	125357
205	127624
206	127600
207	127663
208	126421
209	123255
210	121596
211	118975
212	115495
213	115204
214	115982
215	115705
216	117797
217	118475
218	117583
219	116520
220	112922
221	110787
222	108590
223	107021
224	107956
225	108523
226	108014
227	110711
228	110899
229	110033
230	108625
231	105608
232	104936
233	101717
234	100989
235	100870
236	102088
237	104751
238	105444
239	103948
240	103952
241	102814
242	99941
243	97083
244	95693
245	96014
246	97417
247	98508
248	98514
249	97672
250	96864
251	95951
252	93865
253	93022
254	89580
255	88734
256	88477
257	89155
258	91034
259	91409
260	91450
261	89776
262	88203
263	88919
264	84539
265	84094
266	83862
267	83891
268	85879
269	85737
270	85027
271	83699
272	82588
273	82262
274	79224
275	78702
276	77949
277	76879
278	78539
279	78976
280	80034
281	78884
282	77312
283	75755
284	74770
285	75327
286	74011
287	74127
288	74444
289	74537
290	75451
291	74585
292	73475
293	72099
294	69776
295	70021
296	69611
297	69807
298	70056
299	69821
300	71942
301	71007
302	71826
303	72055
304	70606
305	69365
306	69516
307	68593
308	69338
309	69148
310	71554
311	72989
312	70234
313	68327
314	72166
315	68013
316	68397
317	67915
318	70824
319	68275
320	67090
321	72845
322	69358
323	68116
324	68401
325	67432
326	66430
327	67665
328	68143
329	70706
330	68876
331	66914
332	67308
333	68387
334	67242
335	71255
336	66657
337	67985
338	66929
339	67919
340	67606
341	70345
342	69701
343	72068
344	72574
345	67890
346	69784
347	68741
348	66462
349	67185
350	69656
351	70369
352	68480
353	70249
354	68122
355	65690
356	66745
357	67168
358	72373
359	67103
360	68612
361	66220
362	66676
363	66841
364	64210
365	63478
366	61923
367	58843
368	61788
369	62790
370	61370
371	59370
372	60635
373	63891
374	59378
375	57437
376	56480
377	56523
378	54871
379	55103
380	55343
381	54730
382	54041
383	54363
384	54980
385	54447
386	52011
387	52612
388	52901
389	51787
390	51937
391	53606
392	51394
393	52916
394	53709
395	49310
396	49924
397	50271
398	52503
399	49977
400	49763
401	50104
402	51573
403	49501
404	48811
405	47872
406	49493
407	48200
408	51448
409	50138
410	49525
411	47710
412	47693
413	50012
414	48012
415	46512
416	46210
417	44273
418	43145
419	44378
420	44399
421	44443
422	42014
423	42987
424	43325
425	42318
426	43035
427	43268
428	42807
429	42418
430	41709
431	42972
432	43177
433	42367
434	45647
435	43214
436	42941
437	52738
438	49621
439	46930
440	47198
441	49857
442	48501
443	49809
444	49213
445	51511
446	64396
447	54306
448	51642
449	51069
450	49696
451	47930
452	49676
453	49538
454	46351
455	50291
456	51408
457	47260
458	49416
459	47620
460	48575
461	45661
462	50915
463	47887
464	48405
465	51064
466	47325
467	51650
468	53204
469	50104
470	50384
471	49429
472	46648
473	48095
474	47316
475	49231
476	48099
477	46517
478	48081
479	55437
480	45382
481	45505
482	45244
483	44739
484	45361
485	46732
486	47779
487	43371
488	47057
489	49129
490	50906
491	54555
492	49676
493	45559
494	47222
495	45342
496	43760
