"AXLE_CNT","CARGO_BD_TYPE","UNIT_NUM","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","CRASH_YEAR","CRN","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","USDOT_NUM","VEH_CONFIG_CD","COUNTY","DISTRICT","MUNICIPALITY","DISTRICT_NAME","COUNTY_NAME","MUNICIPALITY_NAME"
"05","1","1","5050 CENTRAL HWY","","PENNSAUKEN","NJ","08109","J.C.I. TRANSPORTATION","8564889200","2018","2018020682","080000","","","","","N","","","","","","N","","02092841","08","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"02","8","2","3101 ORTHODOX ST.","","PHILADELPHIA","PA","19137","MAT BUS CORP","2153830470","2018","2018020782","027500","","","","","N","","","","","","N","","02643668","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"02","8","1","1234 MARKET ST 9TH FLOOR","","PHILADELPHIA","PA","19107","SOUTHEASTERN PENNSYLVANIA TRANSP","2155808100","2018","2018022183","054000","","","","","N","","","","","","N","","00010206","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"04","1","2","600 PACKER AVE","","PHILADELPHIA","PA","19145","SYSCO PHILADELPHIA LLC","2152181648","2018","2018022183","060000","","","","","N","","","","","","N","","00271523","08","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","4","2","712 CREEK RD","","BELLMAWR","NJ","08031","PETRONGOLO CONTRACTORS INC","8569311187","2018","2018022528","045000","","","","","N","","","","","","N","","00794876","09","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","9","1","100 ORCHARD CT","","ROYERSFORD","PA","19468","VEIGA REMODELING CONSTRUCTION","9999999999","2018","2018023063","014000","","","","","N","","","","","","N","","","05","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"99","3","1","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","2018","2018023138","080000","","","","","N","","","","","","U","","","08","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"02","3","1","P O BOX 7825","","SAVANNAH","GA","31418-7825","CT TRANSPORTATION LLC.","4045591442","2018","2018025061","018436","","","","","N","","","","","","N","","00097620","09","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"02","8","3","3099 ORTHODOX ST","","PHILADELPHIA","PA","19137","MAT BUS CORP","2016612000","2018","2018025089","016478","","","","","N","","","","","","N","A-6419117","02643608","11","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"05","3","1","4300 WISSAHICKON AVENUE","","PHILADELPHIA","PA","19129","ALTOMARE PRECAST INC","2152258800","2018","2018025349","080000","","","","","N","","","","","","N","","00452147","08","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"03","4","1","804 ROBERTS AVE","","DREXEL HILL","PA","19026","AMS WASTE DISPOSAL INC","2153340130","2018","2018025430","073280","","","","","N","","","","","","N","","01921873","08","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
"02","3","2","PO BOX 1619","","LEVITTOWN","PA","19058","ROBS TOWING","2154704177","2018","2018025438","050000","","","","","N","","","","","","N","","00682761","08","67","06","67301","District 6-0","Philadelphia","Philadelphia City"
