"CRN","UNIT_NUM","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMT_TYPE","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMT_TYPE","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_PASSNGR_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","CRASH_YEAR","COUNTY","COUNTY_YEAR","COUNTY_NAME","MUNICIPALITY"
"2018093130","1","N","U","N","N","0","N","N","U","U","99999","U","N","0","N","N","U","U","Y","N","","","","","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018085244","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018091650","2","","","","","","","","","","","","","","","","","","","","N","N","N","U","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018098267","1","N","N","U","N","0","N","N","N","N","00450","","","","","","","","N","N","","","","","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018090548","2","N","Y","Y","Y","1","Y","Y","Y","N","00600","","","","","","","","N","N","","","","","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018095817","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018095309","1","N","U","U","N","9","U","U","U","U","99999","","","","","","","","N","N","","","","","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018055430","1","U","U","N","N","9","U","U","U","U","99999","","","","","","","","N","N","","","","","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018040672","1","U","U","Y","U","9","U","U","U","U","99999","","","","","","","","N","N","","","","","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018044356","1","N","U","Y","Y","1","U","N","Y","Y","01000","","","","","","","","N","N","","","","","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018030774","2","","","","","","","","","","","","","","","","","","","","U","N","N","U","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018085453","1","U","U","U","U","9","U","U","U","U","99999","","","","","","","","N","N","","","","","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
"2018032278","2","","","","","","","","","","","","","","","","","","","","U","Y","N","U","2018","67","CYCLE_2018_Philadelphia","Philadelphia","67301"
