WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998
SEAR,PRK,Democratic People's Republic of Korea (the),Rubella,0,0,0,0,0,0,1,5,0,0,82,101,101,123,507,520,520,0,,,
AFR,COD,Democratic Republic of the Congo (the),Rubella,287,,204,464,864,1704,1860,318,130,110,969,,207,,,,,,,,
EUR,DNK,Denmark,Rubella,0,0,0,,,0,0,0,0,,2,1,0,0,0,,0,0,0,,
EMR,DJI,Djibouti,Rubella,,0,4,,,0,0,15,,,118,,,,,,,,,0,
AMR,DMA,Dominica,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
AMR,DOM,Dominican Republic (the),Rubella,0,0,0,0,0,0,0,0,0,0,0,0,21,6,7,4,42,42,818,337,17
AMR,ECU,Ecuador,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,94,271,499,538,247,1008
EMR,EGY,Egypt,Rubella,7,34,28,53,21,34,35,30,461,608,1097,11354,2587,520,18,261,274,12,24,6,
AMR,SLV,El Salvador,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,,26,298,194,532
AFR,GNQ,Equatorial Guinea,Rubella,5,0,79,14,0,0,,,,,2,0,0,,,,,,,,
AFR,ERI,Eritrea,Rubella,10,413,113,16,109,19,18,354,163,69,,,44,16,2,4,46,11,39,33,
EUR,EST,Estonia,Rubella,0,0,0,0,0,2,0,0,0,1,4,10,5,6,22,48,96,274,370,238,
AFR,SWZ,Eswatini,Rubella,0,0,4,2,1,110,23,20,93,138,26,15,107,0,0,1,7,11,115,0,
AFR,ETH,Ethiopia,Rubella,1137,420,184,328,213,793,795,174,130,,191,187,276,175,104,,,,,12,
WPR,FJI,Fiji,Rubella,0,,1,,,,25,,0,1,0,0,10,0,2,65,63,0,,,
EUR,FIN,Finland,Rubella,0,0,0,5,,0,,2,0,0,0,0,1,0,0,0,4,0,,,
EUR,FRA,France,Rubella,,,,,,,,,,,,,,,,,,,,,
AFR,GAB,Gabon,Rubella,4,0,3,62,137,5,2,4,2,40,55,0,0,3,63,,,,0,,
AFR,GMB,Gambia,Rubella,1,0,4,1,35,66,39,42,14,0,0,0,10,0,30,0,0,,,,
EUR,GEO,Georgia,Rubella,0,5,11,100,149,224,75,64,59,67,188,225,482,1841,4809,838,420,293,428,799,
EUR,DEU,Germany,Rubella,16,74,95,90,151,,,,,,,,,,,,,,,,
AFR,GHA,Ghana,Rubella,24,17,11,12,26,168,272,712,,133,459,175,344,209,146,252,25,,,,
EUR,GRC,Greece,Rubella,0,0,0,0,0,0,0,0,0,4,0,0,,16,2,,14,14,12,1439,
AMR,GRD,Grenada,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
AMR,GTM,Guatemala,Rubella,0,0,0,0,0,0,0,0,0,0,0,0,11,4,36,5,19,62,276,0,45
AFR,GIN,Guinea,Rubella,15,168,289,4,8,10,55,34,3,7,88,26,26,,9,28,,0,,,
AFR,GNB,Guinea-Bissau,Rubella,,0,0,,3,0,23,3,0,0,0,0,0,,,,,,,,
