WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998
WPR,FJI,Fiji,CRS,,,,,,,,,0,0,0,0,0,0,,0,0,0,,,
EUR,FIN,Finland,CRS,0,0,0,1,,0,,1,,0,0,0,,,,,,0,,,
EUR,FRA,France,CRS,,2,2,2,,,,0,,,,0,,,,,,,2,,
AFR,GAB,Gabon,CRS,,,,,,,,,,,,,,,,,,,0,,
AFR,GMB,Gambia,CRS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,
EUR,GEO,Georgia,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,
EUR,DEU,Germany,CRS,0,0,,0,0,1,1,0,0,2,1,0,1,0,2,1,0,1,7,4,
AFR,GHA,Ghana,CRS,0,0,0,,0,0,0,,,,,,5,,4,,,,,,
EUR,GRC,Greece,CRS,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,1,5,
AMR,GRD,Grenada,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
AMR,GTM,Guatemala,CRS,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,3,2,,,,
AFR,GIN,Guinea,CRS,,,,,,,,,0,0,,0,0,,,,,0,,,
AFR,GNB,Guinea-Bissau,CRS,0,,0,0,0,0,0,,0,0,0,0,0,,,,,,,,
AMR,GUY,Guyana,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,
AMR,HTI,Haiti,CRS,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
AMR,HND,Honduras,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,3,1
EUR,HUN,Hungary,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,
EUR,ISL,Iceland,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,
SEAR,IND,India,CRS,,76,25,,,,,,,,,,,,,,,,,,
SEAR,IDN,Indonesia,CRS,188,532,174,44,,,,,,,,,,,,,,,,,
EMR,IRN,Iran (Islamic Republic of),CRS,1,1,0,0,0,0,0,0,0,49,0,,,,,,,,,,
EMR,IRQ,Iraq,CRS,,,,,,9,,1,,,,,,,,,,,,,
EUR,IRL,Ireland,CRS,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,
EUR,ISR,Israel,CRS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
EUR,ITA,Italy,CRS,1,0,,0,,,,0,0,6,,20,,,,,,,0,3,
AMR,JAM,Jamaica,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WPR,JPN,Japan,CRS,0,0,0,0,9,31,5,1,0,2,0,0,,,1,1,1,1,1,,
EMR,JOR,Jordan,CRS,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,1,0,1,,,
EUR,KAZ,Kazakhstan,CRS,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,
AFR,KEN,Kenya,CRS,,,,,,,0,0,,,,,,,,,,,,,
WPR,KIR,Kiribati,CRS,0,0,,,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,
EMR,KWT,Kuwait,CRS,,,,0,,,1,1,,,,,,1,1,,,,0,0,
EUR,KGZ,Kyrgyzstan,CRS,0,,0,0,,0,0,0,0,0,0,0,1,0,1,0,,,0,0,
WPR,LAO,Lao People's Democratic Republic (the),CRS,0,0,0,,,,,,,,,,,,,,,,,,
EUR,LVA,Latvia,CRS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,
