WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
EMR,IRQ,Iraq,JapEnc,0,,,,0,0,,,,,0,0,
EUR,IRL,Ireland,JapEnc,0,0,,0,0,0,0,0,0,0,0,0,0
EUR,ISR,Israel,JapEnc,,,,,,,,,,,,,
EUR,ITA,Italy,JapEnc,0,0,,0,,,,,,,,,0
AMR,JAM,Jamaica,JapEnc,,,,,,,,,,,,0,0
WPR,JPN,Japan,JapEnc,0,3,11,2,2,9,2,9,4,3,3,,5
EMR,JOR,Jordan,JapEnc,0,,,,,,,0,0,0,0,0,0
EUR,KAZ,Kazakhstan,JapEnc,,0,0,0,,0,0,,0,0,0,0,0
AFR,KEN,Kenya,JapEnc,,,,,,,0,0,,,,,
WPR,KIR,Kiribati,JapEnc,0,0,,,0,0,0,0,0,0,0,0,
EMR,KWT,Kuwait,JapEnc,,,,,,0,0,0,0,,,,
EUR,KGZ,Kyrgyzstan,JapEnc,,,,,,,,,,,0,,
WPR,LAO,Lao People's Democratic Republic (the),JapEnc,11,9,19,13,4,9,23,24,82,26,,44,12
EUR,LVA,Latvia,JapEnc,,,0,0,,0,0,0,0,0,0,0,0
EMR,LBN,Lebanon,JapEnc,0,0,0,0,0,,0,,0,0,0,,0
AFR,LSO,Lesotho,JapEnc,0,0,0,0,0,0,0,0,0,0,0,0,0
AFR,LBR,Liberia,JapEnc,,,,0,0,0,0,0,,0,,,
EMR,LBY,Libya,JapEnc,0,,,,,,0,,,,0,0,0
EUR,LTU,Lithuania,JapEnc,0,0,0,,0,0,0,0,,0,0,0,0
EUR,LUX,Luxembourg,JapEnc,,0,0,,,,,0,0,0,0,0,0
AFR,MDG,Madagascar,JapEnc,,,,,,,,0,0,0,,,
AFR,MWI,Malawi,JapEnc,0,0,0,0,0,0,,,,,,,
WPR,MYS,Malaysia,JapEnc,28,20,59,36,47,12,22,12,0,9,17,,
SEAR,MDV,Maldives,JapEnc,0,0,0,0,0,0,0,0,0,0,,,
AFR,MLI,Mali,JapEnc,,,,,,,,,,,,,0
EUR,MLT,Malta,JapEnc,0,0,0,0,0,,,0,0,0,0,0,
WPR,MHL,Marshall Islands (the),JapEnc,,,,,,,0,0,0,0,,0,0
AFR,MRT,Mauritania,JapEnc,,,0,0,,0,,,,,,,
AFR,MUS,Mauritius,JapEnc,,0,,,0,0,0,0,0,0,0,0,0
AMR,MEX,Mexico,JapEnc,,,,,,,,,,,,,
WPR,FSM,Micronesia (Federated States of),JapEnc,0,0,0,0,0,,,,0,0,,0,0
EUR,MCO,Monaco,JapEnc,,,,,,,,,,,,,
WPR,MNG,Mongolia,JapEnc,0,0,0,0,0,0,0,0,0,0,0,0,
EUR,MNE,Montenegro,JapEnc,,0,0,,,0,0,0,,0,0,0,0
EMR,MAR,Morocco,JapEnc,,,,,,,,0,,,,0,0
AFR,MOZ,Mozambique,JapEnc,,0,,0,,,,,,,0,0,
SEAR,MMR,Myanmar,JapEnc,126,442,393,113,50,3,14,20,18,8,5,28,0
AFR,NAM,Namibia,JapEnc,,0,,0,0,,,0,0,,0,0,
WPR,NRU,Nauru,JapEnc,,,,,,,,0,,0,0,0,0
SEAR,NPL,Nepal,JapEnc,57,63,98,937,1304,118,75,126,183,146,329,435,290
EUR,NLD,Netherlands (the),JapEnc,,,,,,,,,,,,,
WPR,NZL,New Zealand,JapEnc,0,0,0,0,0,0,0,0,0,0,,0,0
AMR,NIC,Nicaragua,JapEnc,,,,,,,,,,,,,
AFR,NER,Niger (the),JapEnc,,0,0,,0,0,0,,0,,,,
AFR,NGA,Nigeria,JapEnc,,,,,,,,0,,,,,
WPR,NIU,Niue,JapEnc,,,,,,0,0,0,0,0,0,0,
EUR,MKD,North Macedonia,JapEnc,,,,,,,,,,,,0,0
EUR,NOR,Norway,JapEnc,0,1,0,0,0,0,0,0,0,0,0,,0
EMR,OMN,Oman,JapEnc,0,0,0,0,0,0,0,0,0,0,0,0,0
EMR,PAK,Pakistan,JapEnc,,,,,,,,,,,,,
WPR,PLW,Palau,JapEnc,,0,0,0,0,0,0,0,0,0,0,0,0
AMR,PAN,Panama,JapEnc,,,,,,,,,,,,,0
WPR,PNG,Papua New Guinea,JapEnc,0,1,0,4,1,0,0,,,,2,,
AMR,PRY,Paraguay,JapEnc,,,,,,,,,,,,0,0
AMR,PER,Peru,JapEnc,,,,,,,,,,,,,
WPR,PHL,Philippines (the),JapEnc,204,361,312,115,69,24,,,181,5,34,,
EUR,POL,Poland,JapEnc,0,0,0,,,0,0,,0,0,,0,0
EUR,PRT,Portugal,JapEnc,,,,,,,,,,,,,0
EMR,QAT,Qatar,JapEnc,0,0,0,0,0,0,0,0,0,0,,0,0
WPR,KOR,Republic of Korea (the),JapEnc,,9,0,40,26,14,20,3,26,3,6,7,0
EUR,MDA,Republic of Moldova (the),JapEnc,0,0,0,0,0,0,0,0,0,0,0,0,0
EUR,ROU,Romania,JapEnc,0,0,0,0,0,0,0,0,0,0,0,0,0
EUR,RUS,Russian Federation (the),JapEnc,,,,,0,,,,,,0,,
AFR,RWA,Rwanda,JapEnc,0,0,,0,,,,,,,,,
AMR,KNA,Saint Kitts and Nevis,JapEnc,,,,,,,,,,,,0,0
AMR,LCA,Saint Lucia,JapEnc,,,,,,,,,,,,,0
AMR,VCT,Saint Vincent and the Grenadines,JapEnc,0,,,,,,,,,,,,0
WPR,WSM,Samoa,JapEnc,0,0,,,,,0,0,0,0,,,0
EUR,SMR,San Marino,JapEnc,0,0,0,,,,0,0,0,0,,0,0
AFR,STP,Sao Tome and Principe,JapEnc,0,,0,0,,,,,,0,0,0,0
EMR,SAU,Saudi Arabia,JapEnc,,,0,0,,0,,0,0,0,0,0,0
AFR,SEN,Senegal,JapEnc,,,,,,,,,,,,0,
EUR,SRB,Serbia,JapEnc,0,,,,,,,,,,0,0,0
AFR,SYC,Seychelles,JapEnc,0,0,0,0,0,0,0,0,0,0,0,0,0
AFR,SLE,Sierra Leone,JapEnc,,,,,,,,,,,,0,7
WPR,SGP,Singapore,JapEnc,0,0,,,,,0,0,1,0,1,1,1
EUR,SVK,Slovakia,JapEnc,0,0,0,0,0,0,0,0,0,0,0,0,0
EUR,SVN,Slovenia,JapEnc,0,0,0,0,0,0,0,0,0,0,0,0,0
WPR,SLB,Solomon Islands,JapEnc,0,,,,,0,0,0,0,0,0,0,0
EMR,SOM,Somalia,JapEnc,,,,,,,,,,,,,
AFR,ZAF,South Africa,JapEnc,0,0,0,0,0,,,0,,0,,,
AFR,SSD,South Sudan,JapEnc,,0,,0,0,,,,,,,,
EUR,ESP,Spain,JapEnc,,0,,,,0,0,0,0,0,,0,
SEAR,LKA,Sri Lanka,JapEnc,29,23,18,17,21,70,60,30,27,72,118,45,29
EMR,SDN,Sudan (the),JapEnc,,,,,,,,,,,,,
AMR,SUR,Suriname,JapEnc,,,,,,,,,,,,0,
EUR,SWE,Sweden,JapEnc,0,1,0,1,1,0,0,0,1,0,0,0,0
EUR,CHE,Switzerland,JapEnc,,,,,,,,,,0,0,0,0
EMR,SYR,Syrian Arab Republic (the),JapEnc,0,0,0,,,0,0,0,0,0,0,0,0
EUR,TJK,Tajikistan,JapEnc,,0,0,,,,,,,,,,0
SEAR,THA,Thailand,JapEnc,19,28,21,23,31,59,54,52,40,36,64,43,49
SEAR,TLS,Timor-Leste,JapEnc,0,7,1,0,0,5,0,0,0,3,0,0,
AFR,TGO,Togo,JapEnc,,,,,,,,,,,,,
WPR,TON,Tonga,JapEnc,0,0,,,,0,0,0,0,0,0,,0
AMR,TTO,Trinidad and Tobago,JapEnc,,,,,,,,,,,,,0
EMR,TUN,Tunisia,JapEnc,,,0,,,,0,,,,,0,0
EUR,TUR,Turkey,JapEnc,,,,,,,,,,,,,
EUR,TKM,Turkmenistan,JapEnc,0,,0,,,,,,,,,,
WPR,TUV,Tuvalu,JapEnc,,,,,,,,,,,0,0,0
AFR,UGA,Uganda,JapEnc,,,,,,,,,,,,,
EUR,UKR,Ukraine,JapEnc,,,,,,,,0,,,0,,0
EMR,ARE,United Arab Emirates (the),JapEnc,,,,,,,,,,,0,,
EUR,GBR,United Kingdom of Great Britain and Northern Ireland (the),JapEnc,0,,0,0,0,0,0,0,0,0,0,0,0
AFR,TZA,United Republic of Tanzania,JapEnc,,,,,,0,0,,,,,0,0
AMR,USA,United States of America (the),JapEnc,,,,,,,,,,,,,
AMR,URY,Uruguay,JapEnc,0,,,,,,,,,,,0,
EUR,UZB,Uzbekistan,JapEnc,,0,0,0,,0,,0,0,0,0,,0
WPR,VUT,Vanuatu,JapEnc,0,,,,,,,,,,,,
AMR,VEN,Venezuela (Bolivarian Republic of),JapEnc,,,,,,,,,,,,,
WPR,VNM,Viet Nam,JapEnc,313,200,357,368,421,224,183,126,140,68,17,38,
EMR,YEM,Yemen,JapEnc,,,,,,0,,,,,,,
AFR,ZMB,Zambia,JapEnc,0,0,,,,0,0,0,0,0,0,0,0
AFR,ZWE,Zimbabwe,JapEnc,0,0,0,0,,,0,,,0,,,
