WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AFR,KEN,Kenya,ntetanus,,,317,32,36,1,2,,7,9,30,52,38,56,78,41,95,132,1278,259,71,27,23,30,50,8,,,1612,,,,23,17,,,497,,
WPR,KIR,Kiribati,ntetanus,0,0,,,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,3,3,4,2,1,0,0,,0,0,0,0,,,
EMR,KWT,Kuwait,ntetanus,,,,,0,0,0,0,0,,,,,0,,,,,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,3,1,0,9
EUR,KGZ,Kyrgyzstan,ntetanus,0,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,,,,,0,,,,,,,,,,,,,
WPR,LAO,Lao People's Democratic Republic (the),ntetanus,16,17,16,19,,18,11,6,7,8,5,15,8,12,14,17,16,17,21,18,17,12,17,6,10,5,12,20,4,,0,,,,,,,,
EUR,LVA,Latvia,ntetanus,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,
EMR,LBN,Lebanon,ntetanus,0,1,0,0,,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,4,3,3,0,0,,,,,,0,0,,,,,
EMR,AFG,Afghanistan,ntetanus,53,,4,12,17,13,21,20,23,,12,40,33,39,81,121,595,211,139,88,310,,,,,,,0,3,,,,,,,,121,14,16
EUR,ALB,Albania,ntetanus,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,6,3,3,1,1,0,0,0,0,0,0,0,0,0,0
AFR,DZA,Algeria,ntetanus,0,0,0,0,0,0,0,0,0,0,3,4,5,8,3,3,4,15,,17,16,19,16,15,21,40,33,29,27,38,36,,,,,,,,
EUR,AND,Andorra,ntetanus,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,
AFR,AGO,Angola,ntetanus,86,18,,36,19,33,6,75,13,66,89,70,60,89,100,117,173,311,131,78,164,126,116,101,814,634,604,634,959,1466,835,363,29,550,912,851,745,690,541
AMR,ATG,Antigua and Barbuda,ntetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMR,ARG,Argentina,ntetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,2,0,4,4,4,11,5,13,18,8,18,21,17,18,19,0,0,0,0,0
EUR,ARM,Armenia,ntetanus,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
WPR,AUS,Australia,ntetanus,0,,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,0,0,,0,0,0,0,,,,,,,,,,,,
EUR,AUT,Austria,ntetanus,,,,,,,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,,,,,,,,,,,
EUR,AZE,Azerbaijan,ntetanus,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,1,2,3,3,1,3,0,,,,,,,,,,,
AMR,BHS,Bahamas (the),ntetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMR,BHR,Bahrain,ntetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0
SEAR,BGD,Bangladesh,ntetanus,84,95,110,117,,108,109,98,117,121,152,206,256,341,748,390,336,436,376,479,910,689,759,735,834,720,588,602,740,1105,1029,,,,1265,,,,1068
AMR,BRB,Barbados,ntetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUR,BLR,Belarus,ntetanus,,0,0,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
EUR,BEL,Belgium,ntetanus,,0,,,,,0,0,0,0,0,0,0,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AMR,BLZ,Belize,ntetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,3,2,0
AFR,BEN,Benin,ntetanus,13,,7,7,3,8,4,6,3,4,7,9,7,12,17,25,24,24,52,54,10,24,16,30,75,70,63,23,247,266,371,441,388,,,,,,
SEAR,BTN,Bhutan,ntetanus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,0,49,0,0,0,0,1,0,2,0,1,2,3,0,71,4,32,,,,
AMR,BOL,Bolivia (Plurinational State of),ntetanus,0,2,0,0,0,0,0,1,0,1,0,1,2,5,4,3,2,3,2,2,9,14,14,20,21,21,42,53,46,102,118,86,69,9,0,0,0,0,0
EUR,BIH,Bosnia and Herzegovina,ntetanus,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,
AFR,BWA,Botswana,ntetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,3,0,2,14,21,4,2,
AMR,BRA,Brazil,ntetanus,0,0,1,0,1,3,2,6,6,3,6,5,8,10,14,15,31,17,34,66,72,74,86,128,185,218,229,272,298,392,403,464,497,684,602,706,572,0,0
WPR,BRN,Brunei Darussalam,ntetanus,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,,0,0,0,0,0,,,,0,0,,0,,0,1,0,0,0,0,1,1,0
EUR,BGR,Bulgaria,ntetanus,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFR,BFA,Burkina Faso,ntetanus,3,1,1,0,3,0,1,2,2,6,8,13,4,8,4,16,4,12,22,19,,8,15,18,20,19,39,42,100,150,211,257,269,227,46,,,,
AFR,BDI,Burundi,ntetanus,0,0,1,1,3,1,1,2,2,11,,14,17,16,,40,45,,16,32,18,1,21,12,16,19,25,19,25,64,141,104,123,127,278,,,,
AFR,CPV,Cabo Verde,ntetanus,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,4,2,7,0,2,6,8,10,35,42,25,,,,,
WPR,KHM,Cambodia,ntetanus,14,14,10,10,18,13,15,9,19,27,34,50,69,68,146,238,169,165,295,173,84,34,9,8,147,88,,121,,,,,,,,,,,
AFR,CMR,Cameroon,ntetanus,27,51,58,26,33,43,23,31,29,39,43,48,175,36,64,196,322,207,279,238,197,171,274,57,69,271,380,449,382,490,358,394,492,537,904,,,,
AMR,CAN,Canada,ntetanus,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFR,CAF,Central African Republic (the),ntetanus,39,105,208,96,24,68,65,49,20,15,25,68,23,20,36,31,32,38,37,48,16,39,17,45,8,22,14,31,32,35,23,96,38,63,59,87,78,37,
