WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AFR,CAF,Central African Republic (the),ttetanus,119,105,,96,24,68,74,49,20,15,25,68,,20,36,,,,37,,,39,,87,,,,,34,57,45,96,67,124,145,201,137,70,217
AFR,TCD,Chad,ttetanus,189,47,172,195,154,176,225,215,,146,163,100,,191,,,,,,,1110,930,,,,1073,1086,1094,1603,1533,1618,1646,462,217,316,1977,625,286,8
AMR,CHL,Chile,ttetanus,3,8,11,8,7,10,6,12,9,10,8,3,7,8,10,10,6,11,5,15,15,6,17,11,11,18,15,15,22,19,17,13,19,26,23,34,36,28,31
WPR,CHN,China,ttetanus,,,,,426,492,,,,,1786,2112,,2761,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,COL,Colombia,ttetanus,38,37,45,48,59,31,50,37,71,40,45,65,63,72,,7,37,25,27,19,21,24,26,85,61,77,86,152,167,215,251,452,249,517,621,688,768,675,593
AFR,COM,Comoros (the),ttetanus,5,0,0,0,1,0,,0,2,3,3,2,2,1,0,0,0,,,2,0,0,1,,,17,17,17,,,13,,,,,,,,
AFR,COG,Congo (the),ttetanus,0,,0,,14,5,2,0,2,2,3,3,25,12,14,15,8,,,,,0,7,5,,,,26,27,39,53,42,74,250,144,23,31,134,167
WPR,COK,Cook Islands,ttetanus,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1
AMR,CRI,Costa Rica,ttetanus,0,0,0,,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,2,3,6,3,0,2,1,2,2,4,7,3,6,7,7,16,13,17
AFR,CIV,Côte d'Ivoire,ttetanus,368,138,3,9,12,15,9,,,8,15,31,,2,,12,20,,,,,515,351,,,,455,,384,,,,,,,,,,
EUR,HRV,Croatia,ttetanus,3,2,0,3,,1,1,2,4,9,1,5,4,3,8,12,8,14,18,13,8,10,11,17,19,11,8,17,,,,,,,,,,,
AMR,CUB,Cuba,ttetanus,0,2,0,1,1,2,3,1,1,3,3,0,3,0,0,3,0,2,1,2,4,1,4,5,6,2,5,4,7,7,5,6,14,7,14,24,21,22,26
EUR,CYP,Cyprus,ttetanus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0
EUR,CZE,Czech Republic,ttetanus,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,2,0,2,3,2,1,1,,,,,,,,,,,
SEAR,PRK,Democratic People's Republic of Korea (the),ttetanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,6,0,,3,4,,3,1,,1,24,123,570,804,982,0,1688,733,537
AFR,COD,Democratic Republic of the Congo (the),ttetanus,792,939,80,330,201,,1296,943,1038,1368,1252,1153,802,1524,1515,574,4763,1369,77,,,,,,,,,,,135,178,235,198,262,268,400,495,802,848
EUR,DNK,Denmark,ttetanus,2,2,,,,1,0,0,0,0,1,3,2,0,1,0,0,1,1,,,2,0,4,0,1,1,0,2,5,2,4,3,1,0,2,5,4,2
EMR,DJI,Djibouti,ttetanus,0,,,,,,,,0,0,0,0,1,0,0,0,1,0,0,0,0,,6,0,,3,1,2,2,6,95,0,,,28,,10,13,
AMR,DMA,Dominica,ttetanus,0,0,1,1,0,1,0,0,1,1,0,0,0,,0,,1,0,0,0,0,0,0,0,,4,0,1,0,0,1,1,0,0,0,2,0,0,2
AMR,DOM,Dominican Republic (the),ttetanus,44,46,46,37,45,55,40,45,50,59,66,64,69,54,49,53,58,37,25,36,12,27,27,52,52,68,58,54,56,53,104,176,45,91,90,107,100,92,113
AMR,ECU,Ecuador,ttetanus,59,60,52,49,2,27,1,2,2,5,15,15,47,16,,7,22,36,28,43,24,68,88,158,140,162,129,125,169,199,257,186,162,186,98,97,70,77,81
