WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AMR,CAN,Canada,pertussis,681,3998,3896,3510,1527,1261,4845,676,759,1667,1961,1472,1945,2231,2697,1863,2557,2678,4054,6069,8796,4439,5408,9818,10151,7401,3605,2724,8030,2440,1106,1292,2357,2376,1350,2231,2314,2632,2873
AFR,CAF,Central African Republic (the),pertussis,612,497,353,379,241,124,124,100,1,63,,2,65,87,561,80,10,1358,,0,16,11,,6,,,,,46,746,802,826,1071,2443,1566,452,931,1384,4340
AFR,TCD,Chad,pertussis,,,,,,,,,,,,,,,,,,,,,5898,5498,5004,5745,,,,,,,,,2303,1496,2532,2288,273,,
AMR,CHL,Chile,pertussis,682,849,752,734,1125,1964,5762,2582,794,692,969,1030,1288,1213,1059,1106,1171,1611,3554,3178,2482,1457,1094,424,208,600,264,61,59,202,224,46,38,610,1980,127,393,2043,2795
WPR,CHN,China,pertussis,22057,10390,5584,6658,3408,1712,2183,2517,1764,1612,2387,,2595,3844,4705,858,6293,6407,5561,5974,7134,8678,,5482,7199,9190,11182,10679,20015,26985,32937,59543,83979,147298,215965,331419,422280,510601,613648
AMR,COL,Colombia,pertussis,416,330,536,986,734,13682,3289,1010,344,407,408,125,233,139,25,140,322,577,446,332,311,425,111,1144,1609,1271,872,1336,1961,2384,1864,3272,2055,1629,3211,5450,7220,4990,7664
AFR,COM,Comoros (the),pertussis,,,,0,0,0,,,0,0,,0,0,0,0,0,0,,,0,0,0,3,,,,,0,0,,,,,,,,,,
AFR,COG,Congo (the),pertussis,0,0,0,,21,137,12,0,0,0,0,55,108,,,0,38,31,0,17,,8,48,144,,,,93,52,47,61,47,667,772,1981,1181,1212,1857,11198
WPR,COK,Cook Islands,pertussis,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
AMR,CRI,Costa Rica,pertussis,36,58,23,20,31,58,130,79,71,664,2024,2024,1037,7,13,27,32,51,23,11,29,33,20,21,20,28,29,19,75,85,95,52,153,133,172,74,63,168,960
AFR,CIV,Côte d'Ivoire,pertussis,4,1,,,,,,,,,,,,,,0,0,0,,,,1284,1559,1865,,,1851,,3052,4284,3622,4626,8213,,,,,,
EUR,HRV,Croatia,pertussis,128,80,122,57,,108,61,103,42,101,102,123,80,124,197,94,176,130,196,333,445,567,694,252,310,666,313,392,304,,,,,,,,,,
AMR,CUB,Cuba,pertussis,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,1,23,70,70,32,103,342,195,86,275,915,379,131
EUR,CYP,Cyprus,pertussis,0,17,2,2,7,9,16,2,0,8,3,9,8,6,15,58,1,,6,12,5,12,20,15,17,0,1,6,4,0,0,0,11,0,0,23,1,3,0
EUR,CZE,Czech Republic,pertussis,752,667,627,585,2521,1233,738,324,662,956,767,186,234,412,373,342,329,124,187,97,25,114,121,22,75,72,9,33,48,,,,,,,,,,
SEAR,PRK,Democratic People's Republic of Korea (the),pertussis,0,0,0,0,0,0,8,13,0,8,395,1250,409,493,1930,1084,1087,87,304,50,32,60,98,130,150,,47,49,58,274,363,494,952,1607,1767,1919,563,110,0
AFR,COD,Democratic Republic of the Congo (the),pertussis,1326,1602,0,0,0,,3407,2452,2157,830,3190,3799,3558,4564,7104,2534,,6300,75,150,44,,,,,,,,,492,1447,1473,1209,1590,635,5926,7265,13731,15335
EUR,DNK,Denmark,pertussis,1028,1081,2096,962,855,484,980,71,77,83,105,81,55,129,228,114,323,200,164,,,198,89,82,39,242,495,821,569,928,959,2902,1139,1882,3368,1883,1327,4364,4970
EMR,DJI,Djibouti,pertussis,,,,,,,,,0,0,0,3,,,0,10,2,34,48,,,,0,0,,0,1,0,25,27,15,5,,85,385,32,23,214,
AMR,DMA,Dominica,pertussis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,7,0,1
AMR,DOM,Dominican Republic (the),pertussis,147,41,26,69,98,17,11,3,37,18,11,10,17,63,53,23,10,19,40,21,20,2,2,0,4,5,71,33,227,255,104,149,217,172,177,302,216,212,558
AMR,ECU,Ecuador,pertussis,30,60,16,7,9,35,54,3,0,41,125,84,23,,0,127,355,308,482,204,248,235,163,176,562,362,320,601,487,247,197,312,907,741,420,802,1165,803,836
EMR,EGY,Egypt,pertussis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,2,0,1,1,0,3,19,4,1,9,22,14,9,18,41,23,37,29,49
AMR,SLV,El Salvador,pertussis,11,17,13,0,0,7,37,7,2,2,5,2,5,5,1,8,6,6,3,3,4,2,3,4,12,24,33,0,0,0,46,162,561,464,505,497,1754,3911,1003
AFR,GNQ,Equatorial Guinea,pertussis,,,0,0,0,0,0,0,,,,,,,,,0,0,,,,0,4,,,,,,67,166,356,247,15,4,288,,,,
AFR,ERI,Eritrea,pertussis,0,156,81,31,,0,208,91,11,0,30,,65,46,6,53,149,130,152,132,119,,45,125,,,,,,,,,,,,,,,
EUR,EST,Estonia,pertussis,69,56,74,77,43,55,149,478,1295,629,485,409,153,63,455,489,215,319,503,235,344,336,46,50,161,279,200,222,87,,,,,,,,,,
AFR,SWZ,Eswatini,pertussis,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,13,11,4,31,38,34,72,20,27,97,294,756,673,533,1294,808,,
AFR,ETH,Ethiopia,pertussis,2423,,,,,,,,,,,,,,,,,,,733,749,,264,626,,,3813,,922,1183,13621,7198,4921,5148,12548,10993,10823,9885,23429
WPR,FJI,Fiji,pertussis,0,,,,,,,,0,0,0,0,0,0,3,0,0,10,,,,0,0,0,0,0,1,,1,6,4,9,0,2,5,5,15,8,13
EUR,FIN,Finland,pertussis,477,399,432,165,,192,,555,336,267,511,480,535,552,1631,1263,581,315,,,832,606,586,518,1291,364,247,682,707,297,187,498,239,308,245,740,379,116,187
EUR,FRA,France,pertussis,,155,56,47,84,165,,,,,,,246,,,,,,,,,,469,,,,,,,,,,,83,57,112,137,66,100
AFR,GAB,Gabon,pertussis,,,,,,,,,,,,,,,,,0,588,,,,,98,,,128,406,,,318,528,363,1061,1721,1319,1334,480,357,3065
AFR,GMB,Gambia,pertussis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,0,,,,,,,,,,,,56,,,,118,157
EUR,GEO,Georgia,pertussis,558,280,120,176,94,115,346,33,49,130,129,63,135,165,207,98,147,82,84,233,334,118,114,97,308,272,148,335,,,,,,,,,,,
EUR,DEU,Germany,pertussis,12907,16183,13809,9000,12260,,,,,,,,,,,,,,,,,,,,,,,,,94,244,60,76,306,187,207,217,209,258
AFR,GHA,Ghana,pertussis,8,0,123,21,0,0,,,63,,4,487,35,,,105,326,523,636,749,819,,1141,1147,1689,2360,2672,1602,2651,3744,2694,5079,2514,8704,5255,6279,10384,13509,13216
EUR,GRC,Greece,pertussis,19,41,87,17,16,28,56,3,64,27,22,29,,24,23,,16,93,13,36,86,106,96,196,264,234,480,649,752,648,883,2784,1728,1020,1504,5470,2082,1351,3083
AMR,GRD,Grenada,pertussis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,2,2,0,0,0,2,1,9,0,0,0,0,0,0
AMR,GTM,Guatemala,pertussis,67,62,152,83,25,34,273,0,0,0,60,97,48,0,391,350,50,229,146,291,441,567,65,34,29,34,156,149,130,145,625,53,509,1507,1970,1280,1539,1211,1513
AFR,GIN,Guinea,pertussis,,0,0,,,0,,,0,25,0,0,38,15,52,108,81,267,247,176,160,515,180,,,,,,412,314,317,1759,647,625,1328,1963,4589,4141,2315
AFR,GNB,Guinea-Bissau,pertussis,0,0,0,0,0,0,0,0,0,0,0,0,15,,2,16,4,41,,20,,24,26,,,,,1786,1512,151,1286,1649,1206,743,464,896,1968,1323,1250
AMR,GUY,Guyana,pertussis,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,212,0,0,0,0,0,44,0,0,0,0,0,1,0,0,0,4,1,0,0,23,99,61
AMR,HTI,Haiti,pertussis,9,0,,4,2,0,0,0,13,4,696,824,,496,44,5,2,30,14,24,,0,,0,,,,,913,1835,637,1299,469,1373,749,524,1559,730,812
AMR,HND,Honduras,pertussis,74,266,151,30,41,25,48,113,135,127,224,71,138,134,104,93,69,37,169,145,59,191,200,0,3,15,425,89,65,52,143,519,331,335,630,550,1151,1812,2503
EUR,HUN,Hungary,pertussis,23,15,5,6,20,20,5,9,25,33,33,48,17,22,31,29,6,1,1,1,0,0,5,3,2,3,2,5,12,3,18,18,12,21,24,9,22,27,22
EUR,ISL,Iceland,pertussis,15,19,14,4,1,31,36,0,0,0,2,4,3,6,1,3,,3,8,,,47,100,27,41,4,4,137,3,19,53,162,35,16,59,535,258,26,41
SEAR,IND,India,pertussis,13208,23766,37274,25206,46706,31089,44154,39091,40508,60385,43697,46674,30088,31122,32786,33954,33289,34703,31431,11264,31199,21371,,4073,38591,47612,63308,73520,112416,145215,143598,163787,167234,184368,189287,211283,277859,359288,320109
