WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AFR,CIV,Côte d'Ivoire,yfever,2,11,3,15,21,6,5,10,49,22,14,0,2,2,0,1,158,80,,1,0,11,0,,,,,,,,,,,,,,25,,
EUR,HRV,Croatia,yfever,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
AMR,CUB,Cuba,yfever,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
EUR,CYP,Cyprus,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,
EUR,CZE,Czech Republic,yfever,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
SEAR,PRK,Democratic People's Republic of Korea (the),yfever,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,
AFR,COD,Democratic Republic of the Congo (the),yfever,15,2,77,0,3,,1,195,289,0,113,204,81,140,1192,18,,36,,0,0,0,,,,,,,,,,,,,,,,,
EUR,DNK,Denmark,yfever,0,0,0,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,
EMR,DJI,Djibouti,yfever,,,,,,,,,0,0,0,0,,,,,,0,,,0,,,,,,,,,,,,,,,,,,
AMR,DMA,Dominica,yfever,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,,,,,,,,
AMR,DOM,Dominican Republic (the),yfever,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,
AMR,ECU,Ecuador,yfever,0,3,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,2,3,4,31,8,1,0,1,16,14,12,0,0,0,0,1,1,5,,2,2
EMR,EGY,Egypt,yfever,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,
AMR,SLV,El Salvador,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,
AFR,GNQ,Equatorial Guinea,yfever,0,0,0,0,0,0,0,0,0,0,10,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
AFR,ERI,Eritrea,yfever,0,0,0,,,0,0,,,,,,,,0,,,,,,,0,0,0,,,,,,,,,,,,,,,
EUR,EST,Estonia,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
AFR,SWZ,Eswatini,yfever,0,,,,,0,0,0,,0,0,0,0,0,0,,,,,0,,0,0,0,,,,,,,,,,,,,,,
AFR,ETH,Ethiopia,yfever,5,0,0,,,223,0,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,
WPR,FJI,Fiji,yfever,0,,,,,,,,0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
EUR,FIN,Finland,yfever,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,
EUR,FRA,France,yfever,,0,,,,0,,0,,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,
AFR,GAB,Gabon,yfever,0,0,0,1,0,0,0,0,0,0,0,0,57,0,,,0,2,,,,,0,16,28,0,0,,,,,,,,,,,,
AFR,GMB,Gambia,yfever,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,,0,,0,,,,,,,,,,,,,,,,,
EUR,GEO,Georgia,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
EUR,DEU,Germany,yfever,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
AFR,GHA,Ghana,yfever,0,0,1,0,0,7,3,30,155,0,0,0,79,2,1,24,51,0,0,0,0,6,182,0,79,39,0,0,0,0,0,,,,,372,6,4,9
EUR,GRC,Greece,yfever,,0,0,0,,,0,0,0,0,0,,,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,
AMR,GRD,Grenada,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
AMR,GTM,Guatemala,yfever,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
AFR,GIN,Guinea,yfever,,1,4,,2,2,0,0,2,4,5,0,6,215,6,51,39,273,445,0,0,0,0,,,,,,,,,5,,,,,,,
AFR,GNB,Guinea-Bissau,yfever,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,0,0,,,,,,,,,,,,,,,,
AMR,GUY,Guyana,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
AMR,HTI,Haiti,yfever,,,,,0,,0,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
AMR,HND,Honduras,yfever,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
EUR,HUN,Hungary,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,
EUR,ISL,Iceland,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,
SEAR,IND,India,yfever,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
SEAR,IDN,Indonesia,yfever,,0,,,,,,,0,0,0,0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,
EMR,IRN,Iran (Islamic Republic of),yfever,0,,,,,,,,,,,,,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,
EMR,IRQ,Iraq,yfever,0,,,,0,0,,0,,,0,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,
EUR,IRL,Ireland,yfever,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
EUR,ISR,Israel,yfever,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
EUR,ITA,Italy,yfever,0,0,,0,,,,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
AMR,JAM,Jamaica,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,
WPR,JPN,Japan,yfever,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,
EMR,JOR,Jordan,yfever,0,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,,0,,,,,,,,,,,,,,,,,,
EUR,KAZ,Kazakhstan,yfever,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,,,,,
AFR,KEN,Kenya,yfever,0,0,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,11,7,27,27,,,,,,,,,,,,
WPR,KIR,Kiribati,yfever,0,0,,,0,0,0,,0,0,0,0,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,
