WHO_REGION,ISO_code,Cname,Disease,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998
AMR,CAN,Canada,Mumps,723,2157,309,65,40,92,54,282,799,214,748,1108,37,83,32,20,197,,88,,
AFR,CAF,Central African Republic (the),Mumps,0,,,,,0,,,,,,0,,,0,,,,,,
AFR,TCD,Chad,Mumps,,,,,,,,,,,,,,,,,,,,,
AMR,CHL,Chile,Mumps,14865,6069,1265,1346,863,821,876,950,891,825,1243,1387,1497,1587,1491,1826,,2262,2352,2253,
WPR,CHN,China,Mumps,259071,252740,175001,182833,187500,327759,479518,454385,298932,299329,310826,252701,273242,291135,226619,,,,,,
AMR,COL,Colombia,Mumps,19105,17835,10452,6573,7368,7884,9377,15926,10376,9457,5930,2294,2243,2366,1545,1505,1401,1401,,,
AFR,COM,Comoros (the),Mumps,27,64,7,0,,,,,0,109,,0,0,,,,,,,,
AFR,COG,Congo (the),Mumps,,0,0,,,,0,,0,0,0,0,0,,,0,0,0,,,
WPR,COK,Cook Islands,Mumps,0,,,,,,0,0,0,0,0,420,0,0,0,1,0,0,0,0,
AMR,CRI,Costa Rica,Mumps,127,54,75,,0,0,30,1,17,25,0,0,,46,66,282,,298,419,432,
AFR,CIV,Côte d'Ivoire,Mumps,3248,,,,,,,,,,,,,,,,,0,,,
EUR,HRV,Croatia,Mumps,24,15,33,29,,35,95,86,37,56,110,74,66,155,84,72,101,116,152,175,
AMR,CUB,Cuba,Mumps,0,0,0,0,0,,0,0,1,4,11,267,882,346,279,0,0,0,0,0,
EUR,CYP,Cyprus,Mumps,3,2,1,2,1,0,3,0,2,5,3,0,0,5,14,,0,,0,,
EUR,CZE,Czech Republic,Mumps,516,1407,5734,1616,677,1553,3902,2885,1068,357,403,1297,5172,1803,244,753,748,107,120,117,
SEAR,PRK,Democratic People's Republic of Korea (the),Mumps,0,0,0,0,0,0,11,66,0,18,67,176,176,187,2050,2710,2710,0,,,
AFR,COD,Democratic Republic of the Congo (the),Mumps,,,,,,,,,,,,,,,,,,,,,
EUR,DNK,Denmark,Mumps,17,11,15,15,41,60,15,13,32,17,24,11,13,11,8,3,12,15,34,,
EMR,DJI,Djibouti,Mumps,,,,,,,,,,,,0,,,,,,,,,
AMR,DMA,Dominica,Mumps,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,
AMR,DOM,Dominican Republic (the),Mumps,1572,1910,1833,2087,1784,498,0,0,4897,0,0,,,,0,10,,,2760,,
AMR,ECU,Ecuador,Mumps,2699,1472,1352,1491,1522,1308,799,733,1331,837,626,11,0,1037,,,,,,,
EMR,EGY,Egypt,Mumps,4545,5891,803,5143,7626,20390,,531,26,33,50,108,251,251,,639,,849,1390,,
AMR,SLV,El Salvador,Mumps,232,163,0,0,257,274,351,632,369,126,313,329,980,488,501,391,,678,1170,778,
AFR,GNQ,Equatorial Guinea,Mumps,,,0,0,0,0,,,,,,,,,,,,,,,
AFR,ERI,Eritrea,Mumps,0,1990,1458,,,0,2350,3825,2410,1585,2071,,1240,2335,1771,1652,1627,1808,2028,654,
EUR,EST,Estonia,Mumps,6,6,4,3,10,12,4,8,13,11,14,18,17,29,132,35,36,45,63,409,
AFR,SWZ,Eswatini,Mumps,0,268,1,10730,3,,0,6773,7602,,1058,3013,,0,0,0,0,,,0,
AFR,ETH,Ethiopia,Mumps,,,,,,,,,,,,,,,,,,,,2301,
WPR,FJI,Fiji,Mumps,0,,,,,,,,0,0,0,827,1020,,20,14,14,4,,,
EUR,FIN,Finland,Mumps,4,10,6,2,,1,,2,4,2,5,6,8,6,1,,7,2,,,
EUR,FRA,France,Mumps,,,,,,,,,,,,7998,7500,,13749,13000,,,17400,,
AFR,GAB,Gabon,Mumps,,,,,,,,,,,,,,,,,,934,0,,
AFR,GMB,Gambia,Mumps,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
EUR,GEO,Georgia,Mumps,31,28,46,50,55,52,50,44,101,42,76,85,71,111,132,,713,3067,2646,917,
EUR,DEU,Germany,Mumps,534,652,741,699,837,,,,,,,,,,,,,,,,
AFR,GHA,Ghana,Mumps,22069,20270,16320,0,0,0,,,3780,,,,1514,,,,,,,,
EUR,GRC,Greece,Mumps,1,7,4,4,1,0,2,1,2,21,5,23,,33,3,,156,50,32,47,
AMR,GRD,Grenada,Mumps,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,,,
AMR,GTM,Guatemala,Mumps,440,539,517,,0,0,143,0,9,1,627,2,,1807,2164,973,530,,,,
AFR,GIN,Guinea,Mumps,,0,,,,,,,0,0,0,0,0,,,,,0,,,
AFR,GNB,Guinea-Bissau,Mumps,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
AMR,GUY,Guyana,Mumps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,
AMR,HTI,Haiti,Mumps,,,,,0,,0,,,0,38,,,594,,,,,,,
AMR,HND,Honduras,Mumps,14761,115,138,108,136,158,138,143,172,187,219,233,456,408,554,599,909,719,853,950,
EUR,HUN,Hungary,Mumps,1,1,1,6,2,8,4,5,0,5,14,16,30,72,100,108,98,183,223,186,
EUR,ISL,Iceland,Mumps,3,8,8,71,0,1,0,0,2,4,0,4,29,84,0,0,,0,0,,
SEAR,IND,India,Mumps,,,,,,,,,,,,,,,,,,,,,
SEAR,IDN,Indonesia,Mumps,,,,,,,,,,,,,,,,,,,,,
EMR,IRN,Iran (Islamic Republic of),Mumps,,,,,,,,,,,,,,,,,,,10417,,
EMR,IRQ,Iraq,Mumps,17334,36367,73939,12957,1295,1809,1482,1944,1862,2265,1876,1612,1865,3243,15256,,,2780,18720,25554,
EUR,IRL,Ireland,Mumps,575,318,,2016,762,228,170,177,308,3660,1388,150,426,1012,389,39,33,40,,38,
EUR,ISR,Israel,Mumps,,353,51,47,140,51,93,301,4923,775,11,7,7,109,34,,7,5,48,25,
EUR,ITA,Italy,Mumps,47,508,,,,,322,726,530,769,896,877,1208,1536,2058,2942,5077,,37669,40428,
AMR,JAM,Jamaica,Mumps,0,3,2,0,0,0,0,4,1,0,0,0,2,3,1,4,11,9,10,,
WPR,JPN,Japan,Mumps,23684,77884,159031,81046,46340,40999,71549,137060,179635,104568,65361,,200614,,84672,84672,254711,132877,132659,,
EMR,JOR,Jordan,Mumps,6,0,168,115,0,135,194,175,162,150,193,202,636,5375,5771,2609,4397,7482,16122,11612,
EUR,KAZ,Kazakhstan,Mumps,38,39,24,25,40,38,67,51,82,131,240,266,326,930,4089,,8379,4833,3236,2877,
AFR,KEN,Kenya,Mumps,,,80960,,,,0,0,,,,,,,,0,8831,,30468,,
WPR,KIR,Kiribati,Mumps,0,0,,,0,0,0,,0,0,0,0,,0,0,,0,0,0,0,
EMR,KWT,Kuwait,Mumps,,,,32,76,45,61,62,91,,,,,87,85,,,,76,90,
EUR,KGZ,Kyrgyzstan,Mumps,273,281,318,563,,694,350,300,396,160,436,1193,1126,4752,2864,,715,231,350,1508,
WPR,LAO,Lao People's Democratic Republic (the),Mumps,0,0,0,0,0,27,,54,,,,,,,,,,,,,
EUR,LVA,Latvia,Mumps,2,4,6,21,11,15,41,10,3,1,6,4,6,37,72,,231,6834,1949,41,
EMR,LBN,Lebanon,Mumps,117,199,486,1496,2,14,12,12,28,135,229,217,68,14,54,28,184,39,23,67,
AFR,LSO,Lesotho,Mumps,0,0,0,0,0,0,0,0,0,,,,0,,,3244,,,,2972,
AFR,LBR,Liberia,Mumps,,,,0,0,0,0,0,,0,,,,0,0,,,,,,
EMR,LBY,Libya,Mumps,,,,,,,111,,,746,464,145,107,221,189,,651,515,,,
EUR,LTU,Lithuania,Mumps,19,45,53,39,45,67,62,64,87,74,82,81,74,101,279,284,226,466,4377,,
EUR,LUX,Luxembourg,Mumps,,1,0,0,,5,0,0,0,25,26,0,1,1,0,,,,0,,
AFR,MDG,Madagascar,Mumps,,,,2,,5,,12,0,,,,,,,,,,,,
AFR,MWI,Malawi,Mumps,0,0,0,0,0,0,,,,,,,,,0,,,,,,
WPR,MYS,Malaysia,Mumps,,,103,,,,,,,,,,,,,,,,,,
SEAR,MDV,Maldives,Mumps,0,6,0,0,0,17,14,69,50,71,114,341,5349,5410,44,,,,,,
AFR,MLI,Mali,Mumps,,,,,,,,,,,0,,,,,,,,,,
EUR,MLT,Malta,Mumps,0,2,2,4,3,,,0,2,1,7,10,1,9,7,4,11,7,386,98,
WPR,MHL,Marshall Islands (the),Mumps,,,,,,,3,0,1,2,,0,0,0,,6,11,0,0,0,
AFR,MRT,Mauritania,Mumps,,,0,0,,,,,,,,,,,,,,,,,
AFR,MUS,Mauritius,Mumps,,0,,13,3,14,11,0,2,1,3,2,1,,,,,,0,,
AMR,MEX,Mexico,Mumps,,,3646,3399,4143,0,5683,2685,5780,0,7475,7880,8322,8651,8425,10825,,19696,27403,,
WPR,FSM,Micronesia (Federated States of),Mumps,0,23,0,0,0,,,,684,0,,0,0,0,0,,,0,,0,
EUR,MCO,Monaco,Mumps,,,,,,,,,,,,,,,,5,,,,,
WPR,MNG,Mongolia,Mumps,,219,346,241,425,5268,9060,1016,524,1990,560,965,5073,1686,417,450,1659,2795,874,426,
EUR,MNE,Montenegro,Mumps,,5,5,,,48,104,57,13,9,15,18,23,,,,,,,,
EMR,MAR,Morocco,Mumps,,,,,,,,,,,,,,,,,,,,,
AFR,MOZ,Mozambique,Mumps,,0,,0,,,,,,,0,0,,,,,651,,,,
SEAR,MMR,Myanmar,Mumps,,,,,,,,,,,,,0,0,,,,,,,
AFR,NAM,Namibia,Mumps,,0,,0,0,,0,0,0,,0,0,0,,,0,,,,,
WPR,NRU,Nauru,Mumps,,,,,,,,0,0,0,0,0,0,0,0,,,0,0,1,
SEAR,NPL,Nepal,Mumps,29614,61228,30610,38858,34034,29134,35874,39023,29022,27880,,,,,,,,,,,
