Sample	Gene	gene_symbol	count	Status
DF_927_1_GFP	Slc26a7	Slc26a7	5.90630477940169	AT2
DF_927_1_GFP	Postn	Postn	1125.74169095396	AT2
DF_927_1_GFP	Aamp	Aamp	9170.12880049906	AT2
DF_927_1_GFP	Zfp646	Zfp646	2995.67778411254	AT2
DF_927_1_GFP	Slc39a13	Slc39a13	1556.90193985029	AT2
DF_927_1_GFP	Caap1	Caap1	877.676890219091	AT2
DF_927_1_GFP	Arl2bp	Arl2bp	2920.07708293619	AT2
DF_927_1_GFP	Abra	Abra	9.4500876470427	AT2
DF_927_1_GFP	A930016O22Rik	A930016O22Rik	4.72504382352135	AT2
DF_927_1_GFP	4930445N18Rik	4930445N18Rik	2.36252191176068	AT2
DF_927_1_GFP	Cd3g	Cd3g	8.26882669116236	AT2
DF_927_1_GFP	Cd8a	Cd8a	7.08756573528203	AT2
DF_927_1_GFP	2900009J06Rik	2900009J06Rik	11.8126095588034	AT2
DF_927_1_GFP	Sdhaf3	Sdhaf3	122.851139411555	AT2
DF_927_1_GFP	Fbln1	Fbln1	322.484240955332	AT2
DF_927_1_GFP	Il2	Il2	8.26882669116236	AT2
DF_927_1_GFP	Acsbg1	Acsbg1	4.72504382352135	AT2
DF_927_1_GFP	Nudt11	Nudt11	361.465852499383	AT2
DF_927_1_GFP	Scimp	Scimp	2.36252191176068	AT2
DF_927_1_GFP	Fam19a1	Fam19a1	7.08756573528203	AT2
DF_927_1_GFP	Aaas	Aaas	1510.83276257095	AT2
DF_927_1_GFP	Epn3	Epn3	12029.9615746854	AT2
DF_927_1_GFP	Cachd1	Cachd1	6083.49392278374	AT2
DF_927_1_GFP	Rap1a	Rap1a	3523.70143139105	AT2
DF_927_1_GFP	Nr1h5	Nr1h5	2.36252191176068	AT2
DF_927_1_GFP	Fhl2	Fhl2	34.2565677205298	AT2
DF_927_1_GFP	Gm5176	Gm5176	1.18126095588034	AT2
DF_927_1_GFP	Arpc5l	Arpc5l	2361.3406508048	AT2
DF_927_1_GFP	L3mbtl3	L3mbtl3	1302.93083433601	AT2
DF_927_1_GFP	Mkrn3	Mkrn3	125.213661323316	AT2
DF_927_1_GFP	Fabp1	Fabp1	14.1751314705641	AT2
DF_927_1_GFP	Itpr2	Itpr2	1514.37654543859	AT2
DF_927_1_GFP	Ap5z1	Ap5z1	812.707537645672	AT2
DF_927_1_GFP	B3gntl1	B3gntl1	168.920316690888	AT2
DF_927_1_GFP	Cyp2t4	Cyp2t4	48.4316991910938	AT2
DF_927_1_GFP	Serpina3n	Serpina3n	179.551665293811	AT2
DF_927_1_GFP	Dyrk3	Dyrk3	698.12522492528	AT2
DF_927_1_GFP	Npc1l1	Npc1l1	5.90630477940169	AT2
DF_927_1_GFP	1200014J11Rik	1200014J11Rik	3268.54906492089	AT2
DF_927_1_GFP	Capzb	Capzb	13280.9169269626	AT2
DF_927_1_GFP	Ltb4r2	Ltb4r2	81.5070059557433	AT2
DF_927_1_GFP	Ccdc167	Ccdc167	305.946587573007	AT2
DF_927_1_GFP	2510002D24Rik	2510002D24Rik	1071.40368698347	AT2
DF_927_1_GFP	Abcb1a	Abcb1a	163.014011911487	AT2
DF_927_1_GFP	Cenpv	Cenpv	702.850268748801	AT2
DF_927_1_GFP	1810008I18Rik	1810008I18Rik	15.3563924264444	AT2
DF_927_1_GFP	Tbc1d4	Tbc1d4	2034.13136602594	AT2
DF_927_1_GFP	Mir466i	Mir466i	8.26882669116236	AT2
DF_927_1_GFP	Npm2	Npm2	14.1751314705641	AT2
DF_927_1_GFP	Pold4	Pold4	167.739055735008	AT2
DF_927_1_GFP	2610306M01Rik	2610306M01Rik	212.626972058461	AT2
DF_927_1_GFP	Cd151	Cd151	8747.2373782939	AT2
DF_927_1_GFP	Cebpd	Cebpd	17167.2654718089	AT2
DF_927_1_GFP	Axl	Axl	426.435205072802	AT2
DF_927_1_GFP	Eri1	Eri1	1512.01402352683	AT2
DF_927_1_GFP	Bloc1s1	Bloc1s1	1939.63048955551	AT2
DF_927_1_GFP	Klhl34	Klhl34	4.72504382352135	AT2
DF_927_1_GFP	Lmo4	Lmo4	6482.76012587129	AT2
DF_927_1_GFP	Sod3	Sod3	387.453593528751	AT2
DF_927_1_GFP	2610020H08Rik	2610020H08Rik	105.13222507335	AT2
DF_927_1_GFP	Armcx4	Armcx4	468.960599484494	AT2
DF_927_1_GFP	Gm6213	Gm6213	0	AT2
DF_927_1_GFP	Parp16	Parp16	544.561300660836	AT2
DF_927_1_GFP	Cntnap1	Cntnap1	81.5070059557433	AT2
DF_927_1_GFP	Nsmce4a	Nsmce4a	3888.71106675807	AT2
DF_927_1_GFP	Akap9	Akap9	6174.45101638653	AT2
DF_927_1_GFP	Ogdh	Ogdh	26729.5729096603	AT2
DF_927_1_GFP	Angel2	Angel2	3166.96062271519	AT2
DF_927_1_GFP	9530068E07Rik	9530068E07Rik	17151.9090793825	AT2
DF_927_1_GFP	Lgr6	Lgr6	27.1690019852478	AT2
DF_927_1_GFP	Gid8	Gid8	4459.26010844827	AT2
DF_927_1_GFP	Dlk1	Dlk1	3967.85555080205	AT2
DF_927_1_GFP	Ptx3	Ptx3	77.9632230881023	AT2
DF_927_1_GFP	Cym	Cym	8.26882669116236	AT2
DF_927_1_GFP	Ctgf	Ctgf	5003.82140910911	AT2
DF_927_1_GFP	Styxl1	Styxl1	10.631348602923	AT2
DF_927_1_GFP	Lmtk2	Lmtk2	6832.41336881187	AT2
DF_927_1_GFP	Ccm2	Ccm2	1957.34940389372	AT2
DF_927_1_GFP	Cacna1c	Cacna1c	4558.48602874222	AT2
DF_927_1_GFP	Mocs1	Mocs1	8264.10164733884	AT2
DF_927_1_GFP	Sf3b6	Sf3b6	2149.89493970221	AT2
DF_927_1_GFP	Ccpg1os	Ccpg1os	189.001752940854	AT2
DF_927_1_GFP	Parvg	Parvg	85.0507888233843	AT2
DF_927_1_GFP	Ccdc65	Ccdc65	16.5376533823247	AT2
DF_927_1_GFP	Ppil1	Ppil1	1286.39318095369	AT2
DF_927_1_GFP	Fam117b	Fam117b	5352.29339109381	AT2
DF_927_1_GFP	AA415398	AA415398	109.857268896871	AT2
DF_927_1_GFP	A2m	A2m	212.626972058461	AT2
DF_927_1_GFP	Atp11a	Atp11a	58131.0328998273	AT2
DF_927_1_GFP	Gm4980	Gm4980	3.54378286764101	AT2
DF_927_1_GFP	Elf1	Elf1	5859.05434116647	AT2
DF_927_1_GFP	Gbgt1	Gbgt1	7.08756573528203	AT2
DF_927_1_GFP	Eps8l1	Eps8l1	2259.75220859909	AT2
DF_927_1_GFP	Fam188b	Fam188b	250.427322646632	AT2
DF_927_1_GFP	Brf2	Brf2	390.997376396392	AT2
DF_927_1_GFP	Kif20b	Kif20b	216.170754926102	AT2
DF_927_1_GFP	Med13l	Med13l	3749.32227396419	AT2
DF_927_1_GFP	Lcat	Lcat	15.3563924264444	AT2
DF_927_1_GFP	5430427O19Rik	5430427O19Rik	5.90630477940169	AT2
DF_927_1_GFP	Ercc6l2	Ercc6l2	1982.15588396721	AT2
DF_927_1_GFP	Gltscr1	Gltscr1	1217.88004551263	AT2
DF_927_1_GFP	Actr2	Actr2	8659.82406755875	AT2
DF_927_1_GFP	BC021785	BC021785	11.8126095588034	AT2
DF_927_1_GFP	Gm10649	Gm10649	1.18126095588034	AT2
DF_927_1_GFP	Ccdc59	Ccdc59	1245.04904749788	AT2
DF_927_1_GFP	Pcca	Pcca	2356.61560698127	AT2
DF_927_1_GFP	Sbk3	Sbk3	12.9938705146837	AT2
DF_927_1_GFP	Magi2	Magi2	897.758326469057	AT2
DF_927_1_GFP	Apoo	Apoo	63.7880916175382	AT2
DF_927_1_GFP	Fam53c	Fam53c	2597.59284198086	AT2
DF_927_1_GFP	Chd5	Chd5	46.0691772793332	AT2
DF_927_1_GFP	Comp	Comp	8.26882669116236	AT2
DF_927_1_GFP	Celsr2	Celsr2	1690.38442786476	AT2
DF_927_1_GFP	Ccdc88c	Ccdc88c	5176.28550866764	AT2
DF_927_1_GFP	Oasl2	Oasl2	152.382663308564	AT2
DF_927_1_GFP	C87436	C87436	1149.36691007157	AT2
DF_927_1_GFP	Osbpl3	Osbpl3	1728.18477845293	AT2
DF_927_1_GFP	C8a	C8a	5.90630477940169	AT2
DF_927_1_GFP	Rpgrip1	Rpgrip1	164.195272867367	AT2
DF_927_1_GFP	Sez6l2	Sez6l2	40.1628724999315	AT2
DF_927_1_GFP	Prps1l3	Prps1l3	2455.84152727522	AT2
DF_927_1_GFP	9330175E14Rik	9330175E14Rik	7.08756573528203	AT2
DF_927_1_GFP	Mrpl40	Mrpl40	1185.98599970386	AT2
DF_927_1_GFP	Ube2m	Ube2m	5794.08498859306	AT2
DF_927_1_GFP	4930539J05Rik	4930539J05Rik	279.95884654364	AT2
DF_927_1_GFP	BC003331	BC003331	1252.13661323316	AT2
DF_927_1_GFP	Cep192	Cep192	689.856398234117	AT2
DF_927_1_GFP	Hecw1	Hecw1	12.9938705146837	AT2
DF_927_1_GFP	2610305D13Rik	2610305D13Rik	9.4500876470427	AT2
DF_927_1_GFP	Phkg1	Phkg1	16.5376533823247	AT2
DF_927_1_GFP	Coq6	Coq6	1067.85990411583	AT2
DF_927_1_GFP	Dclre1c	Dclre1c	251.608583602512	AT2
DF_927_1_GFP	Pja1	Pja1	3299.26184977378	AT2
DF_927_1_GFP	Gm10033	Gm10033	174.82662147029	AT2
DF_927_1_GFP	Ctla4	Ctla4	4.72504382352135	AT2
DF_927_1_GFP	Krcc1	Krcc1	2400.32226234885	AT2
DF_927_1_GFP	Cenpc1	Cenpc1	652.056047645946	AT2
DF_927_1_GFP	1110032F04Rik	1110032F04Rik	5.90630477940169	AT2
DF_927_1_GFP	Fam118a	Fam118a	407.535029778716	AT2
DF_927_1_GFP	Dand5	Dand5	313.034153308289	AT2
DF_927_1_GFP	Clcn6	Clcn6	1011.15937823357	AT2
DF_927_1_GFP	Lhb	Lhb	15.3563924264444	AT2
DF_927_1_GFP	Dnah6	Dnah6	94.500876470427	AT2
DF_927_1_GFP	Pgm2	Pgm2	20402.7392299652	AT2
DF_927_1_GFP	1700019B03Rik	1700019B03Rik	12.9938705146837	AT2
DF_927_1_GFP	Psmd4	Psmd4	6139.01318771011	AT2
DF_927_1_GFP	Lipg	Lipg	347.290721028819	AT2
DF_927_1_GFP	AI467606	AI467606	995.802985807125	AT2
DF_927_1_GFP	Gm9961	Gm9961	3.54378286764101	AT2
DF_927_1_GFP	3830406C13Rik	3830406C13Rik	941.464981836629	AT2
DF_927_1_GFP	Dusp28	Dusp28	881.220673086732	AT2
DF_927_1_GFP	Gm13051	Gm13051	3.54378286764101	AT2
DF_927_1_GFP	Aste1	Aste1	533.929952057913	AT2
DF_927_1_GFP	A730046J19Rik	A730046J19Rik	10.631348602923	AT2
DF_927_1_GFP	2310039L15Rik	2310039L15Rik	2.36252191176068	AT2
DF_927_1_GFP	Cited4	Cited4	248.064800734871	AT2
DF_927_1_GFP	1110002L01Rik	1110002L01Rik	107.494746985111	AT2
DF_927_1_GFP	Arl4d	Arl4d	804.43871095451	AT2
DF_927_1_GFP	Mapk10	Mapk10	8.26882669116236	AT2
DF_927_1_GFP	Cldn10	Cldn10	705.212790660562	AT2
DF_927_1_GFP	Ptprf	Ptprf	174234.809731394	AT2
DF_927_1_GFP	Pak4	Pak4	4806.55082947709	AT2
DF_927_1_GFP	Vil1	Vil1	9.4500876470427	AT2
DF_927_1_GFP	1700017B05Rik	1700017B05Rik	2262.11473051085	AT2
DF_927_1_GFP	2410131K14Rik	2410131K14Rik	622.524523748938	AT2
DF_927_1_GFP	Ankrd22	Ankrd22	23.6252191176068	AT2
DF_927_1_GFP	Mdfic	Mdfic	8260.5578644712	AT2
DF_927_1_GFP	1110032A03Rik	1110032A03Rik	970.996505733638	AT2
DF_927_1_GFP	Dnaic2	Dnaic2	25.9877410293674	AT2
DF_927_1_GFP	Abcg5	Abcg5	134.663748970358	AT2
DF_927_1_GFP	Itga2b	Itga2b	399.266203087554	AT2
DF_927_1_GFP	Cfdp1	Cfdp1	2464.11035396638	AT2
DF_927_1_GFP	Batf3	Batf3	21.2626972058461	AT2
DF_927_1_GFP	Bace2	Bace2	47.2504382352135	AT2
DF_927_1_GFP	Sgol2a	Sgol2a	189.001752940854	AT2
DF_927_1_GFP	Nxt1	Nxt1	919.021023674903	AT2
DF_927_1_GFP	Pifo	Pifo	14.1751314705641	AT2
DF_927_1_GFP	Lonrf1	Lonrf1	544.561300660836	AT2
DF_927_1_GFP	C920006O11Rik	C920006O11Rik	206.720667279059	AT2
DF_927_1_GFP	1700007J10Rik	1700007J10Rik	14.1751314705641	AT2
DF_927_1_GFP	Hnrnph2	Hnrnph2	4246.63313638981	AT2
DF_927_1_GFP	Orc5	Orc5	1228.51139411555	AT2
DF_927_1_GFP	Abhd1	Abhd1	20.0814362499657	AT2
DF_927_1_GFP	Dcdc2b	Dcdc2b	633.155872351861	AT2
DF_927_1_GFP	4933433G19Rik	4933433G19Rik	17.7189143382051	AT2
DF_927_1_GFP	Tmem9b	Tmem9b	4213.55782962516	AT2
DF_927_1_GFP	Fam78b	Fam78b	17.7189143382051	AT2
DF_927_1_GFP	Adgre5	Adgre5	3503.61999514108	AT2
DF_927_1_GFP	Gpatch4	Gpatch4	707.575312572322	AT2
DF_927_1_GFP	4930506C21Rik	4930506C21Rik	20.0814362499657	AT2
DF_927_1_GFP	Ephb3	Ephb3	3422.11298918534	AT2
DF_927_1_GFP	Orm2	Orm2	35.4378286764101	AT2
DF_927_1_GFP	Gapdhs	Gapdhs	303.584065661247	AT2
DF_927_1_GFP	1110012L19Rik	1110012L19Rik	620.162001837177	AT2
DF_927_1_GFP	Foxf1	Foxf1	1663.21542587952	AT2
DF_927_1_GFP	Pogz	Pogz	3061.82839764184	AT2
DF_927_1_GFP	Phax	Phax	1475.39493389454	AT2
DF_927_1_GFP	5730507C01Rik	5730507C01Rik	4.72504382352135	AT2
DF_927_1_GFP	Snora33	Snora33	7.08756573528203	AT2
DF_927_1_GFP	Klk10	Klk10	8.26882669116236	AT2
DF_927_1_GFP	Supt20	Supt20	1703.37829837945	AT2
DF_927_1_GFP	Ccdc171	Ccdc171	92.1383545586663	AT2
DF_927_1_GFP	Zbtb42	Zbtb42	3622.927351685	AT2
DF_927_1_GFP	Ccdc73	Ccdc73	68.5131354410596	AT2
DF_927_1_GFP	Nudcd2	Nudcd2	1184.80473874798	AT2
DF_927_1_GFP	1110051M20Rik	1110051M20Rik	519.754820587349	AT2
DF_927_1_GFP	H2-M5	H2-M5	2.36252191176068	AT2
DF_927_1_GFP	Mamdc4	Mamdc4	139.38879279388	AT2
DF_927_1_GFP	Hnrnpu	Hnrnpu	23163.3460838575	AT2
DF_927_1_GFP	Mrm1	Mrm1	291.771456102443	AT2
