##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	927-1-GFP-TdT_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	106851634
Sequences flagged as poor quality	0
Sequence length	150
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.194502219778876	37.0	37.0	37.0	37.0	37.0
2	36.05303771957292	37.0	37.0	37.0	37.0	37.0
3	36.203955065394695	37.0	37.0	37.0	37.0	37.0
4	36.17507681726234	37.0	37.0	37.0	37.0	37.0
5	36.22246242860451	37.0	37.0	37.0	37.0	37.0
6	36.188397324836416	37.0	37.0	37.0	37.0	37.0
7	36.14558109612063	37.0	37.0	37.0	37.0	37.0
8	36.20976917395573	37.0	37.0	37.0	37.0	37.0
9	36.200435540368055	37.0	37.0	37.0	37.0	37.0
10-14	36.174001045225005	37.0	37.0	37.0	37.0	37.0
15-19	36.17454622172647	37.0	37.0	37.0	37.0	37.0
20-24	36.15294043140229	37.0	37.0	37.0	37.0	37.0
25-29	36.11201347842748	37.0	37.0	37.0	37.0	37.0
30-34	36.061032790570145	37.0	37.0	37.0	37.0	37.0
35-39	36.0328251863701	37.0	37.0	37.0	37.0	37.0
40-44	36.015087426739775	37.0	37.0	37.0	37.0	37.0
45-49	35.98845404273369	37.0	37.0	37.0	37.0	37.0
50-54	35.956518999044974	37.0	37.0	37.0	37.0	37.0
55-59	35.93944694565925	37.0	37.0	37.0	37.0	37.0
60-64	35.92032666528993	37.0	37.0	37.0	37.0	37.0
65-69	35.88761469946262	37.0	37.0	37.0	37.0	37.0
70-74	35.85072437544568	37.0	37.0	37.0	37.0	37.0
75-79	35.81120234436471	37.0	37.0	37.0	37.0	37.0
80-84	35.787915694391714	37.0	37.0	37.0	37.0	37.0
85-89	35.79291509383937	37.0	37.0	37.0	37.0	37.0
90-94	35.76065965823228	37.0	37.0	37.0	37.0	37.0
95-99	35.719499329322375	37.0	37.0	37.0	37.0	37.0
100-104	35.63876730607601	37.0	37.0	37.0	37.0	37.0
105-109	35.59633367890284	37.0	37.0	37.0	37.0	37.0
110-114	35.510845035837264	37.0	37.0	37.0	37.0	37.0
115-119	35.399494336230745	37.0	37.0	37.0	37.0	37.0
120-124	35.24443624699272	37.0	37.0	37.0	34.6	37.0
125-129	35.04707490949553	37.0	37.0	37.0	27.4	37.0
130-134	34.76951941979661	37.0	37.0	37.0	25.0	37.0
135-139	34.514438422158335	37.0	37.0	37.0	25.0	37.0
140-144	34.13018646771466	37.0	37.0	37.0	25.0	37.0
145-149	33.667187556532824	37.0	37.0	37.0	25.0	37.0
150	33.489727784602714	37.0	37.0	37.0	11.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.10112245503662365
1101	2	-0.014512114516620045
1101	3	-0.05302278582080788
1101	4	0.0113639122360496
1101	5	-0.11043098688330844
1101	6	-0.07350830443104428
1101	7	-0.006843524416716207
1101	8	-0.011683555320395556
1101	9	0.004348767515963914
1101	10-14	0.009749531409184442
1101	15-19	0.001620651777741955
1101	20-24	0.001334093416453186
1101	25-29	-0.016609306755718478
1101	30-34	-0.018435883790360208
1101	35-39	0.006262647926988052
1101	40-44	-0.010249853572432244
1101	45-49	0.010629089261044555
1101	50-54	-0.026044487909494762
1101	55-59	-0.01508153548354585
1101	60-64	-0.021567015754882846
1101	65-69	-0.006024849054306003
1101	70-74	-0.005865007733625305
1101	75-79	0.05976056266069918
1101	80-84	0.010906354979049127
1101	85-89	-0.011974311754016753
1101	90-94	-0.003561040287578976
1101	95-99	0.002513608792156674
1101	100-104	0.0018623220842570731
1101	105-109	0.04880702756012312
1101	110-114	0.032713078243752136
1101	115-119	0.028982302428474327
1101	120-124	-0.04427005531602646
1101	125-129	-0.024122289448108347
1101	130-134	-0.10222921455890344
1101	135-139	-0.09178244081920184
1101	140-144	-0.0884375914515445
1101	145-149	-0.15914049465261826
1101	150	-0.17039570923765268
1102	1	-0.09248539211369433
1102	2	-0.05079739885691481
1102	3	-0.027558498887543692
1102	4	-0.05447359389064843
1102	5	-0.04055498088554543
1102	6	-0.03992663298188859
1102	7	0.006919330553152747
1102	8	-0.026011527191357686
1102	9	-0.04353476741531637
1102	10-14	-0.012596172211750911
1102	15-19	-0.0021721368123266416
1102	20-24	-0.011339536367010794
1102	25-29	-0.033221095318623384
1102	30-34	-0.018831882515563336
1102	35-39	-0.014417147035324263
1102	40-44	-0.024460849064155354
1102	45-49	0.02111853112457851
1102	50-54	-0.023733393124921065
1102	55-59	-0.009458589325973321
1102	60-64	-0.021276953204520055
1102	65-69	0.0018119055227003855
1102	70-74	-0.03752563562942868
1102	75-79	0.016990603869658116
1102	80-84	-0.015246428613089336
1102	85-89	0.006743218093077985
1102	90-94	-0.030061318887028676
1102	95-99	-0.015360869032562618
1102	100-104	0.0036582523188073424
1102	105-109	0.0061440876697602675
1102	110-114	-0.016132370111812122
1102	115-119	-0.007085259543472944
1102	120-124	-0.12121964864001455
1102	125-129	-0.09240405813864072
1102	130-134	-0.14093191226179158
1102	135-139	-0.13727229987708967
1102	140-144	-0.15700566164480279
1102	145-149	-0.23050238589451766
1102	150	-0.26918353918335214
1103	1	-0.047269454905752184
1103	2	-0.015219083648155163
1103	3	-0.04281757221297511
1103	4	0.004639209324388105
1103	5	-0.013501807922132514
1103	6	-0.010271149001574997
1103	7	-0.01886768874590672
1103	8	-0.052326946025871734
1103	9	0.032749319845201796
1103	10-14	0.006277466655163266
1103	15-19	0.00837271030749065
1103	20-24	0.004915367770308876
