State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Marine Mammals	Nonhuman_Primates	Other_Farm_Animals	Pig	Rabbits	Sheep	Total
AK	0	0	0	0	0	0	0	0	0	0	0	0
AL	38	0	0	0	0	0	76	30	0	18	0	162
AR	0	0	0	0	0	0	0	0	0	0	0	0
AZ	6	0	0	0	0	0	0	0	28	0	0	34
CA	701	0	26	1,757	84	0	59	0	0	305	0	2,932
CO	101	0	22	1,238	388	0	12	0	0	2	10	1,773
CT	0	0	20	200	0	0	34	0	0	0	0	254
DC	15	0	0	282	0	0	0	0	0	0	0	297
DE	25	0	6	506	590	0	0	0	0	131	0	1,258
FL	3	0	0	0	154	0	2	0	0	254	0	413
GA	206	10	0	287	2,307	0	10	29	12	1,792	0	4,653
HI	0	0	0	0	0	0	0	0	0	0	0	0
IA	0	85	98	101	12,882	0	0	0	0	0	0	13,166
ID	0	0	0	0	0	0	0	0	0	15	0	15
IL	1	0	1	179	8	0	0	0	152	176	0	517
IN	100	0	0	168	0	0	0	0	0	0	0	268
KS	0	0	0	0	256	0	16	0	0	4	0	276
KY	0	0	0	0	0	0	0	0	0	0	0	0
LA	94	0	0	0	0	0	23	0	0	0	0	117
MA	253	0	13	439	369	0	13	4	108	317	0	1,516
MD	161	0	8	7,762	1,009	0	570	0	153	536	0	10,199
ME	18	0	0	0	0	0	0	0	0	0	0	18
MI	0	0	0	7,725	0	0	82	0	0	63	47	7,917
MN	415	0	26	89	0	0	0	0	0	3	0	533
MO	103	1	0	0	2,262	0	0	0	0	30	0	2,396
MS	0	0	0	0	0	0	0	0	0	0	0	0
MT	0	0	0	0	0	0	0	0	0	0	0	0
NC	0	0	0	364	0	0	14	0	5	28	0	411
ND	0	0	0	0	0	0	0	0	0	0	0	0
NE	195	1	1	28	613	0	0	0	0	0	0	838
NH	0	0	0	0	0	0	0	0	0	0	0	0
NJ	278	1	228	1,830	799	0	133	0	1	599	0	3,869
NM	94	0	0	19	0	0	155	0	0	128	0	396
NV	0	0	0	0	0	0	0	0	0	0	0	0
NY	204	65	191	2,299	5,071	0	13	75	0	17	0	7,935
OH	134	0	16	1,413	187	0	425	0	0	329	0	2,504
OK	4	0	0	0	0	0	0	0	0	0	0	4
OR	0	0	0	0	0	0	0	0	0	0	0	0
PA	374	7	117	560	0	0	58	0	0	418	0	1,534
PR	0	0	0	0	0	0	0	0	0	0	0	0
RI	0	0	0	0	0	0	0	0	0	0	0	0
SC	11	0	0	0	25	0	0	0	0	0	0	36
SD	0	0	0	0	0	0	0	0	119	0	0	119
TN	348	0	0	0	0	0	0	0	27	2	0	377
TX	51	10	7	1,635	567	0	0	92	0	396	0	2,758
UT	0	0	0	1,532	4,572	0	0	0	0	0	0	6,104
VA	0	0	0	0	360	0	16	0	0	0	0	376
VT	0	0	0	264	0	0	0	0	0	0	0	264
WA	15	0	0	98	0	0	0	0	0	0	0	113
WI	39	0	2	0	0	0	0	2	0	2	0	45
WV	0	0	0	0	0	0	0	0	0	44	0	44
WY	0	0	0	0	0	0	0	0	0	0	0	0
REPORT TOTAL	3,987	180	782	30,775	32,503	0	1,711	232	605	5,609	57	76,441
