State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Total
AK	191	0	0	0	0	0	0	0	0	191
AL	212	0	90	8	0	130	361	181	0	982
AR	22	0	0	0	8	0	1,515	91	0	1,636
AZ	330	78	186	2	124	11	279	104	149	1,263
CA	4,069	371	926	1,779	823	1,507	6,087	9,683	887	26,132
CO	864	24	299	963	69	0	931	365	482	3,997
CT	345	0	32	24	42	71	224	85	0	823
DC	3,823	4	6	0	5	35	224	144	2	4,243
DE	8	0	0	44	0	0	0	443	0	495
FL	1,438	318	494	59	0	91	912	135	85	3,532
GA	1,274	231	324	369	1,888	2,068	329	416	48	6,947
HI	0	75	74	11	0	0	0	0	0	160
IA	275	196	171	217	81	0	1,272	677	84	2,973
ID	491	11	11	0	0	0	0	0	0	513
IL	680	243	599	127	545	272	819	1,153	155	4,593
IN	405	34	387	231	334	0	310	2,225	140	4,066
KS	344	23	112	738	4	27	467	14	20	1,749
KY	218	112	155	19	114	0	276	151	6	1,051
LA	253	101	362	16	0	1,209	99	142	0	2,182
MA	1,495	233	1,295	3,921	814	2,892	2,568	6,624	192	20,034
MD	2,611	43	207	3,706	1,421	4,101	1,223	1,997	37	15,346
ME	10	0	0	0	0	0	25	0	0	35
MI	405	40	2,383	283	0	2,718	989	2,155	321	9,294
MN	283	140	1,098	333	128	168	3,846	2,265	824	9,085
MO	223	84	428	476	269	127	1,569	372	71	3,619
MS	87	2	11	85	4	97	306	119	4	715
MT	408	0	0	0	0	10	0	0	3	421
NC	5,586	653	1,130	101	527	927	2,132	1,900	221	13,177
ND	20	50	33	0	0	0	120	0	48	271
NE	292	52	62	10	340	98	190	57	56	1,157
NH	609	0	0	0	0	0	58	12	0	679
NJ	689	66	763	4,688	2,492	661	328	6,425	49	16,161
NM	0	0	92	27	112	23	137	86	0	477
NV	123	62	485	0	145	0	99	10	4	928
NY	2,567	299	534	1,325	1,153	657	1,043	1,734	186	9,498
OH	3,326	867	1,189	1,095	1,313	113	1,715	2,386	258	12,262
OK	393	70	87	24	0	70	38	106	53	841
OR	105	7	27	348	20	1,292	278	77	186	2,340
PA	1,014	433	1,135	700	1,531	1,122	1,000	5,508	343	12,786
PR	0	17	23	0	0	60	5	36	0	141
RI	41	2	2	0	430	31	129	198	0	833
SC	0	159	217	6	0	298	201	41	12	934
SD	36	0	4	0	0	2	3	4	7	56
TN	619	61	238	88	285	90	885	234	12	2,512
TX	4,281	166	477	180	534	952	2,278	2,320	416	11,604
UT	214	21	87	36	55	45	114	565	211	1,348
VA	145	54	172	379	0	58	1,477	230	12	2,527
VT	7	18	22	0	0	0	26	8	3,001	3,082
WA	16,761	58	154	23	213	909	315	40	2	18,475
WI	941	266	1,021	1,624	57	3,195	549	2,476	49	10,178
WV	4,274	60	105	0	0	0	0	16	97	4,552
WY	30	30	43	0	0	0	0	0	3	106
REPORT TOTAL	62,837	5,834	17,752	24,065	15,880	26,137	37,751	54,010	8,736	253,002




