State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Other_Farm_Animals	Total
AK	60	0	0	0	0	0	0	0	0	0	60
AL	2,054	56	812	29	0	193	54	521	216	427	4,362
AR	2	173	614	17	47	82	0	992	0	2	1,929
AZ	3,093	652	1,997	87	27	3	45	177	36	209	6,326
CA	17,614	1,207	1,998	2,317	1,180	538	512	14,308	371	8,096	48,141
CO	891	208	517	1,444	538	1	33	295	2	33	3,962
CT	812	0	308	89	159	209	0	41	0	0	1,618
DC	160	30	2	215	334	128	0	0	0	0	869
DE	1,118	71	77	10	0	0	0	5,854	31	438	7,599
FL	2,462	67	396	11	67	1,358	0	20	0	150	4,531
GA	1,507	313	1,362	315	5,964	147	186	1,135	0	48	10,977
HI	5	26	77	0	0	0	47	0	0	0	155
IA	438	179	308	701	9,558	6	592	34	273	209	12,298
ID	69	0	8	0	0	0	2	17	15	56	167
IL	2,483	826	1,740	1,702	0	259	829	993	211	408	9,451
IN	4,773	258	798	52	12	314	42	283	109	79	6,720
KS	1,052	687	1,200	85	45	127	42	148	16	164	3,566
KY	210	57	97	0	0	0	77	3	0	81	525
LA	0	27	82	2	0	1,121	0	24	0	100	1,356
MA	3,761	2	1,354	16,462	4,019	4,695	1,203	6,740	47	619	38,902
MD	3,258	4	199	1,771	1,255	4,823	84	1,381	65	10	12,850
ME	512	63	33	0	0	0	0	111	3	393	1,115
MI	1,294	156	2,672	6,436	268	2,187	380	4,069	176	431	18,069
MN	1,243	1,669	1,858	26,194	201	12	226	3,564	259	1,157	36,383
MO	1,283	1,394	1,469	6,929	222	35	976	1,022	8	166	13,504
MS	16	9	15	100	0	16	1	37	0	9	203
MT	51	0	0	0	262	0	0	1	0	0	314
NC	3,374	483	824	7,205	82	14	496	1,772	71	303	14,624
ND	75	71	16	2	2	0	0	64	72	200	502
NE	1,932	0	11	0	0	43	27	14	0	0	2,027
NH	40	0	5	0	126	0	0	0	0	95	266
NJ	1,479	259	3,310	6,682	27,742	2,002	188	2,873	0	0	44,535
NM	132	127	507	93	1	78	40	27	0	19	1,024
NV	1,886	28	49	0	0	0	4	15	5	215	2,202
NY	3,736	250	909	1,027	649	209	3	476	206	482	7,947
OH	718	1,404	3,830	30,400	234	1,872	149	8,901	5	25	47,538
OK	1,614	611	417	1,629	12	0	152	28	3	408	4,874
OR	3,681	27	23	0	2	140	4	0	87	294	4,258
PA	3,197	908	1,377	920	263	490	145	7,910	215	664	16,089
PR	0	0	0	0	0	0	0	0	0	0	0
RI	74	28	45	0	36	7	7	283	0	52	532
SC	1,820	54	62	204	6	22	0	85	0	27	2,280
SD	491	12	14	5	2	0	0	4	0	40	568
TN	1,415	53	145	0	0	0	0	37	2	5	1,657
TX	7,644	438	1,259	1,658	752	2,216	573	4,804	140	1,429	20,913
UT	1,485	346	503	3	236	0	84	366	65	83	3,171
VA	960	3	39	278	226	0	375	119	4	92	2,096
VT	536	0	0	123	0	0	0	4	81	87	831
WA	17,398	70	272	2,757	32	2,275	15	1,219	18	212	24,268
WI	2,426	223	3,817	2,023	1,239	5,196	297	15,512	68	224	31,025
WV	0	37	24	5	6	0	0	4	0	0	76
WY	58	0	1	4	4	0	4	0	163	153	387
REPORT TOTAL	106,392	13,566	37,452	119,986	55,810	30,818	7,894	86,287	3,043	18,394	479,642
