State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Other_Farm_Animals	Total
AK	163	0	0	0	0	0	0	0	0	0	163
AL	288	290	626	4	0	88	384	745	45	40	2,510
AR	8	8	35	127	0	75	560	283	0	304	1,400
AZ	173	33	128	115	0	32	410	154	65	7	1,117
CA	7,039	467	1,252	5,261	3,088	3,373	4,112	11,295	1,366	669	37,922
CO	662	176	312	757	111	0	799	573	514	59	3,963
CT	535	0	176	116	4	110	335	65	23	1	1,365
DC	1,098	18	2	101	255	80	405	364	0	0	2,323
DE	0	0	42	144	0	0	47	1,271	2	28	1,534
FL	748	390	353	232	270	470	1,531	298	182	6	4,480
GA	1,010	193	370	261	3,442	2,112	916	538	111	99	9,052
HI	0	0	0	0	0	0	80	0	0	0	80
IA	197	442	931	572	892	8	870	2,319	87	116	6,434
ID	76	62	112	0	0	0	0	6	0	21	277
IL	829	514	1,616	543	2,428	592	717	1,780	37	65	9,121
IN	478	101	465	299	418	86	609	629	133	44	3,262
KS	234	38	402	738	0	101	206	154	0	51	1,924
KY	133	87	245	23	278	90	265	100	20	57	1,298
LA	673	175	485	12	129	1,906	137	170	31	27	3,745
MA	2,268	92	381	5,475	1,770	1,603	2,963	6,775	281	55	21,663
MD	3,367	26	478	4,680	2,090	3,831	1,773	1,357	478	286	18,366
ME	18	0	0	0	0	0	16	0	0	0	34
MI	695	175	677	973	595	657	522	1,385	350	18	6,047
MN	334	1,297	2,472	1,432	347	148	3,247	3,928	589	247	14,041
MO	236	271	710	2,563	3,239	126	808	3,828	33	61	11,875
MS	50	28	121	282	30	49	157	762	23	40	1,542
MT	63	0	0	66	168	4	0	35	3	0	339
NC	641	803	1,350	575	16	1,717	1,675	926	133	4,836	12,672
ND	0	57	55	0	0	0	23	288	0	0	423
NE	208	65	101	35	702	50	155	146	0	104	1,566
NH	103	0	1	0	666	6	158	40	0	0	974
NJ	271	34	1,517	6,463	3,267	1,399	759	3,811	60	1	17,582
NM	101	0	326	220	0	681	0	439	0	0	1,767
NV	90	11	379	19	0	0	115	0	96	378	1,088
NY	1,807	577	1,747	1,013	3,626	687	1,410	6,389	248	105	17,609
OH	3,899	809	1,352	1,350	1,495	293	3,414	3,452	114	102	16,280
OK	243	20	388	115	0	132	230	184	0	162	1,474
OR	509	63	210	865	127	1,640	322	419	255	146	4,556
PA	1,921	407	1,289	3,184	1,264	1,125	1,792	8,884	426	171	20,463
PR	61	0	0	0	162	209	33	0	0	0	465
RI	399	0	0	36	85	30	120	266	52	14	1,002
SC	232	248	246	6	0	0	409	222	6	0	1,369
SD	91	0	0	0	0	0	13	0	26	150	280
TN	1,521	109	382	406	566	265	1,306	455	8	64	5,082
TX	2,351	128	362	9,879	629	2,322	3,742	8,249	522	2,522	30,706
UT	147	55	259	0	39	8	161	1,006	548	42	2,265
VA	203	65	134	260	96	100	3,396	387	4	657	5,302
VT	3	9	8	0	0	0	30	0	1,381	0	1,431
WA	827	59	802	715	94	719	2,808	371	9	210	6,614
WI	1,413	266	1,328	919	901	1,785	799	1,865	181	135	9,592
WV	0	34	25	0	15	0	5	74	83	0	236
WY	61	16	51	0	0	0	0	0	23	13	164
REPORT TOTAL	38,477	8,718	24,703	50,836	33,304	28,709	44,744	76,687	8,548	12,113	326,839
