State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Total
AK	0	0	0	0	0	0	0	0	0	0
AL	114	0	0	0	0	0	0	0	0	114
AR	0	0	0	0	0	0	0	0	0	0
AZ	0	0	0	0	0	0	0	0	0	0
CA	190	0	0	230	96	0	2	878	0	1,396
CO	94	5	50	253	3	0	0	16	33	454
CT	0	0	0	0	169	1	0	0	0	170
DC	523	0	0	0	0	0	10	0	0	533
DE	0	0	0	0	0	0	0	0	0	0
FL	50	0	0	70	0	0	0	2	0	122
GA	171	3	5	4	1,874	0	4	5	0	2,066
HI	0	0	0	0	0	0	0	0	0	0
IA	0	0	0	50	826	0	47	0	34	957
ID	200	0	0	0	0	0	0	0	0	200
IL	262	0	23	0	0	5	29	100	0	419
IN	14	4	39	32	7,563	0	0	293	0	7,945
KS	760	0	0	0	0	0	0	0	0	760
KY	29	0	0	12	0	0	35	0	0	76
LA	11	0	0	0	0	0	0	0	0	11
MA	26	0	0	2,996	213	30	80	105	0	3,450
MD	247	0	0	1,740	614	380	210	469	11	3,671
ME	0	0	0	0	0	0	0	0	0	0
MI	0	12	0	12,142	0	4	31	43	52	12,284
MN	0	0	0	0	4	1	8	6	0	19
MO	30	0	0	1,375	2,765	14	148	248	0	4,580
MS	0	0	0	0	0	0	3	0	0	3
MT	0	0	0	0	0	0	0	0	0	0
NC	62	0	0	787	0	0	4	0	0	853
ND	0	0	0	0	0	0	0	0	0	0
NE	0	0	0	0	0	0	0	0	4	4
NH	0	0	0	0	0	0	0	0	0	0
NJ	70	0	101	3,593	5,248	11	0	488	0	9,511
NM	0	0	19	84	0	52	0	0	0	155
NV	0	0	0	0	0	0	0	0	0	0
NY	349	0	42	1,189	66	3	0	18	0	1,667
OH	90	0	0	393	0	59	7	56	0	605
OK	186	0	0	0	0	0	8	391	0	585
OR	137	0	0	0	0	0	0	0	0	137
PA	72	4	0	178	0	28	711	68	0	1,061
PR	0	0	0	0	0	0	0	0	0	0
RI	0	0	0	0	0	0	0	0	0	0
SC	0	0	0	0	0	0	0	8	0	8
SD	0	0	50	26	0	0	0	0	0	76
TN	239	0	0	0	168	0	28	0	0	435
TX	300	0	0	474	105	214	21	27	8	1,149
UT	0	0	0	32	101	0	0	0	0	133
VA	0	0	3	16	0	0	87	0	0	106
VT	0	0	0	0	0	0	0	0	0	0
WA	19	0	0	0	0	0	0	0	0	19
WI	127	0	0	0	0	0	0	0	0	127
WV	158	0	0	0	0	0	0	12	0	170
WY	0	0	0	0	0	0	0	0	0	0
REPORT TOTAL	4,530	28	332	25,676	19,815	802	1,473	3,233	142	56,031
