State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Other_Farm_Animals	Total
AK	103	0	0	0	42	0	0	0	0	0	145
AL	870	23	618	108	24	141	302	152	13	446	2,697
AR	3	118	356	38	1	74	33	860	0	1	1,484
AZ	3,543	39	65	31	14	4	0	78	2	29	3,805
CA	16,990	596	1,326	8,292	1,186	392	450	20,124	309	11,361	61,026
CO	792	125	502	1,355	541	0	1	103	2	138	3,559
CT	365	0	94	109	644	181	2	586	0	0	1,981
DC	1,058	4	0	24	370	136	0	0	0	0	1,592
DE	28	0	0	0	0	0	0	7,780	26	387	8,221
FL	1,382	247	815	41	117	278	4	45	1	220	3,150
GA	4,387	389	2,312	437	5,155	620	0	1,231	2	476	15,009
HI	6	13	42	0	0	0	0	8	0	0	69
IA	4,003	154	284	952	9,748	13	664	364	524	661	17,367
ID	83	5	8	36	0	0	2	43	0	83	260
IL	4,796	719	2,040	619	4	95	474	934	459	352	10,492
IN	3,411	375	692	6	545	67	114	148	8	71	5,437
KS	1,145	622	1,301	79	80	103	48	155	64	219	3,816
KY	139	21	14	0	40	0	54	0	0	23	291
LA	167	8	24	0	0	1,277	0	29	0	70	1,575
MA	6,178	2	886	15,067	4,160	4,108	3,595	9,112	228	716	44,052
MD	10,289	0	426	2,863	1,839	3,850	51	1,955	63	199	21,535
ME	1,175	36	0	0	0	0	0	117	4	102	1,434
MI	2,787	267	3,985	7,154	395	2,482	720	4,722	112	419	23,043
MN	3,009	2,055	1,799	26,754	41	21	247	5,359	654	1,141	41,080
MO	954	1,418	1,690	5,102	509	39	980	805	8	92	11,597
MS	25	14	71	91	16	14	4	55	1	5	296
MT	114	0	0	2	189	0	0	0	0	55	360
NC	1,419	324	873	8,159	45	212	234	2,066	46	115	13,493
ND	103	83	62	1	3	0	6	0	165	194	617
NE	402	25	36	2	239	39	2	14	10	0	769
NH	0	0	2	0	0	0	0	1	0	0	3
NJ	6	300	3,139	8,224	6,054	3,463	111	5,894	0	0	27,191
NM	82	40	69	34	43	101	25	4	0	0	398
NV	1,363	14	84	53	0	0	7	30	30	356	1,937
NY	5,803	1,080	1,890	7,834	19,252	1,433	19	1,095	127	375	38,908
OH	1,097	1,379	4,054	28,827	607	1,461	282	10,778	0	112	48,597
OK	1,305	111	394	470	8	0	1	14	8	424	2,735
OR	1,252	155	428	27	14	1,472	18	0	299	1,276	4,941
PA	1,359	1,237	2,224	1,198	475	687	399	12,854	387	1,350	22,170
PR	0	0	0	0	0	3,890	0	0	0	0	3,890
RI	44	0	0	0	5	6	9	4	3	0	71
SC	2,456	35	78	150	20	13	6	128	0	73	2,959
SD	377	13	27	6	24	0	0	5	11	91	554
TN	858	64	206	0	88	0	51	14	19	91	1,391
TX	8,627	307	1,120	3,465	932	1,600	184	7,584	338	2,759	26,916
UT	1,083	379	432	1,706	265	1	5	437	88	128	4,524
VA	1,387	2	7	100	272	36	271	58	81	58	2,272
VT	191	0	0	140	0	0	0	4	622	5	962
WA	14,650	324	579	3,494	1	1,623	109	811	11	201	21,803
WI	2,661	115	4,069	2,412	1,668	5,484	239	12,975	67	251	29,941
WV	10	20	18	9	6	0	0	18	0	0	81
WY	59	0	0	4	2	0	0	7	40	28	140
REPORT TOTAL	114,396	13,257	39,141	135,475	55,683	35,416	9,723	109,560	4,832	25,153	542,636
