State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Other_Farm_Animals	Total
AK	0	0	0	0	0	0	0	0	0	0	0
AL	117	0	0	66	0	89	0	26	0	0	298
AR	0	0	0	0	0	0	0	0	0	0	0
AZ	0	0	0	0	0	0	0	0	0	0	0
CA	1,235	0	2	460	91	76	0	271	0	0	2,135
CO	88	12	15	798	381	0	0	1	10	0	1,305
CT	0	0	49	0	27	45	0	0	0	0	121
DC	322	0	0	670	0	0	0	0	0	0	992
DE	0	0	0	0	0	0	0	0	0	0	0
FL	2	0	4	42	33	9	0	18	0	0	108
GA	496	0	0	129	2,839	14	0	1,450	0	0	4,928
HI	0	0	0	0	0	0	0	0	0	0	0
IA	0	0	12	182	8,933	0	0	0	23	300	9,450
ID	0	0	0	0	0	0	0	0	0	0	0
IL	22	15	0	245	88	0	32	39	0	0	441
IN	44	0	0	48	2	0	0	0	0	0	94
KS	0	0	1	0	0	5	0	0	0	0	6
KY	78	0	0	0	0	0	0	2	0	0	80
LA	205	0	0	0	0	41	0	29	0	0	275
MA	361	0	4	401	1,448	29	37	152	0	0	2,432
MD	158	0	8	7,231	1,327	344	157	265	0	3	9,493
ME	8	0	0	0	0	0	0	0	0	0	8
MI	0	0	0	10,934	0	88	40	0	356	0	11,418
MN	89	0	0	131	0	4	0	38	0	0	262
MO	40	146	126	0	25,305	0	0	31	0	0	25,648
MS	0	0	0	0	0	0	0	0	0	0	0
MT	0	0	0	0	0	0	0	0	0	0	0
NC	0	0	0	166	0	0	35	0	0	0	201
ND	0	0	0	0	0	0	0	0	0	0	0
NE	0	0	0	0	0	0	0	21	0	0	21
NH	0	0	0	0	0	0	0	0	0	0	0
NJ	0	30	156	1,515	2,058	147	0	773	0	0	4,679
NM	185	0	0	126	0	300	0	38	0	0	649
NV	0	0	0	0	0	0	0	0	0	0	0
NY	191	54	159	2,292	5,301	7	0	43	0	0	8,047
OH	159	0	0	501	206	184	0	477	0	0	1,527
OK	114	0	0	0	0	6	0	0	0	0	120
OR	10	0	0	0	0	0	0	0	0	0	10
PA	292	2	12	234	0	18	1,545	411	0	0	2,514
PR	0	0	0	0	0	0	0	0	0	0	0
RI	0	0	0	0	0	0	0	0	0	0	0
SC	11	0	0	0	28	0	0	0	0	0	39
SD	0	0	0	0	0	0	133	0	0	0	133
TN	890	0	0	0	0	0	39	0	0	0	929
TX	51	0	0	2,104	759	25	46	232	0	0	3,217
UT	0	0	0	847	2,631	0	0	0	0	0	3,478
VA	0	0	0	0	168	28	0	25	0	0	221
VT	4	0	0	47	0	0	0	0	0	0	51
WA	9	0	0	38	0	0	0	0	0	0	47
WI	143	0	0	0	0	0	0	48	0	0	191
WV	0	0	0	0	0	0	0	81	0	0	81
WY	0	0	0	0	0	0	0	0	0	0	0
REPORT TOTAL	5,324	259	548	29,207	51,625	1,459	2,064	4,471	389	303	95,649
