State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Total
AK	141	0	0	0	0	0	0	0	0	141
AL	1,205	267	917	15	36	284	102	152	103	3,081
AR	7	35	638	3	1	137	6	659	0	1,486
AZ	1,883	637	1,238	27	19	0	60	76	17	3,957
CA	10,501	1,888	4,332	6,278	491	1,312	231	14,823	553	40,409
CO	1,298	255	850	1,774	294	1	41	641	92	5,246
CT	485	0	151	40	60	192	3	29	0	960
DC	2,718	0	0	0	132	0	0	0	0	2,850
DE	506	48	56	31	0	0	0	5,377	41	6,059
FL	1,823	66	202	283	1	1,162	7	24	46	3,614
GA	1,974	564	2,177	584	2,848	191	71	900	12	9,321
HI	2	35	73	0	0	0	0	12	18	140
IA	738	165	387	446	4,371	5	573	31	536	7,252
ID	132	35	102	0	0	0	3	42	0	314
IL	1,849	550	1,679	1,614	5	453	319	1,333	670	8,472
IN	4,539	282	791	535	6,223	236	13	1,168	0	13,787
KS	587	613	1,127	112	6	82	255	139	48	2,969
KY	276	41	88	16	0	4	40	7	4	476
LA	167	23	36	0	0	1,006	0	4	0	1,236
MA	4,386	10	4,456	8,807	3,421	8,950	3,660	8,474	64	42,228
MD	17,346	42	421	4,786	1,330	3,903	97	1,899	30	29,854
ME	862	0	0	0	0	0	0	31	0	893
MI	1,287	314	2,570	7,309	45	2,863	1,247	2,114	268	18,017
MN	134	724	760	31,133	106	15	84	4,163	77	37,196
MO	1,550	1,181	1,818	2,433	493	87	1,167	996	55	9,780
MS	32	0	26	0	0	0	2	0	0	60
MT	554	2	0	344	0	0	0	0	0	900
NC	1,139	242	581	7,673	80	72	431	2,305	69	12,592
ND	203	183	169	10	0	0	24	29	40	658
NE	619	0	11	12	351	51	1	18	0	1,063
NH	1,001	0	0	0	78	0	0	0	0	1,079
NJ	1,096	656	3,592	9,303	26,886	2,093	109	3,362	0	47,097
NM	2,048	15	231	0	0	69	50	4	0	2,417
NV	143	29	53	105	0	0	0	7	0	337
NY	9,786	441	866	1,160	186	1,138	1	757	4	14,339
OH	31,547	1,073	3,709	31,730	57	1,581	180	8,046	2	77,925
OK	742	149	346	2,034	8	0	18	18	4	3,319
OR	665	21	17	24	0	30	12	0	55	824
PA	3,310	905	1,980	1,186	212	329	520	8,719	741	17,902
PR	0	0	0	0	0	4,596	0	0	0	4,596
RI	36	50	20	0	0	6	1	0	0	113
SC	2,342	33	72	117	21	54	33	65	0	2,737
SD	474	11	8	25	2	0	0	4	5	529
TN	250	229	535	0	318	0	3	73	82	1,490
TX	11,208	534	1,172	2,043	628	2,801	194	4,278	67	22,925
UT	248	142	231	6	682	0	9	191	68	1,577
VA	16,241	1	4	350	74	8	453	93	105	17,329
VT	61	0	0	63	0	0	0	4	281	409
WA	16,886	107	264	2,699	6	2,563	6	489	17	23,037
WI	1,668	151	3,024	1,240	697	6,376	525	11,435	62	25,178
WV	99	10	18	3	6	0	0	2	6	144
WY	69	25	37	2	4	0	2	4	46	189
REPORT TOTAL	158,863	12,784	41,835	126,355	50,178	42,650	10,553	82,997	4,288	530,503
