State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Other_Farm_Animals	Total
AK	229	0	0	0	0	0	0	0	0	0	229
AL	272	127	490	71	0	47	457	448	33	83	2,028
AR	11	23	71	152	0	11	544	253	0	112	1,177
AZ	104	183	259	39	27	44	424	120	137	12	1,349
CA	4,551	843	1,654	3,317	2,480	3,083	5,011	10,965	1,200	990	34,094
CO	492	244	232	1,050	383	0	835	355	432	242	4,265
CT	280	0	130	30	20	79	436	81	3	0	1,059
DC	258	0	35	26	158	72	447	91	34	0	1,121
DE	0	0	0	20	0	0	0	1,192	0	12	1,224
FL	1,074	370	361	186	167	138	2,196	285	240	40	5,057
GA	2,074	242	248	1,075	4,029	2,140	988	527	27	58	11,408
HI	0	11	33	0	0	0	104	0	0	0	148
IA	127	473	871	465	691	13	741	3,050	96	62	6,589
ID	180	61	86	0	0	0	2	7	9	46	391
IL	1,083	316	1,526	921	2,356	443	836	1,118	52	318	8,969
IN	284	97	343	72	209	18	748	667	132	19	2,589
KS	178	68	404	833	64	51	276	50	0	118	2,042
KY	328	160	296	22	87	79	245	167	23	40	1,447
LA	61	127	482	6	38	1,646	45	338	6	187	2,936
MA	2,467	63	475	6,368	1,527	1,948	2,572	5,772	279	78	21,549
MD	3,109	76	379	5,675	1,784	3,471	1,409	2,094	141	74	18,212
ME	6	246	81	0	0	0	15	8	0	5	361
MI	1,830	161	823	841	298	608	758	2,206	330	16	7,871
MN	144	1,470	2,194	608	325	215	3,270	4,056	656	288	13,226
MO	494	548	976	2,979	1,982	111	1,377	2,598	98	19	11,182
MS	156	11	81	142	17	36	356	297	4	49	1,149
MT	0	0	0	0	0	7	0	6	5	0	18
NC	1,201	697	1,045	340	811	1,334	1,268	496	148	93	7,433
ND	0	149	187	0	0	0	28	0	192	0	556
NE	555	52	60	4	604	55	228	149	7	61	1,775
NH	827	0	8	0	584	6	40	9	3	0	1,477
NJ	548	86	1,484	3,439	5,130	1,116	997	4,537	11	0	17,348
NM	19	0	228	32	0	256	20	66	0	0	621
NV	298	158	430	6	96	0	131	0	0	164	1,283
NY	1,595	611	1,685	936	2,234	650	1,373	2,304	200	170	11,758
OH	2,245	817	1,877	1,356	481	458	2,750	2,499	192	245	12,920
OK	653	96	636	100	6	117	7	114	82	400	2,211
OR	146	397	58	9	6	1,938	340	263	174	9	3,340
PA	1,011	684	1,438	1,292	153	1,051	1,808	6,989	323	151	14,900
PR	0	0	0	0	0	324	27	10	0	0	361
RI	163	0	11	2	193	32	71	407	61	0	940
SC	4	141	223	0	0	227	348	61	7	0	1,011
SD	192	0	0	0	11	5	2	3	24	46	283
TN	670	116	343	163	436	255	1,406	393	0	91	3,873
TX	2,034	124	486	1,911	1,925	1,252	3,167	6,157	583	2,317	19,956
UT	0	111	344	49	122	10	229	649	355	80	1,949
VA	263	66	168	395	34	79	3,182	275	36	85	4,583
VT	0	8	33	0	0	0	60	0	925	0	1,026
WA	804	114	497	158	231	793	1,176	358	6	249	4,386
WI	781	190	1,372	684	2,922	1,833	775	2,482	100	67	11,206
WV	0	36	22	0	0	0	2	73	136	0	269
WY	5	25	56	0	0	0	2	0	17	3	108
REPORT TOTAL	33,806	10,598	25,221	35,774	32,621	26,051	43,529	65,045	7,519	7,099	287,263
