State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Total
AK	109	0	0	0	0	0	0	0	0	109
AL	596	114	66	0	0	1	1,490	7	13	2,287
AR	42	1	270	0	0	58	0	15	0	386
AZ	3	0	2	0	0	0	10	91	23	129
CA	9,611	230	211	343	93	2,138	73	1,757	176	14,632
CO	889	29	30	93	0	0	30	15	424	1,510
CT	96	0	36	1	0	15	0	2	2	152
DC	0	21	0	0	6	0	0	0	0	27
DE	116	0	0	0	0	0	0	4,088	0	4,204
FL	1,215	110	108	0	0	4,077	1	15	1	5,527
GA	902	4	14	2	38	2,490	0	225	0	3,675
HI	0	0	0	2	0	0	0	0	0	2
IA	615	0	0	0	0	0	3,380	12	0	4,007
ID	60	0	0	0	0	0	0	0	0	60
IL	737	10	54	14	0	61	9	154	10	1,049
IN	675	59	125	24	518	117	12	105	0	1,635
KS	718	3	87	31	1	4	0	0	0	844
KY	971	92	126	0	0	0	77	18	40	1,324
LA	234	21	10	0	0	12,416	25	2	0	12,708
MA	3,262	0	74	73	599	2,360	186	767	16	7,337
MD	4,825	0	0	259	789	5,292	0	67	0	11,232
ME	231	0	0	2	0	0	0	39	0	272
MI	19	28	104	7,430	0	39	9	6	0	7,635
MN	29	0	44	1,715	33	0	398	180	35	2,434
MO	252	76	293	132	511	25	352	23	42	1,706
MS	0	0	0	0	0	14	0	3	0	17
MT	414	0	0	0	0	0	0	0	0	414
NC	0	0	8	0	0	0	0	0	0	8
ND	0	0	0	0	0	0	0	0	0	0
NE	0	0	0	0	6	0	22	3	1	32
NH	63	0	0	0	0	0	0	2	0	65
NJ	219	27	141	243	236	275	1	70	0	1,212
NM	57	35	14	0	45	53	0	0	0	204
NV	0	0	0	10	0	0	0	10	0	20
NY	1,766	47	40	40	45	90	3	51	7	2,089
OH	281	91	35	899	1	0	29	563	9	1,908
OK	316	0	11	112	0	0	0	0	0	439
OR	14	3	0	8	0	4,225	0	0	0	4,250
PA	1,815	101	100	1,759	195	58	23	1,597	378	6,026
PR	0	0	0	0	0	0	0	0	0	0
RI	375	0	0	0	369	0	0	12	0	756
SC	3,697	0	0	1	0	0	0	1	0	3,699
SD	136	0	0	0	0	0	0	6	250	392
TN	474	39	78	0	181	52	7	2	0	833
TX	4,909	90	68	108	289	2,508	283	2,359	110	10,724
UT	306	0	0	48	543	35	0	2	90	1,024
VA	64	0	3	12	18	2	384	21	0	504
VT	5	0	0	0	0	0	0	0	0	5
WA	1,528	0	24	69	0	1,227	14	162	0	3,024
WI	390	95	3,823	973	3	2,637	133	6,515	37	14,606
WV	53	0	0	0	0	0	0	0	28	81
WY	10	0	0	0	0	0	0	0	0	10
REPORT TOTAL	43,099	1,326	5,999	14,403	4,519	40,269	6,951	18,967	1,692	137,225
