State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Marine Mammals	Nonhuman_Primates	Other_Farm_Animals	Pig	Rabbits	Sheep	Total
AK	336	0	39	0	159	0	0	0	0	0	0	534
AL	714	125	990	174	52	0	201	958	287	241	49	3,791
AR	37	97	288	33	17	0	60	65	100	222	0	919
AZ	2,553	41	179	150	6	0	14	29	1	98	0	3,071
CA	4,701	908	1,459	18,168	1,959	0	639	6,889	352	35,467	204	70,746
CO	1,022	193	254	2,452	953	0	0	168	70	127	7	5,246
CT	1,248	0	114	206	322	0	159	0	3	198	0	2,250
DC	10,556	33	6	1	179	0	177	33	1	26	0	11,012
DE	5	266	212	1,246	260	0	0	312	0	10,743	22	13,066
FL	1,977	32	100	19	24	0	136	665	40	21	10	3,024
GA	5,426	354	1,290	529	4,248	0	800	91	299	1,005	0	14,042
HI	6	2	0	0	0	0	1	0	0	14	0	23
IA	1,309	1,076	945	4,486	23,308	0	20	1,559	709	121	436	33,969
ID	233	0	0	0	0	0	0	7	1	30	0	271
IL	1,729	462	1,015	1,744	34	0	197	700	1,048	2,112	241	9,282
IN	590	60	622	90	0	0	288	16	366	629	2	2,663
KS	184	551	921	135	110	0	87	84	45	232	170	2,519
KY	5	21	28	170	0	0	0	0	20	51	0	295
LA	131	14	108	3	95	0	1,173	185	0	49	0	1,758
MA	3,032	6	2,301	16,232	3,759	0	5,065	148	2,032	6,546	247	39,368
MD	5,807	33	620	4,264	1,584	0	3,787	204	81	3,296	91	19,767
ME	544	0	0	0	0	0	0	376	0	199	2	1,121
MI	1,870	307	6,739	4,995	323	0	4,170	302	718	3,566	222	23,212
MN	780	504	684	1,880	103	0	113	743	1,057	712	390	6,966
MO	235	1,147	1,526	1,953	3,657	0	170	287	745	517	115	10,352
MS	0	1	0	0	0	0	22	13	40	100	0	176
MT	0	4	0	0	0	0	0	73	0	347	0	424
NC	634	333	925	7,492	11	0	240	173	315	2,116	20	12,259
ND	41	0	0	2	2	0	0	108	20	92	368	633
NE	1,850	341	847	512	4,310	0	34	72	92	30	20	8,108
NH	133	0	0	0	136	0	0	0	0	0	0	269
NJ	1,638	99	3,783	18,302	251	0	2,139	2	41	5,438	0	31,693
NM	80	0	90	0	24	0	0	0	4	44	0	242
NV	946	2	2	97	0	0	0	134	7	70	86	1,344
NY	4,276	1,350	2,297	6,574	29,681	0	905	264	220	1,964	1	47,532
OH	1,212	369	2,887	15,421	1,084	0	1,237	53	224	8,421	30	30,938
OK	435	61	260	330	0	0	0	8	4	207	52	1,357
OR	621	10	37	57	7	0	951	174	1	160	54	2,072
PA	2,449	1,188	3,970	8,417	1,027	0	2,781	1,080	652	27,129	401	49,094
PR	0	0	0	0	0	0	2,855	0	0	0	0	2,855
RI	376	10	0	109	0	0	1	211	175	350	76	1,308
SC	436	37	98	0	74	0	0	55	20	174	0	894
SD	128	18	13	4	85	0	5	260	28	5	45	591
TN	596	99	127	14	308	0	0	130	33	44	3	1,354
TX	9,170	269	631	4,097	883	0	3,877	1,941	188	5,865	211	27,132
UT	525	15	32	187	683	0	0	0	1	372	51	1,866
VA	2,303	0	43	19	89	0	17	10	69	131	4	2,685
VT	75	1	0	349	0	0	0	0	0	53	573	1,051
WA	685	112	324	3,653	176	0	3,256	83	40	742	13	9,084
WI	697	17	5,133	1,653	904	0	7,231	196	318	3,285	46	19,480
WV	22	0	0	0	6	0	0	0	0	25	0	53
WY	71	0	0	3	12	0	0	19	2	12	129	248
REPORT TOTAL	74,429	10,568	41,939	126,222	80,905	0	42,808	18,880	10,469	123,398	4,391	534,009
