State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Total
AK	103	0	0	0	0	0	0	0	0	103
AL	531	73	85	0	0	21	1,546	51	3	2,310
AR	4	0	55	8	0	63	0	15	0	145
AZ	45	2	10	0	0	12	65	2	40	176
CA	6,434	155	70	97	114	2,828	62	1,125	79	10,964
CO	886	14	26	48	7	0	6	29	77	1,093
CT	148	0	29	0	0	17	0	0	0	194
DC	0	15	0	53	4	56	11	0	0	139
DE	174	0	0	0	0	0	0	3,864	30	4,068
FL	661	74	140	2	0	3,838	1	16	13	4,745
GA	971	1	0	4	120	1,937	0	120	0	3,153
HI	0	0	0	0	0	0	0	0	0	0
IA	2,095	0	2	0	30	0	3,175	34	0	5,336
ID	282	0	1	0	0	0	0	0	0	283
IL	604	6	81	76	0	96	17	167	18	1,065
IN	330	34	276	102	554	38	14	56	11	1,415
KS	182	13	6	32	0	5	34	0	0	272
KY	759	10	4	0	0	0	194	20	60	1,047
LA	150	15	10	0	0	10,663	0	13	0	10,851
MA	3,272	31	230	140	17	2,069	717	576	28	7,080
MD	5,011	2	0	376	560	4,744	2	144	0	10,839
ME	87	0	0	0	0	0	6	15	0	108
MI	273	22	154	9,923	0	638	2	13	0	11,025
MN	78	0	30	704	25	13	260	208	69	1,387
MO	397	213	298	210	138	0	362	102	0	1,720
MS	22	0	9	0	0	16	0	0	0	47
MT	437	1	0	0	42	0	0	0	0	480
NC	126	97	63	380	0	0	25	48	6	745
ND	0	0	0	0	0	0	0	0	269	269
NE	4	0	0	1	1	0	0	0	0	6
NH	24	0	0	0	0	0	0	0	0	24
NJ	37	14	297	225	1,062	186	5	377	0	2,203
NM	60	11	9	0	14	140	0	0	0	234
NV	0	0	0	7	0	0	0	0	0	7
NY	2,747	15	12	93	25	154	5	42	2	3,095
OH	536	110	63	675	40	5	71	564	24	2,088
OK	359	6	60	304	0	555	0	2	0	1,286
OR	22	0	0	0	0	437	0	0	0	459
PA	1,896	96	276	561	444	86	34	1,642	450	5,485
PR	0	0	0	0	0	0	0	0	0	0
RI	47	0	0	0	25	0	0	18	0	90
SC	3,521	0	0	1	0	0	0	1	0	3,523
SD	117	0	0	0	0	0	0	0	9	126
TN	457	43	17	0	443	123	0	0	0	1,083
TX	7,524	89	147	30	319	1,077	244	4,945	121	14,496
UT	104	0	0	0	553	41	0	28	4	730
VA	92	2	4	10	36	11	196	16	3	370
VT	0	0	0	0	0	0	0	0	0	0
WA	583	0	34	204	50	1,237	4	149	0	2,261
WI	1,551	24	3,985	134	11	2,073	185	574	15	8,552
WV	5,115	0	0	0	0	0	0	0	0	5,115
WY	11	0	0	0	0	0	0	0	54	65
REPORT TOTAL	48,869	1,188	6,483	14,400	4,634	33,179	7,243	14,976	1,385	132,357
