State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Total
AK	252	0	0	0	0	0	0	0	0	252
AL	442	2	255	96	71	381	92	607	1	1,947
AR	21	28	441	5	1	138	3	500	3	1,140
AZ	798	380	497	11	6	0	44	90	28	1,854
CA	16,029	1,682	4,273	4,521	381	2,261	239	11,124	299	40,809
CO	2,072	251	504	944	211	1	108	532	323	4,946
CT	544	8	201	54	265	267	0	135	0	1,474
DC	8,922	4	10	377	219	153	24	128	0	9,837
DE	572	51	124	1	0	0	12	4,374	40	5,174
FL	913	52	512	0	0	606	23	18	16	2,140
GA	2,119	688	1,579	644	3,220	143	147	2,495	9	11,044
HI	202	113	224	21	0	0	74	5	36	675
IA	903	230	362	337	1,022	5	1,081	42	126	4,108
ID	79	0	0	0	42	0	0	14	0	135
IL	1,416	551	1,456	1,646	4	248	546	1,119	558	7,544
IN	4,315	214	1,260	454	12,481	112	156	133	0	19,125
KS	394	539	1,185	145	1	314	179	55	17	2,829
KY	297	103	132	7	0	0	111	0	40	690
LA	116	11	17	0	0	817	0	9	0	970
MA	5,965	117	6,771	13,940	4,439	11,795	4,461	11,068	137	58,693
MD	3,937	13	739	3,095	911	2,837	142	1,666	61	13,401
ME	621	0	0	2	0	0	0	47	0	670
MI	913	98	281	8,423	24	60	158	1,726	60	11,743
MN	302	197	319	29,068	74	9	313	3,549	32	33,863
MO	795	1,057	1,315	845	296	106	876	225	25	5,540
MS	63	0	20	0	0	0	8	0	49	140
MT	610	2	0	0	0	5	0	0	0	617
NC	418	323	745	4,647	0	120	656	3,292	97	10,298
ND	199	132	125	1	0	0	0	24	32	513
NE	566	0	48	0	235	67	0	0	0	916
NH	389	500	350	0	0	0	0	0	0	1,239
NJ	371	931	2,940	8,638	19,327	1,955	21	3,005	2	37,190
NM	893	18	296	0	0	113	0	6	0	1,326
NV	128	24	27	54	0	0	0	1	0	234
NY	7,568	719	555	1,640	158	956	1	851	4	12,452
OH	41	1,243	1,573	35,206	45	432	43	5,791	0	44,374
OK	1,084	133	407	1,566	0	36	153	36	2	3,417
OR	1,010	4	11	5	0	3,629	0	0	22	4,681
PA	5,921	1,062	2,068	536	274	486	407	8,071	919	19,744
PR	0	50	137	0	0	4,166	1	43	0	4,397
RI	59	62	41	0	0	0	0	252	0	414
SC	1,927	49	44	6	24	92	6	5	0	2,153
SD	704	3	0	3	1	0	0	2	0	713
TN	292	364	601	133	124	0	22	93	43	1,672
TX	12,019	321	4,367	906	665	3,524	90	2,949	69	24,910
UT	323	149	119	4	0	0	66	139	18	818
VA	9,943	0	0	0	56	12	165	19	64	10,259
VT	44	0	0	23	0	0	27	0	720	814
WA	15,506	111	279	2,439	0	1,939	5	415	5	20,699
WI	1,773	163	4,102	1,219	258	6,073	410	11,696	11	25,705
WV	375	5	0	0	6	0	0	37	1	424
WY	48	0	5	3	3	0	0	3	253	315
REPORT TOTAL	115,213	12,757	41,317	121,665	44,844	43,858	10,870	76,391	4,122	471,037



