State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Marine Mammals	Nonhuman_Primates	Other_Farm_Animals	Pig	Rabbits	Sheep	Total
AK	426	0	6	0	190	0	0	0	0	0	0	622
AL	132	34	110	0	0	0	0	612	4	321	6	1,219
AR	92	69	22	15	0	0	34	0	0	0	0	232
AZ	144	8	26	0	0	0	38	1	12	32	3	264
CA	1,870	409	118	735	60	0	6,009	4,473	45	4,438	179	18,336
CO	358	253	4	423	103	0	0	0	0	0	0	1,141
CT	667	8	93	14	14	0	53	8	9	111	0	977
DC	1,637	25	0	0	0	0	74	0	0	2	0	1,738
DE	0	0	0	80	0	0	0	48	0	4,148	0	4,276
FL	643	0	6	0	51	0	1,667	2	0	3	0	2,372
GA	238	11	2	0	1,269	0	1,667	0	1	9	0	3,197
HI	0	0	0	0	0	0	0	0	0	0	0	0
IA	120	1	295	2	50	0	1	461	123	5	96	1,154
ID	0	0	0	0	0	0	0	0	0	0	0	0
IL	291	88	162	25	9	0	177	73	6	161	41	1,033
IN	248	166	573	11	460	0	179	0	96	57	0	1,790
KS	175	33	211	52	53	0	24	4	0	52	0	604
KY	34	42	0	0	0	0	9	1	26	35	52	199
LA	223	25	32	0	57	0	9,460	166	0	11	0	9,974
MA	870	9	104	9	963	0	5,237	234	1,054	2,306	43	10,829
MD	8,710	13	7	827	2,634	0	6,075	41	38	303	45	18,693
ME	0	0	0	0	0	0	0	52	0	66	0	118
MI	75	45	1,014	3,087	6	0	1,143	0	362	462	64	6,258
MN	127	3	76	104	35	0	16	118	639	51	164	1,333
MO	449	310	309	72	0	0	3	195	611	0	39	1,988
MS	153	0	8	0	0	0	18	0	2	1	0	182
MT	0	0	0	0	0	0	0	0	0	10	21	31
NC	250	83	104	671	23	0	26	0	5	45	0	1,207
ND	0	0	0	0	0	0	0	0	0	70	172	242
NE	70	41	12	72	710	0	0	70	115	0	0	1,090
NH	0	0	0	0	0	0	0	0	106	0	0	106
NJ	347	0	502	402	274	0	5,643	34	17	429	0	7,648
NM	440	1	51	47	88	0	20	0	0	35	0	682
NV	0	0	0	0	0	0	0	0	0	0	17	17
NY	867	3	47	204	1,105	0	258	40	2	336	2	2,864
OH	4,490	389	414	888	401	0	204	7	90	839	0	7,722
OK	45	2	13	8	6	0	591	13	8	21	0	707
OR	0	13	0	0	0	0	0	0	2	6	3	24
PA	1,755	192	376	570	638	0	553	273	136	1,863	252	6,608
PR	0	0	0	0	0	0	1,139	0	0	0	0	1,139
RI	104	1	0	19	36	0	1	16	24	3	41	245
SC	5,787	0	120	0	52	0	3,584	0	0	0	0	9,543
SD	0	0	0	0	0	0	8	354	0	12	222	596
TN	339	50	0	0	243	0	0	0	0	0	0	632
TX	1,352	0	290	244	197	0	6,631	523	77	2,096	102	11,512
UT	4	0	0	0	0	0	0	0	27	115	3	149
VA	630	3	4	0	153	0	3	3	213	48	6	1,063
VT	0	0	0	0	0	0	0	0	0	0	0	0
WA	804	10	185	88	29	0	3,193	100	3	757	0	5,169
WI	2,863	2	3,438	79	1,127	0	1,605	215	122	249	0	9,700
WV	0	0	0	0	0	0	0	0	0	0	0	0
WY	101	0	0	0	0	0	0	7	0	0	132	240
REPORT TOTAL	37,930	2,342	8,734	8,748	11,036	0	55,343	8,144	3,975	19,508	1,705	157,465
