State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Other_Farm_Animals	Total
AK	157	0	0	0	0	0	0	0	0	0	157
AL	1,694	19	784	71	17	148	23	441	11	344	3,552
AR	7	79	557	10	60	100	12	1,163	0	2	1,990
AZ	6,311	297	1,382	183	20	1	20	178	5	250	8,647
CA	17,123	1,162	2,690	8,942	1,289	424	385	21,664	260	11,607	65,546
CO	805	117	444	1,025	492	0	65	248	2	81	3,279
CT	588	0	159	92	134	229	0	163	0	0	1,365
DC	92	4	0	60	359	49	0	0	0	11	575
DE	345	0	0	18	0	0	0	9,091	53	713	10,220
FL	2,524	133	676	6	52	420	39	43	3	62	3,958
GA	3,840	548	1,489	340	6,143	754	2	1,311	4	374	14,805
HI	6	31	54	0	0	0	0	0	0	0	91
IA	411	226	224	230	8,365	6	651	45	248	140	10,546
ID	204	2	1	12	0	0	0	41	15	34	309
IL	2,457	781	1,681	1,767	1	274	490	1,636	331	348	9,766
IN	2,192	254	608	3	464	98	274	171	26	67	4,157
KS	1,297	786	1,682	160	2	91	46	77	59	150	4,350
KY	125	33	84	0	2	0	1	11	0	39	295
LA	0	23	63	0	2	1,295	0	74	2	79	1,538
MA	15,647	4	1,236	14,775	3,494	5,438	3,424	9,636	136	215	54,005
MD	3,105	22	583	2,465	1,750	4,990	124	1,172	128	60	14,399
ME	461	0	2	0	0	0	0	123	5	443	1,034
MI	2,451	275	3,511	6,817	612	2,502	1,143	4,305	140	270	22,026
MN	1,188	1,731	1,877	26,282	66	41	305	3,436	420	1,074	36,420
MO	1,537	1,456	1,399	7,517	299	34	600	946	9	76	13,873
MS	12	8	0	155	0	15	0	66	0	9	265
MT	4	0	0	0	173	0	0	0	0	35	212
NC	1,489	415	1,118	8,157	2	76	639	2,521	85	4,977	19,479
ND	252	62	24	5	5	0	0	4	136	0	488
NE	948	24	28	4	335	45	1	6	10	0	1,401
NH	0	0	0	0	63	0	0	6	0	0	69
NJ	1,086	438	3,393	9,268	20,178	2,464	287	3,691	0	0	40,805
NM	115	31	114	63	31	67	3	5	0	0	429
NV	1,937	16	48	8	0	0	6	11	1	139	2,166
NY	2,009	802	1,618	4,433	8,212	1,287	36	513	119	430	19,459
OH	182	985	3,479	26,780	613	1,410	182	8,461	6	0	42,098
OK	798	63	478	528	7	0	22	12	17	221	2,146
OR	2,403	64	135	34	0	1,396	8	2	73	35	4,150
PA	3,267	1,016	1,871	1,089	1,294	495	519	9,245	375	1,106	20,277
PR	0	0	0	0	0	4,076	0	0	0	0	4,076
RI	55	37	75	2	26	6	3	33	1	13	251
SC	2,286	62	86	402	7	19	0	101	0	50	3,013
SD	267	12	8	6	22	0	0	5	1	74	395
TN	2,177	224	271	0	30	0	17	45	0	13	2,777
TX	7,213	393	1,019	2,862	697	1,754	128	5,303	72	1,315	20,756
UT	609	361	483	1,038	492	0	8	597	32	238	3,858
VA	1,610	13	88	95	196	0	182	146	92	58	2,480
VT	209	0	0	108	0	0	0	4	685	2	1,008
WA	3,311	347	658	3,020	7	1,711	16	723	25	209	10,027
WI	2,282	174	5,824	2,197	1,389	4,859	235	11,783	46	366	29,155
WV	0	23	25	4	6	0	0	6	0	0	64
WY	95	0	0	4	3	0	4	7	109	144	366
REPORT TOTAL	99,183	13,553	42,029	131,037	57,411	36,574	9,900	99,271	3,742	25,873	518,573
