State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Other_Farm_Animals	Total
AK	0	0	0	0	0	0	0	0	0	0	0
AL	25	1	0	78	0	20	0	54	0	0	178
AR	0	0	0	0	0	0	0	0	0	0	0
AZ	17	0	0	0	0	0	0	24	0	0	41
CA	1,443	0	6	201	651	72	0	739	0	0	3,112
CO	83	1	5	323	419	0	0	0	27	0	858
CT	1	0	2	0	856	0	0	12	0	0	871
DC	162	0	0	498	0	0	0	0	0	0	660
DE	0	0	0	0	0	0	0	0	0	0	0
FL	37	0	5	14	0	10	0	0	0	0	66
GA	422	1	21	98	2,281	15	2	2,276	0	0	5,116
HI	0	0	0	0	0	0	0	0	0	0	0
IA	0	0	2	32	8,095	0	0	0	0	0	8,129
ID	0	0	0	0	0	0	0	0	77	0	77
IL	132	4	0	36	0	0	119	85	0	0	376
IN	24	0	0	0	80	0	0	0	0	0	104
KS	0	0	3	40	0	20	0	1	0	0	64
KY	65	0	0	0	0	0	0	0	0	0	65
LA	0	0	0	0	0	6	0	86	0	0	92
MA	0	0	0	99	332	9	97	88	0	0	625
MD	171	0	0	5,656	1,063	492	95	272	1	0	7,750
ME	0	0	0	0	0	0	0	0	0	0	0
MI	42	0	1	8,752	0	82	12	7	142	0	9,038
MN	10	0	1	406	6	0	7	69	0	0	499
MO	0	14	132	0	23,446	0	0	0	0	0	23,592
MS	0	0	0	0	0	0	0	32	0	0	32
MT	0	0	0	0	0	0	0	0	0	0	0
NC	18	0	0	490	0	0	0	0	0	0	508
ND	0	0	0	0	0	0	0	0	0	0	0
NE	0	0	0	0	0	0	0	21	0	0	21
NH	0	0	0	0	0	0	0	0	0	0	0
NJ	64	2	160	1,650	4,827	49	18	11	0	0	6,781
NM	133	0	12	209	0	227	47	0	0	0	628
NV	0	0	0	0	0	0	0	0	0	0	0
NY	131	46	172	1,118	1,876	57	0	98	0	0	3,498
OH	18	0	0	3,246	0	176	86	559	24	0	4,109
OK	108	0	0	0	0	0	62	400	0	61	631
OR	66	0	0	0	0	0	0	0	0	0	66
PA	378	1	0	131	75	65	1,579	382	0	0	2,611
PR	0	0	0	0	0	22	0	0	0	0	22
RI	0	0	0	0	0	0	0	0	0	0	0
SC	10	0	0	0	132	0	0	0	0	0	142
SD	10	0	0	0	0	0	56	36	0	0	102
TN	458	0	0	2	0	0	29	0	0	0	489
TX	152	0	0	745	765	160	91	27	0	25	1,965
UT	24	0	0	184	1,854	0	0	0	0	0	2,062
VA	0	0	0	0	60	0	0	0	3	0	63
VT	5	0	0	26	0	0	0	0	0	0	31
WA	6	0	0	36	0	0	0	0	0	0	42
WI	159	0	0	0	0	0	0	0	0	0	159
WV	0	0	0	0	0	0	0	50	0	0	50
WY	0	0	0	0	0	0	0	0	0	0	0
REPORT TOTAL	4,374	70	522	24,070	46,818	1,482	2,300	5,329	274	86	85,325
