State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Total
AK	0	0	0	0	0	0	0	0	0	0
AL	95	0	0	0	0	79	0	4	0	178
AR	0	0	0	0	0	0	0	0	0	0
AZ	0	0	0	0	0	0	0	0	0	0
CA	306	0	0	198	0	0	11	359	0	874
CO	106	22	73	289	74	0	0	11	5	580
CT	0	0	2	0	276	0	0	0	0	278
DC	643	0	0	0	0	0	0	0	0	643
DE	0	0	0	0	0	0	0	0	0	0
FL	236	0	0	0	0	0	0	0	0	236
GA	295	0	0	12	1,722	1	43	4	0	2,077
HI	0	0	0	0	0	0	0	0	0	0
IA	84	0	0	82	574	0	0	0	11	751
ID	5	0	0	0	0	0	0	0	0	5
IL	117	0	3	6	0	0	63	58	0	247
IN	8	0	15	0	4,831	0	3	211	0	5,068
KS	384	0	0	0	0	0	0	0	0	384
KY	0	0	0	0	0	0	0	0	0	0
LA	9	0	0	0	0	0	0	0	0	9
MA	115	0	2	851	76	1	77	75	0	1,197
MD	133	0	0	938	341	562	198	253	4	2,429
ME	0	0	0	0	0	0	0	0	0	0
MI	0	0	0	8,392	0	3	14	2	38	8,449
MN	0	0	4	57	106	1	0	6	0	174
MO	0	1	12	708	6,247	48	0	0	0	7,016
MS	5	0	0	0	0	0	0	0	0	5
MT	0	0	0	0	0	0	0	0	0	0
NC	52	0	0	915	74	0	0	0	0	1,041
ND	0	0	0	0	0	0	0	0	0	0
NE	0	0	0	0	0	0	0	0	17	17
NH	0	0	0	0	0	0	0	0	0	0
NJ	96	0	86	4,580	5,198	16	1	489	0	10,466
NM	0	0	90	15	0	98	48	30	0	281
NV	0	0	0	0	0	0	0	0	0	0
NY	337	0	32	1,200	66	4	65	66	20	1,790
OH	70	0	18	696	0	82	164	148	0	1,178
OK	72	0	0	0	0	0	8	375	0	455
OR	94	0	0	0	0	0	0	0	0	94
PA	73	5	4	384	0	42	645	113	0	1,266
PR	0	0	0	0	0	0	0	0	0	0
RI	0	0	0	0	0	0	0	0	0	0
SC	0	0	0	0	0	0	0	0	0	0
SD	1	0	20	86	0	0	0	0	0	107
TN	3	0	0	0	72	0	0	0	0	75
TX	403	0	0	437	226	283	47	30	0	1,426
UT	0	0	0	119	108	0	0	0	0	227
VA	0	0	0	0	0	8	75	172	0	255
VT	0	0	0	0	0	0	0	0	0	0
WA	24	0	0	0	0	0	0	0	0	24
WI	120	0	0	0	0	0	0	0	0	120
WV	0	0	0	0	0	0	0	0	0	0
WY	0	0	0	0	0	0	0	0	0	0
REPORT TOTAL	3,886	28	361	19,965	19,991	1,228	1,462	2,406	95	49,422
