State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Other_Farm_Animals	Total
AK	139	0	0	0	0	0	0	0	0	0	139
AL	39	119	173	7	0	86	610	221	39	445	1,739
AR	0	76	64	27	0	63	0	131	0	0	361
AZ	150	9	3	63	0	23	4	144	6	0	402
CA	1,506	307	145	265	251	4,040	66	3,214	129	3,763	13,686
CO	400	2	31	23	33	0	3	22	35	0	549
CT	343	1	6	20	1	42	2	8	0	0	423
DC	485	31	0	17	0	495	0	0	0	3	1,031
DE	0	0	0	0	0	0	0	3,965	0	74	4,039
FL	543	3	1	0	94	5,053	22	0	18	87	5,821
GA	1,547	11	0	15	563	1,364	6	17	0	12	3,535
HI	0	0	0	0	0	0	0	0	0	0	0
IA	336	0	18	172	59	0	2,730	2	0	5	3,322
ID	4	0	0	0	0	0	0	0	0	0	4
IL	349	0	53	58	0	152	11	163	14	60	860
IN	175	285	464	2	298	3	168	9	0	0	1,404
KS	17	18	127	26	7	0	0	5	0	0	200
KY	267	14	0	12	0	19	185	26	56	161	740
LA	52	42	0	0	0	9,977	0	5	0	92	10,168
MA	599	1	78	121	732	1,321	540	8,154	17	622	12,185
MD	2,541	0	0	428	1,268	4,867	10	47	10	64	9,235
ME	0	0	0	0	0	0	0	39	0	62	101
MI	531	69	301	15,479	274	410	18	39	11	3	17,135
MN	7	26	79	937	56	22	241	214	207	234	2,023
MO	23	155	245	77	33	9	474	121	27	0	1,164
MS	60	0	0	4	0	5	4	0	0	24	97
MT	24	0	0	0	67	0	0	0	39	0	130
NC	167	47	40	793	0	2	54	28	4	0	1,135
ND	0	0	0	0	0	0	0	0	123	0	123
NE	19	0	0	0	375	0	1	17	0	0	412
NH	0	0	0	0	0	0	0	0	0	0	0
NJ	1	33	479	171	846	602	12	556	0	0	2,700
NM	203	7	19	0	80	287	0	0	0	0	596
NV	0	0	0	0	0	0	0	0	0	0	0
NY	980	11	47	52	113	61	14	67	0	42	1,387
OH	457	160	125	1,426	16	325	37	391	11	47	2,995
OK	207	0	121	0	0	463	0	0	0	55	846
OR	462	0	0	0	0	1,701	0	0	0	0	2,163
PA	1,380	107	267	202	426	104	76	1,511	194	381	4,648
PR	0	0	0	0	0	0	0	0	0	0	0
RI	76	0	0	0	24	0	6	55	0	0	161
SC	5,308	1	4	2	39	0	0	0	0	0	5,354
SD	0	0	0	0	0	2	0	0	195	100	297
TN	230	24	5	0	687	0	0	0	2	1	949
TX	12,630	29	11	83	178	3,784	311	266	406	181	17,879
UT	0	0	0	0	0	0	0	0	1	0	1
VA	183	2	12	0	9	8	213	27	0	0	454
VT	0	0	0	0	0	0	0	0	0	0	0
WA	412	0	132	72	50	6,583	0	720	3	54	8,026
WI	1,372	4	3,255	60	250	1,276	77	239	10	45	6,588
WV	0	0	0	0	0	0	0	0	0	0	0
WY	52	0	0	0	0	0	0	0	332	224	608
REPORT TOTAL	34,276	1,594	6,305	20,614	6,829	43,149	5,895	20,423	1,889	6,841	147,815
