State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Total
AK	25	0	0	0	0	0	0	0	0	25
AL	769	132	141	0	0	0	1,249	23	3	2,317
AR	5	0	94	25	1	56	0	40	0	221
AZ	81	2	9	0	0	6	29	4	19	150
CA	5,198	138	161	104	207	3,596	47	1,897	55	11,403
CO	830	15	19	44	16	0	4	0	51	979
CT	125	2	0	1	0	16	0	2	0	146
DC	0	18	0	0	0	0	0	0	0	18
DE	140	0	0	0	0	0	0	3,960	54	4,154
FL	832	30	14	1	66	3,923	5	0	4	4,875
GA	787	11	0	0	12	1,880	0	7	0	2,697
HI	0	0	0	0	0	0	0	0	0	0
IA	413	0	2	0	82	0	2,444	3	1	2,945
ID	282	2	1	0	0	0	0	7	0	292
IL	393	32	99	19	0	126	14	107	11	801
IN	256	17	70	68	328	89	2	14	0	844
KS	3	47	114	12	1	10	15	7	0	209
KY	257	11	0	0	0	0	174	3	49	494
LA	95	31	19	0	0	9,741	0	8	3	9,897
MA	5,045	0	263	199	359	1,161	200	760	13	8,000
MD	4,846	2	0	700	787	5,063	24	51	1	11,474
ME	87	0	0	0	0	0	0	39	0	126
MI	420	65	142	13,102	15	760	4	46	0	14,554
MN	2	0	74	956	34	0	308	376	31	1,781
MO	418	208	247	246	96	20	329	24	0	1,588
MS	22	0	1	0	0	17	0	0	0	40
MT	428	0	0	67	0	0	0	0	0	495
NC	47	27	14	134	0	3	46	57	12	340
ND	0	0	0	0	0	0	0	0	184	184
NE	0	0	0	0	0	0	2	2	0	4
NH	0	0	0	0	0	0	0	0	0	0
NJ	43	13	272	200	1,067	378	0	550	12	2,535
NM	113	15	2	0	17	149	0	0	0	296
NV	0	0	0	5	0	0	0	7	0	12
NY	1,411	26	16	63	75	140	0	41	0	1,772
OH	2,321	130	58	1,767	13	14	46	647	15	5,011
OK	32	9	29	46	0	612	2	10	24	764
OR	130	0	0	4	0	2,792	0	0	0	2,926
PA	1,698	161	126	1,745	349	123	21	2,108	296	6,627
PR	0	0	0	0	0	0	0	0	0	0
RI	105	0	0	15	0	0	0	0	0	120
SC	2,996	0	0	1	0	0	0	0	0	2,997
SD	46	0	0	0	0	0	0	0	17	63
TN	628	29	15	0	351	129	0	0	0	1,152
TX	9,438	46	81	34	24	1,943	146	4,501	98	16,311
UT	75	0	0	0	116	37	0	20	23	271
VA	76	3	7	7	33	9	451	37	0	623
VT	0	0	0	0	0	0	0	0	0	0
WA	556	0	56	312	67	3,951	41	303	3	5,289
WI	1,006	54	3,635	76	94	1,888	230	454	61	7,498
WV	1,813	0	0	0	0	0	0	9	15	1,837
WY	25	0	0	0	0	0	0	0	50	75
REPORT TOTAL	44,318	1,276	5,781	19,953	4,210	38,632	5,833	16,124	1,105	137,232
