State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Marine Mammals	Nonhuman_Primates	Other_Farm_Animals	Pig	Rabbits	Sheep	Total
AK	48	0	0	0	84	0	0	0	0	0	0	132
AL	964	14	1,193	289	130	0	45	850	447	147	1	4,080
AR	66	116	318	35	0	0	55	3	15	359	0	967
AZ	128,738	29	135	110	0	0	20	16	92	17	0	129,157
CA	21,602	829	1,108	8,764	1,110	0	608	8,462	240	23,914	217	66,854
CO	962	31	377	2,887	1,384	0	0	44	1	183	48	5,917
CT	3,844	0	125	120	492	0	318	0	27	582	0	5,508
DC	661	10	7	139	83	0	51	0	24	99	0	1,074
DE	22	0	0	10	0	0	0	338	0	10,177	22	10,569
FL	2,435	113	390	212	166	0	554	606	30	56	40	4,602
GA	3,857	592	1,096	687	4,234	0	714	1,123	419	799	217	13,738
HI	6	1	0	0	0	0	7	0	0	22	0	36
IA	1,015	299	682	1,849	10,826	0	15	1,288	2,312	83	339	18,708
ID	0	2	0	60	0	0	0	54	2	33	208	359
IL	2,906	716	1,707	1,872	56	0	78	692	1,058	1,800	225	11,110
IN	4,665	180	634	40	7	0	34	96	238	53	3	5,950
KS	2,243	602	884	138	73	0	114	79	13	252	126	4,524
KY	16	6	40	28	0	0	0	67	0	5	0	162
LA	310	21	57	3	0	0	1,440	57	0	47	0	1,935
MA	3,265	2	1,760	12,850	3,473	0	4,978	689	2,185	7,540	183	36,925
MD	9,329	1	111	4,372	2,033	0	3,171	97	40	3,256	26	22,436
ME	1,482	0	0	0	0	104	0	409	0	153	1	2,149
MI	5,772	342	3,571	7,945	440	0	2,962	479	937	4,568	366	27,382
MN	1,352	1,588	1,422	1,224	72	0	20	2,088	1,070	3,519	723	13,078
MO	4,159	1,549	1,470	4,597	4,030	0	28	444	564	301	102	17,244
MS	144	0	1	113	10	0	13	8	2	41	2	334
MT	173	0	0	0	8	0	0	111	0	339	14	645
NC	451	347	1,196	8,632	51	0	721	165	269	2,163	22	14,017
ND	353	0	0	2	3	0	0	145	0	62	179	744
NE	592	27	42	6	122	0	55	0	90	4	18	956
NH	0	0	0	0	0	0	0	0	0	0	0	0
NJ	558	342	4,456	11,371	6,188	0	3,213	22	52	6,026	0	32,228
NM	151	35	101	31	52	0	0	0	0	2	0	372
NV	540	5	56	91	0	0	0	345	4	59	94	1,194
NY	5,357	1,724	3,356	7,995	21,940	11	1,545	508	93	1,707	131	44,367
OH	1,040	1,177	3,473	22,525	893	0	1,360	184	307	7,707	10	38,676
OK	1,006	29	218	443	8	0	0	42	0	295	63	2,104
OR	910	36	151	0	0	0	1,340	75	13	30	30	2,585
PA	2,042	1,069	3,516	5,953	733	0	2,140	1,568	175	34,396	351	51,943
PR	0	0	0	0	0	0	3,270	0	0	0	0	3,270
RI	304	0	0	0	8	0	0	332	9	3	20	676
SC	1,497	21	109	153	8	1	0	18	0	149	0	1,956
SD	44	18	11	3	39	0	5	565	0	3	62	750
TN	1,358	126	144	14	52	0	0	26	29	54	0	1,803
TX	17,008	215	763	4,206	2,682	0	2,774	2,117	107	6,652	488	37,012
UT	1,230	328	436	242	371	0	6	71	51	161	62	2,958
VA	2,010	0	1	110	235	0	15	4	230	71	8	2,684
VT	199	0	0	223	107	0	0	1	0	4	505	1,039
WA	20,627	214	285	3,635	30	0	3,437	179	13	834	5	29,259
WI	3,940	45	4,105	1,493	1,434	0	5,403	428	421	3,993	6	21,268
WV	0	29	16	10	6	0	0	0	0	138	0	199
WY	34	0	0	6	3	0	0	42	0	15	66	166
REPORT TOTAL	261,287	12,830	39,523	115,488	63,676	116	40,509	24,937	11,579	122,873	4,983	697,801
