State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Marine Mammals	Nonhuman_Primates	Other_Farm_Animals	Pig	Rabbits	Sheep	Total
AK	376	0	0	0	0	0	0	0	0	0	0	376
AL	286	133	701	13	458	0	114	136	363	954	8	3,166
AR	22	13	24	213	50	0	15	479	558	448	0	1,822
AZ	27	32	156	70	0	0	16	6	287	188	90	872
CA	4,546	474	1,393	3,170	4,707	0	3,920	471	3,518	12,846	1,236	36,281
CO	475	153	277	604	131	0	0	186	788	505	613	3,732
CT	223	2	207	106	41	0	75	1	359	102	7	1,123
DC	117	11	5	184	42	0	167	0	373	337	2	1,238
DE	47	0	46	419	0	0	0	17	18	1,745	1	2,293
FL	661	374	219	352	143	0	281	42	1,430	280	180	3,962
GA	2,796	220	349	750	3,072	0	2,240	16	915	874	73	11,305
HI	60	0	0	0	0	0	0	0	67	20	0	147
IA	161	425	799	769	687	0	35	153	717	2,299	114	6,159
ID	51	66	77	0	0	0	0	2	0	4	2	202
IL	402	496	1,786	623	2,331	0	582	110	608	1,418	250	8,606
IN	724	119	557	124	1,452	0	7	120	842	874	217	5,036
KS	229	35	98	581	0	0	65	56	231	134	38	1,467
KY	46	79	201	84	459	0	80	232	151	240	63	1,635
LA	1,161	148	398	15	119	0	1,707	7	116	613	24	4,308
MA	2,304	134	480	4,732	2,042	0	2,453	775	2,644	5,710	286	21,560
MD	3,494	42	435	4,847	2,605	0	3,507	321	1,553	1,607	378	18,789
ME	0	0	0	0	0	10	0	7	29	0	0	46
MI	727	76	853	354	638	0	623	81	1,170	1,366	473	6,361
MN	152	1,115	2,424	15,074	320	0	135	357	3,330	2,552	643	26,102
MO	244	183	794	967	2,964	0	88	82	977	4,040	27	10,366
MS	22	10	108	256	0	0	55	33	134	928	28	1,574
MT	71	0	3	50	469	0	6	40	0	47	3	689
NC	880	869	1,241	674	905	0	1,746	4,811	1,629	721	210	13,686
ND	0	124	34	0	0	0	0	42	20	433	18	671
NE	26	30	84	47	891	0	46	93	412	154	0	1,783
NH	122	0	0	0	507	0	4	0	178	53	0	864
NJ	693	97	1,393	7,704	2,915	0	1,374	0	916	4,852	0	19,944
NM	306	0	222	7	0	0	563	0	0	247	0	1,345
NV	67	10	420	6	0	0	0	22	6	8	72	611
NY	1,639	934	1,896	2,067	2,039	0	561	379	1,038	5,902	196	16,651
OH	5,108	584	1,986	1,611	1,022	0	825	186	3,294	4,152	139	18,907
OK	600	41	307	157	140	0	66	113	183	162	4	1,773
OR	376	94	224	755	77	0	2,127	44	442	342	156	4,637
PA	1,726	550	932	4,296	778	0	1,109	186	1,569	10,508	435	22,089
PR	25	0	0	0	55	0	199	0	39	0	0	318
RI	194	8	0	3	143	0	26	0	160	300	27	861
SC	59	171	215	79	0	0	30	0	342	125	14	1,035
SD	24	0	0	0	0	0	4	276	26	10	22	362
TN	1,377	71	405	296	934	0	257	118	1,221	300	11	4,990
TX	353	132	290	11,000	519	0	1,719	2,465	2,713	8,592	354	28,137
UT	112	55	242	8	68	0	1	18	257	1,056	218	2,035
VA	163	47	198	116	0	0	103	128	3,510	368	49	4,682
VT	0	9	13	0	0	0	0	7	34	0	1,211	1,274
WA	840	106	715	565	197	0	757	97	941	527	19	4,764
WI	1,489	266	1,439	141	247	0	1,725	155	790	2,168	109	8,529
WV	0	32	20	0	37	0	0	0	13	192	125	419
WY	24	25	44	0	0	0	0	14	0	0	78	185
REPORT TOTAL	35,627	8,595	24,710	63,889	34,204	10	29,413	12,884	40,911	81,303	8,223	339,769
