State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Marine Mammals	Nonhuman_Primates	Other_Farm_Animals	Pig	Rabbits	Sheep	Total
AK	645	202	2	8	24	0	0	0	0	0	0	881
AL	828	156	702	0	164	0	1,122	197	610	782	10	4,571
AR	12	0	1	211	0	0	75	38	138	499	0	974
AZ	62	216	374	57	11	0	32	23	441	236	40	1,492
CA	5,680	659	1,350	5,442	4,256	0	3,031	431	3,761	12,009	1,432	38,051
CO	489	178	291	777	432	0	0	60	670	342	630	3,869
CT	76	32	303	215	171	0	120	0	612	146	5	1,680
DC	1,324	37	18	219	194	0	88	0	1,089	122	23	3,114
DE	99	62	58	1,559	60	0	0	73	70	5,557	455	7,993
FL	1,037	322	232	485	370	0	341	94	932	349	184	4,346
GA	4,393	418	545	287	3,285	0	2,066	58	923	738	75	12,788
HI	0	0	0	24	23	0	0	0	67	0	0	114
IA	567	436	644	730	646	0	16	121	550	4,174	135	8,019
ID	48	8	27	0	0	0	0	41	0	2	31	157
IL	1,882	525	1,712	751	2,494	0	520	267	729	3,097	984	12,961
IN	1,673	97	960	977	1,514	0	165	203	722	1,385	59	7,755
KS	113	22	371	517	61	0	160	21	87	413	0	1,765
KY	11	28	121	163	404	0	114	52	384	817	38	2,132
LA	780	186	406	4	190	0	1,490	24	233	645	0	3,958
MA	1,318	101	1,572	5,506	4,162	0	2,107	173	3,288	8,100	631	26,958
MD	2,030	75	412	7,402	4,737	0	2,884	366	1,673	1,822	326	21,727
ME	6	0	0	0	0	0	0	7	35	0	0	48
MI	997	149	1,429	1,327	586	0	531	104	1,810	2,871	305	10,109
MN	1,223	930	2,181	15,716	313	0	213	273	3,198	6,172	592	30,811
MO	295	286	548	2,724	3,098	0	38	67	1,254	2,839	10	11,159
MS	6	6	67	42	12	0	45	24	83	790	0	1,075
MT	40	1	0	22	407	0	5	6	0	210	45	736
NC	409	864	987	752	684	0	1,412	4,388	2,630	1,272	394	13,792
ND	0	163	31	0	0	0	0	0	0	1,339	0	1,533
NE	101	130	162	880	2,401	0	36	167	211	1,114	0	5,202
NH	60	11	0	13	47	0	12	0	206	2	41	392
NJ	1,134	49	1,685	7,794	1,893	0	1,720	18	1,079	5,471	21	20,864
NM	49	59	142	98	0	0	245	0	17	173	0	783
NV	0	0	66	0	0	0	0	0	0	0	24	90
NY	1,711	576	1,609	3,984	1,917	0	436	326	1,473	10,507	369	22,908
OH	4,193	562	1,745	1,075	2,255	0	723	333	4,813	4,195	155	20,049
OK	179	38	532	119	25	0	83	106	25	218	0	1,325
OR	488	14	19	830	64	0	1,633	3	758	218	159	4,186
PA	487	625	1,613	4,216	862	0	1,431	538	1,553	10,203	381	21,909
PR	0	0	0	0	92	0	201	0	51	3	0	347
RI	177	11	0	173	265	0	29	11	83	389	37	1,175
SC	17	199	216	279	75	0	32	0	269	192	11	1,290
SD	22	0	0	0	0	0	47	412	20	96	31	628
TN	1,040	66	395	264	924	0	266	171	1,082	281	8	4,497
TX	1,986	154	602	5,699	1,122	0	1,376	1,792	2,862	10,801	530	26,924
UT	267	86	263	60	58	0	5	24	260	620	195	1,838
VA	148	66	289	384	55	0	134	98	5,185	711	17	7,087
VT	0	19	19	0	0	0	0	4	22	67	955	1,086
WA	175	65	575	367	176	0	683	109	413	569	6	3,138
WI	1,088	221	1,587	524	481	0	1,738	78	839	1,759	257	8,572
WV	8	36	16	0	19	0	6	0	0	112	108	305
WY	88	9	33	0	0	0	0	12	0	0	97	239
REPORT TOTAL	39,461	9,155	26,912	72,676	41,029	0	27,411	11,313	47,210	104,429	9,806	389,402
