State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Total
AK	189	0	0	0	0	0	0	0	0	189
AL	577	141	485	11	66	215	514	430	18	2,457
AR	18	0	0	0	0	65	1,349	0	0	1,432
AZ	610	112	193	0	109	40	316	67	128	1,575
CA	2,920	325	1,038	775	525	1,525	5,436	9,233	1,053	22,830
CO	447	37	340	954	106	0	918	451	613	3,896
CT	219	0	50	85	53	51	236	185	0	879
DC	2,070	3	20	53	5	23	281	103	3	2,561
DE	10	21	15	20	0	0	17	597	0	680
FL	1,076	319	385	34	0	117	997	52	143	3,123
GA	1,867	133	292	419	1,278	1,356	407	1,127	89	6,968
HI	0	102	68	0	0	0	38	0	0	208
IA	1,154	222	181	274	62	0	737	385	23	3,038
ID	215	9	11	8	134	0	0	0	8	385
IL	584	268	731	111	656	268	539	618	182	3,957
IN	387	119	261	418	399	18	348	2,123	44	4,117
KS	302	22	102	892	38	45	144	25	0	1,570
KY	182	115	144	0	80	24	227	44	27	843
LA	905	184	614	26	0	1,334	86	197	0	3,346
MA	1,549	103	1,399	3,939	345	3,561	2,597	3,835	263	17,591
MD	1,646	17	238	4,312	1,311	3,936	1,388	2,148	101	15,097
ME	5	0	0	0	0	0	0	48	0	53
MI	67	65	440	198	0	377	509	951	216	2,823
MN	589	75	689	345	1,179	161	3,369	1,485	833	8,725
MO	161	137	602	356	1,393	96	2,017	892	113	5,767
MS	91	0	16	70	13	105	57	161	0	513
MT	294	0	0	0	0	7	0	0	0	301
NC	5,225	657	949	173	454	974	2,805	1,487	100	12,824
ND	12	30	32	0	0	0	14	0	0	88
NE	387	56	46	10	230	80	123	57	41	1,030
NH	113	0	0	0	0	0	115	26	0	254
NJ	744	30	376	7,630	2,461	807	265	3,170	7	15,490
NM	2	0	66	0	27	109	107	128	0	439
NV	145	85	523	0	54	0	113	20	0	940
NY	2,523	267	422	1,072	781	612	1,169	1,810	230	8,886
OH	2,041	467	881	1,043	930	89	1,874	3,357	247	10,929
OK	251	31	92	172	0	112	39	83	57	837
OR	455	10	13	219	2	885	225	22	223	2,054
PA	1,115	493	1,032	715	182	1,244	847	8,589	369	14,586
PR	0	0	0	0	0	79	5	28	0	112
RI	38	0	4	0	258	33	77	200	0	610
SC	139	143	205	0	0	256	160	71	3	977
SD	293	0	0	0	0	4	0	14	0	311
TN	1,218	66	173	69	255	83	599	33	4	2,500
TX	2,742	131	532	290	856	716	2,497	2,043	330	10,137
UT	179	14	102	50	86	23	212	767	171	1,604
VA	495	16	119	377	0	40	1,276	183	16	2,522
VT	25	45	15	0	0	0	0	6	2,955	3,046
WA	6,475	49	176	30	16	1,080	482	190	13	8,511
WI	921	197	1,458	1,244	111	2,698	1,109	3,357	225	11,320
WV	31	68	92	0	0	0	0	59	119	369
WY	59	13	30	0	0	0	18	1	13	134
REPORT TOTAL	43,762	5,397	15,652	26,394	14,455	23,248	36,658	50,858	8,980	225,404

