State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Total
AK	211	0	0	0	0	0	0	0	0	211
AL	377	177	438	0	175	76	304	376	28	1,951
AR	42	6	73	0	0	14	1,020	44	0	1,199
AZ	100	164	288	19	35	29	269	74	168	1,146
CA	7,310	328	1,172	2,895	1,204	2,092	4,763	7,232	1,041	28,037
CO	530	102	232	907	96	0	647	575	303	3,392
CT	743	0	79	38	10	110	199	58	1	1,238
DC	262	7	13	15	0	18	142	225	0	682
DE	14	9	13	36	0	0	0	1,010	0	1,082
FL	1,624	349	469	168	89	160	1,110	149	120	4,238
GA	2,023	233	169	681	786	2,051	630	377	70	7,020
HI	0	53	49	0	0	0	11	0	0	113
IA	257	141	265	204	287	0	820	978	67	3,019
ID	119	31	40	5	0	0	0	1	0	196
IL	392	286	579	329	1,408	292	899	787	63	5,035
IN	1,482	116	217	94	82	10	496	108	190	2,795
KS	217	44	129	943	20	64	126	39	0	1,582
KY	288	165	263	51	0	97	146	197	51	1,258
LA	328	72	433	39	0	1,105	102	81	0	2,160
MA	1,844	49	590	5,025	714	1,688	2,004	4,960	283	17,157
MD	5,215	29	216	3,211	2,097	4,244	1,615	2,238	34	18,899
ME	1	0	0	0	0	0	0	0	0	1
MI	304	148	1,376	324	30	1,876	1,019	1,677	197	6,951
MN	430	130	988	381	408	107	3,407	1,446	725	8,022
MO	458	193	684	7,729	1,503	138	1,723	2,871	109	15,408
MS	173	12	47	41	7	113	302	107	4	806
MT	49	0	0	0	0	17	0	0	0	66
NC	6,491	753	1,077	346	626	1,216	1,728	1,384	186	13,807
ND	19	56	34	0	0	0	18	0	0	127
NE	68	59	57	15	219	55	142	66	0	681
NH	215	3	0	0	0	4	45	11	4	282
NJ	901	188	1,069	2,722	3,158	982	407	6,126	43	15,596
NM	118	2	21	4	103	184	89	16	0	537
NV	217	45	375	0	0	0	99	10	0	746
NY	2,146	259	644	475	564	585	1,206	1,389	198	7,466
OH	2,609	521	1,263	1,301	735	200	2,172	2,428	261	11,490
OK	279	52	205	96	0	133	18	124	67	974
OR	75	37	73	353	42	2,101	179	211	177	3,248
PA	713	494	1,089	606	308	918	937	5,216	369	10,650
PR	36	0	0	0	36	132	22	18	0	244
RI	27	1	5	1	125	32	56	5	0	252
SC	5	157	239	24	0	312	208	115	0	1,060
SD	122	0	0	0	0	0	27	26	74	249
TN	806	159	451	28	324	284	1,021	245	0	3,318
TX	4,009	80	407	206	896	1,929	2,407	5,276	496	15,706
UT	44	4	80	0	70	12	116	833	196	1,355
VA	3,464	77	178	61	50	59	1,521	251	67	5,728
VT	39	21	46	0	0	0	13	4	1,974	2,097
WA	939	50	494	86	683	1,070	588	291	14	4,215
WI	1,104	255	1,653	981	678	2,570	743	2,199	100	10,283
WV	1,986	54	87	0	0	0	0	131	126	2,384
WY	12	0	0	0	0	0	0	0	32	44
REPORT TOTAL	51,237	6,171	18,369	30,440	17,568	27,079	35,516	51,985	7,838	246,203
