State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Marine Mammals	Nonhuman_Primates	Other_Farm_Animals	Pig	Rabbits	Sheep	Total
AK	218	0	0	0	20	0	0	0	0	0	0	238
AL	0	193	433	0	0	0	1	563	2	214	5	1,411
AR	109	18	28	16	1	0	83	0	0	0	0	255
AZ	177	37	80	3	0	0	5	8	0	12	0	322
CA	1,122	456	396	617	165	0	5,420	4,149	75	5,152	77	17,629
CO	630	3	5	51	178	0	0	0	10	10	6	893
CT	636	4	37	2	7	0	42	5	0	20	0	753
DC	325	3	0	0	3	0	100	0	0	0	0	431
DE	0	0	0	4	0	0	0	60	0	4,275	0	4,339
FL	572	50	36	1	76	0	6,015	0	0	6	0	6,756
GA	358	9	8	0	1,933	0	1,738	0	0	137	0	4,183
HI	0	0	0	0	0	0	0	0	6	0	0	6
IA	418	57	505	324	1,496	0	8	28	1,938	27	51	4,852
ID	206	0	0	0	0	0	0	0	0	0	0	206
IL	292	177	395	82	0	0	212	51	5	233	237	1,684
IN	240	169	299	6	494	0	135	0	405	13	0	1,761
KS	27	56	169	67	93	0	58	13	0	4	0	487
KY	42	0	0	0	0	0	0	287	174	0	55	558
LA	223	0	0	0	0	0	10,665	79	0	6	0	10,973
MA	416	0	95	170	690	0	5,991	652	1,081	1,665	38	10,798
MD	5,853	68	15	663	2,653	0	5,773	95	7	47	26	15,200
ME	34	0	0	0	0	0	0	38	0	107	0	179
MI	240	28	725	3,119	5	0	366	0	134	348	1	4,966
MN	4	13	127	87	78	0	37	113	1,895	133	131	2,618
MO	50	318	138	105	0	0	9	0	430	0	0	1,050
MS	0	6	14	2	0	0	25	18	0	0	0	65
MT	0	0	0	0	0	0	0	0	0	32	0	32
NC	281	57	156	202	24	0	15	0	18	55	0	808
ND	0	0	0	0	0	0	0	0	0	46	178	224
NE	299	0	0	0	319	0	0	0	0	0	0	618
NH	0	0	0	0	0	0	0	0	0	0	0	0
NJ	0	88	640	255	947	0	722	0	12	403	0	3,067
NM	380	0	30	0	171	0	1,308	0	0	2	0	1,891
NV	0	0	0	0	0	0	0	0	0	0	9	9
NY	447	9	233	215	877	0	367	60	13	193	35	2,449
OH	833	152	103	1,395	163	0	75	34	47	261	1	3,064
OK	104	0	10	0	5	0	467	11	0	20	0	617
OR	218	0	0	0	0	0	1,187	0	5	0	0	1,410
PA	1,708	79	452	593	535	0	567	402	179	1,133	187	5,835
PR	0	0	0	0	0	0	0	0	0	0	0	0
RI	135	0	0	0	127	0	16	19	112	0	85	494
SC	6,826	7	3	6	22	0	3,884	32	0	0	0	10,780
SD	0	0	0	0	0	0	0	215	0	0	75	290
TN	241	2	0	0	0	0	0	0	0	0	0	243
TX	2,645	56	184	245	170	0	3,002	770	201	1,462	692	9,427
UT	0	0	0	0	0	0	0	0	5	63	39	107
VA	677	1	9	3	18	0	9	0	258	19	2	996
VT	1	0	0	0	0	0	0	0	0	0	0	1
WA	599	0	158	163	22	0	4,621	65	4	760	0	6,392
WI	1,575	20	3,885	93	124	0	1,512	295	618	361	20	8,503
WV	0	0	0	0	0	0	0	0	0	0	0	0
WY	60	0	0	0	0	0	0	2	0	0	77	139
REPORT TOTAL	29,221	2,136	9,368	8,489	11,416	0	54,435	8,064	7,634	17,219	2,027	150,009
