State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Total
AK	188	0	0	0	0	0	0	0	0	188
AL	1,984	41	392	43	72	281	61	57	3	2,934
AR	85	28	302	4	2	126	22	514	0	1,083
AZ	1,109	352	572	9	26	0	32	65	20	2,185
CA	16,461	386	657	5,982	207	2,700	256	11,711	274	38,634
CO	2,399	309	497	303	25	1	16	490	187	4,227
CT	367	17	126	45	0	193	0	26	0	774
DC	7,782	4	5	382	15	114	6	28	0	8,336
DE	644	67	98	0	0	0	0	5,313	34	6,156
FL	1,016	61	280	62	0	727	14	27	18	2,205
GA	2,770	327	1,166	437	1,033	211	147	1,403	7	7,501
HI	229	60	129	0	0	0	0	13	14	445
IA	2,306	191	290	414	1,513	6	306	45	414	5,485
ID	26	0	0	0	0	0	0	18	0	44
IL	1,293	568	1,829	1,411	8	346	948	1,082	0	7,485
IN	4,798	168	1,338	358	9,706	221	332	55	0	16,976
KS	21,415	3,013	9,657	4,989	24,409	1,551	3,265	5,170	879	74,348
KY	417	84	104	0	0	4	178	11	40	838
LA	170	524	146	0	0	2	0	6,151	56	7,049
MA	5,507	500	7,878	18,086	2,803	13,011	4,354	13,671	200	66,010
MD	4,265	18	383	3,022	908	3,020	47	1,232	63	12,958
ME	466	0	0	0	0	0	0	4	0	470
MI	1,020	124	348	9,325	32	39	4	1,228	182	12,302
MN	309	217	317	29,546	596	7	201	3,478	50	34,721
MO	483	1,052	1,809	1,284	2,309	87	851	226	25	8,126
MS	63	0	16	0	0	0	0	48	23	150
MT	398	1	0	0	0	5	0	0	0	404
NC	407	121	408	3,894	79	89	156	4,386	79	9,619
ND	178	95	98	2	0	0	24	20	10	427
NE	746	0	156	0	429	88	28	3	0	1,450
NH	511	0	0	0	0	0	2	0	0	513
NJ	505	843	3,085	5,967	17,669	1,702	121	6,045	2	35,939
NM	38	0	217	0	0	132	1	16	0	404
NV	231	23	13	7	0	0	1	4	0	279
NY	6,382	376	597	1,126	255	784	20	1,091	733	11,364
OH	111	1,066	1,248	42,133	35	290	32	5,278	0	50,193
OK	844	185	431	1,804	0	19	3	47	1	3,334
OR	1,069	6	4	0	0	1,325	0	25	72	2,501
PA	5,205	862	1,697	535	270	586	461	6,482	790	16,888
PR	0	3	42	0	0	4,394	3	45	0	4,487
RI	89	2	16	29	4	0	0	295	0	435
SC	1,331	22	31	121	64	138	0	12	6	1,725
SD	1,277	0	0	0	3	0	0	0	2	1,282
TN	885	268	627	96	213	7	76	77	1	2,250
TX	4,232	302	612	724	682	2,896	174	2,287	93	12,002
UT	503	153	167	0	279	0	23	34	6	1,165
VA	7,608	16	88	0	68	21	56	8	234	8,099
VT	139	0	0	14	0	0	0	6	191	350
WA	5,442	109	355	2,433	0	2,574	5	263	11	11,192
WI	1,497	206	4,234	1,044	127	6,084	420	10,622	39	24,273
WV	0	69	29	0	6	0	0	5	2	111
WY	155	6	2	3	3	0	1	0	94	264
REPORT TOTAL	117,355	12,845	42,496	135,634	63,850	43,781	12,647	89,117	4,855	522,580
