State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Nonhuman_Primates	Pig	Rabbits	Sheep	Total
AK	0	0	0	0	0	0	0	0	0	0
AL	118	0	0	0	0	0	4	23	0	145
AR	0	0	0	0	0	0	0	0	0	0
AZ	0	0	0	0	0	0	0	0	0	0
CA	57	1	0	437	78	0	0	960	0	1,533
CO	61	0	64	279	76	0	0	9	41	530
CT	0	0	4	0	274	3	0	0	0	281
DC	0	0	0	170	0	0	0	0	0	170
DE	0	0	0	0	0	0	0	0	0	0
FL	9	0	5	186	0	0	7	2	0	209
GA	218	1	1	15	2,076	0	28	0	0	2,339
HI	0	0	0	0	0	0	0	0	0	0
IA	0	0	0	73	4,148	0	10	7	9	4,247
ID	0	0	0	0	0	0	0	0	0	0
IL	508	0	5	2	29	0	123	20	0	687
IN	32	30	27	167	12,470	0	0	42	0	12,768
KS	0	0	0	0	0	3	0	0	0	3
KY	0	0	0	0	0	0	0	0	0	0
LA	0	0	0	0	0	24	0	0	0	24
MA	111	0	0	760	82	64	149	108	0	1,274
MD	90	0	31	1,534	534	545	179	290	5	3,208
ME	0	0	0	0	0	0	0	0	0	0
MI	0	4	0	11,268	0	4	27	0	60	11,363
MN	0	0	0	21	3	0	14	0	0	38
MO	40	0	93	1,105	3,325	0	57	81	0	4,701
MS	0	0	0	0	0	0	0	0	0	0
MT	0	0	0	0	0	0	0	0	0	0
NC	44	0	7	0	0	0	0	0	0	51
ND	0	0	0	0	0	0	0	0	0	0
NE	0	0	0	0	0	0	0	0	20	20
NH	0	0	0	0	0	0	0	0	0	0
NJ	48	1	1,467	3,443	5,492	25	2	491	0	10,969
NM	24	0	58	192	0	16	0	0	0	290
NV	0	0	0	0	0	0	0	0	0	0
NY	306	0	55	1,890	178	1	0	11	0	2,441
OH	54	0	1	208	70	104	0	48	0	485
OK	112	0	0	0	0	0	6	384	0	502
OR	96	0	0	0	0	0	0	0	0	96
PA	176	2	45	102	0	25	692	131	2	1,175
PR	0	0	0	0	0	0	0	0	0	0
RI	0	0	0	0	0	0	0	0	3	3
SC	0	0	0	0	0	0	0	0	0	0
SD	86	0	0	25	0	0	35	0	0	146
TN	402	0	0	6	57	0	32	0	0	497
TX	431	0	0	299	648	332	37	78	2	1,827
UT	0	0	0	48	569	0	0	0	0	617
VA	0	0	23	12	0	0	67	0	0	102
VT	0	0	0	5	0	0	0	0	0	5
WA	43	0	0	0	0	0	0	0	0	43
WI	119	6	0	0	0	0	0	0	0	125
WV	0	0	0	0	0	0	0	0	0	0
WY	0	0	0	0	0	0	0	0	0	0
REPORT TOTAL	3,185	45	1,886	22,247	30,109	1,146	1,469	2,685	142	62,914
