State	All_Other_Covered_Species	Cats	Dogs	Guinea_Pigs	Hamsters	Marine Mammals	Nonhuman_Primates	Other_Farm_Animals	Pig	Rabbits	Sheep	Total
AK	0	0	0	0	0	0	0	0	0	0	0	0
AL	175	0	0	65	0	0	76	0	0	87	0	403
AR	0	0	0	0	0	0	0	0	0	0	0	0
AZ	0	0	0	0	0	0	0	0	0	0	0	0
CA	1,725	0	48	219	19	0	55	0	0	399	0	2,465
CO	322	0	0	1,148	579	0	0	0	0	0	9	2,058
CT	0	0	50	0	0	0	50	0	0	0	0	100
DC	37	0	0	306	0	0	4	0	0	0	0	347
DE	0	0	0	0	0	0	0	0	0	0	0	0
FL	0	0	3	40	48	0	0	0	0	149	0	240
GA	329	6	0	16	2,004	0	4	3	0	1,619	0	3,981
HI	0	0	0	0	0	0	0	0	0	0	0	0
IA	0	0	0	159	8,473	0	0	0	0	0	1	8,633
ID	0	0	0	0	0	0	0	0	0	0	0	0
IL	0	0	0	222	14	0	0	10	289	231	0	766
IN	28	0	0	0	4	0	0	0	0	0	0	32
KS	0	0	0	0	374	0	8	0	0	0	0	382
KY	24	0	0	0	0	0	0	7	0	0	0	31
LA	95	0	0	0	0	0	63	0	0	32	0	190
MA	504	0	2	449	921	0	27	2	127	80	0	2,112
MD	108	0	7	8,178	1,942	0	401	6	145	575	0	11,362
ME	18	0	0	0	0	0	0	0	0	0	0	18
MI	0	0	0	10,430	0	0	85	0	1	0	52	10,568
MN	399	0	5	896	0	0	4	0	0	341	0	1,645
MO	92	105	0	110	20,945	0	0	0	0	54	0	21,306
MS	0	0	0	0	0	0	0	0	0	0	0	0
MT	0	0	0	0	0	0	0	0	0	0	0	0
NC	0	4	6	256	0	0	0	0	15	0	0	281
ND	0	0	0	0	0	0	0	0	0	0	0	0
NE	207	0	0	0	0	0	0	0	0	0	0	207
NH	0	0	0	0	0	0	0	0	0	0	0	0
NJ	26	0	228	1,612	1,511	0	72	0	0	876	0	4,325
NM	423	0	0	33	0	0	167	0	0	126	0	749
NV	0	0	0	0	0	0	0	0	0	0	0	0
NY	227	15	316	3,183	5,163	0	44	54	0	50	0	9,052
OH	209	0	7	1,178	232	0	285	0	0	483	0	2,394
OK	105	0	0	0	0	0	0	0	0	0	0	105
OR	0	0	0	0	0	0	0	0	0	0	0	0
PA	307	3	16	472	0	0	29	0	62	492	0	1,381
PR	0	0	0	0	0	0	0	0	0	0	0	0
RI	0	0	0	0	0	0	0	0	0	0	0	0
SC	11	0	0	0	24	0	0	0	0	0	0	35
SD	0	0	0	0	0	0	0	0	110	0	0	110
TN	590	0	0	0	0	0	0	0	21	0	0	611
TX	72	20	0	2,555	456	0	0	102	0	392	3	3,600
UT	0	0	0	1,975	5,126	0	0	0	0	0	0	7,101
VA	0	0	0	0	180	0	21	0	0	0	0	201
VT	1	0	0	72	0	0	0	0	0	0	0	73
WA	0	0	9	78	0	0	0	0	0	10	0	97
WI	159	0	0	0	0	0	0	3	0	0	0	162
WV	0	0	0	0	0	0	0	0	0	0	0	0
WY	0	0	0	0	0	0	0	0	0	0	0	0
REPORT TOTAL	6,193	153	697	33,652	48,015	0	1,395	187	770	5,996	65	97,123
