SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,UNDER5_MALE,UNDER5_FEM,AGE513_TOT,AGE513_MALE,AGE513_FEM,AGE1417_TOT,AGE1417_MALE,AGE1417_FEM,AGE1824_TOT,AGE1824_MALE,AGE1824_FEM,AGE16PLUS_TOT,AGE16PLUS_MALE,AGE16PLUS_FEM,AGE18PLUS_TOT,AGE18PLUS_MALE,AGE18PLUS_FEM,AGE1544_TOT,AGE1544_MALE,AGE1544_FEM,AGE2544_TOT,AGE2544_MALE,AGE2544_FEM,AGE4564_TOT,AGE4564_MALE,AGE4564_FEM,AGE65PLUS_TOT,AGE65PLUS_MALE,AGE65PLUS_FEM,AGE04_TOT,AGE04_MALE,AGE04_FEM,AGE59_TOT,AGE59_MALE,AGE59_FEM,AGE1014_TOT,AGE1014_MALE,AGE1014_FEM,AGE1519_TOT,AGE1519_MALE,AGE1519_FEM,AGE2024_TOT,AGE2024_MALE,AGE2024_FEM,AGE2529_TOT,AGE2529_MALE,AGE2529_FEM,AGE3034_TOT,AGE3034_MALE,AGE3034_FEM,AGE3539_TOT,AGE3539_MALE,AGE3539_FEM,AGE4044_TOT,AGE4044_MALE,AGE4044_FEM,AGE4549_TOT,AGE4549_MALE,AGE4549_FEM,AGE5054_TOT,AGE5054_MALE,AGE5054_FEM,AGE5559_TOT,AGE5559_MALE,AGE5559_FEM,AGE6064_TOT,AGE6064_MALE,AGE6064_FEM,AGE6569_TOT,AGE6569_MALE,AGE6569_FEM,AGE7074_TOT,AGE7074_MALE,AGE7074_FEM,AGE7579_TOT,AGE7579_MALE,AGE7579_FEM,AGE8084_TOT,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_TOT,AGE85PLUS_MALE,AGE85PLUS_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM
050,15,001,Hawaii,Hawaii County,1,185079,92821,92258,11845,6037,5808,20655,10640,10015,9780,5087,4693,15486,7966,7520,147859,73723,74136,142799,71057,71742,66529,33736,32793,43607,21894,21713,56872,28567,28305,26834,12630,14204,11845,6037,5808,11478,5945,5533,11521,5906,5615,12089,6288,5801,10833,5554,5279,11290,5628,5662,10935,5515,5420,10485,5276,5209,10897,5475,5422,12657,6262,6395,14866,7366,7500,15807,7836,7971,13542,7103,6439,9178,4731,4447,5830,2842,2988,4571,2102,2469,3652,1575,2077,3603,1380,2223,40.9,40.2,41.5
050,15,001,Hawaii,Hawaii County,2,185076,92819,92257,11845,6037,5808,20655,10640,10015,9780,5087,4693,15486,7966,7520,147856,73721,74135,142796,71055,71741,66528,33735,32793,43606,21893,21713,56871,28566,28305,26833,12630,14203,11845,6037,5808,11478,5945,5533,11521,5906,5615,12089,6288,5801,10833,5554,5279,11290,5628,5662,10935,5515,5420,10485,5276,5209,10896,5474,5422,12657,6262,6395,14866,7366,7500,15806,7835,7971,13542,7103,6439,9177,4731,4446,5830,2842,2988,4571,2102,2469,3652,1575,2077,3603,1380,2223,40.9,40.2,41.5
050,15,001,Hawaii,Hawaii County,3,185363,92892,92471,11866,6050,5816,20645,10626,10019,9721,5042,4679,15545,7994,7551,148148,73802,74346,143131,71174,71957,66515,33694,32821,43585,21862,21723,56859,28526,28333,27142,12792,14350,11866,6050,5816,11469,5946,5523,11512,5884,5628,12021,6244,5777,10909,5588,5321,11262,5622,5640,11010,5540,5470,10436,5241,5195,10877,5459,5418,12538,6203,6335,14763,7302,7461,15783,7813,7970,13775,7208,6567,9309,4800,4509,5916,2898,3018,4587,2108,2479,3684,1586,2098,3646,1400,2246,40.9,40.3,41.6
050,15,001,Hawaii,Hawaii County,4,187079,93608,93471,11995,6152,5843,20628,10675,9953,9497,4845,4652,15691,8044,7647,149787,74410,75377,144959,71936,73023,66527,33559,32968,43658,21843,21815,57093,28555,28538,28517,13494,15023,11995,6152,5843,11495,6011,5484,11452,5837,5615,11700,6023,5677,11169,5693,5476,11211,5600,5611,11246,5633,5613,10346,5183,5163,10855,5427,5428,12120,6016,6104,14426,7107,7319,15773,7748,8025,14774,7684,7090,9928,5109,4819,6260,3109,3151,4711,2186,2525,3767,1606,2161,3851,1484,2367,41.3,40.6,41.9
050,15,001,Hawaii,Hawaii County,5,189161,94486,94675,12210,6222,5988,20848,10776,10072,9304,4737,4567,15605,7952,7653,151495,75144,76351,146799,72751,74048,66784,33550,33234,44168,22040,22128,56695,28230,28465,30331,14529,15802,12210,6222,5988,11728,6145,5583,11413,5810,5603,11396,5810,5586,11220,5700,5520,11258,5666,5592,11473,5721,5752,10636,5283,5353,10801,5370,5431,11643,5824,5819,14072,6896,7176,15703,7696,8007,15277,7814,7463,11009,5738,5271,6731,3399,3332,4716,2207,2509,3804,1619,2185,4071,1566,2505,41.5,40.8,42.2
050,15,001,Hawaii,Hawaii County,6,191459,95356,96103,12204,6179,6025,21144,10940,10204,9256,4694,4562,15600,7904,7696,153510,75891,77619,148855,73543,75312,67394,33744,33650,44840,22325,22515,56191,27831,28360,32224,15483,16741,12204,6179,6025,11931,6209,5722,11515,5910,5605,11274,5720,5554,11280,5699,5581,11285,5662,5623,11750,5861,5889,10812,5356,5456,10993,5446,5547,11332,5660,5672,13562,6645,6917,15547,7585,7962,15750,7941,7809,11897,6227,5670,7290,3716,3574,4880,2270,2610,3878,1647,2231,4279,1623,2656,41.7,41.0,42.4
050,15,001,Hawaii,Hawaii County,7,193711,96450,97261,12270,6252,6018,21315,11027,10288,9273,4713,4560,15313,7734,7579,155490,76810,78680,150853,74458,76395,67763,33903,33860,45499,22641,22858,55788,27523,28265,34253,16560,17693,12270,6252,6018,12118,6288,5830,11519,5924,5595,11157,5659,5498,11107,5603,5504,11481,5748,5733,11950,5934,6016,11048,5480,5568,11020,5479,5541,11180,5536,5644,13060,6409,6651,15427,7565,7862,16121,8013,8108,12834,6692,6142,8083,4146,3937,5002,2350,2652,3865,1675,2190,4469,1697,2772,42.0,41.3,42.7
050,15,001,Hawaii,Hawaii County,8,195975,97445,98530,12379,6313,6066,21429,11057,10372,9174,4653,4521,15076,7611,7465,157578,77760,79818,152993,75422,77571,68124,34082,34042,46153,22958,23195,55443,27207,28236,36321,17646,18675,12379,6313,6066,12125,6238,5887,11583,5959,5624,11058,5626,5432,10913,5498,5415,11689,5815,5874,12074,5951,6123,11497,5735,5762,10893,5457,5436,11208,5532,5676,12752,6241,6511,15133,7385,7748,16350,8049,8301,13856,7232,6624,8771,4503,4268,5186,2481,2705,3832,1661,2171,4676,1769,2907,42.2,41.5,42.9
050,15,001,Hawaii,Hawaii County,9,198316,98548,99768,12261,6273,5988,21776,11204,10572,9114,4603,4511,14758,7410,7348,159758,78812,80946,155165,76468,78697,68600,34300,34300,46962,23406,23556,55066,26997,28069,38379,18655,19724,12261,6273,5988,12312,6259,6053,11698,6064,5634,11019,5576,5443,10619,5318,5301,11896,5987,5909,12267,6059,6208,11828,5881,5947,10971,5479,5492,11327,5654,5673,12352,6044,6308,14928,7234,7694,16459,8065,8394,14856,7676,7180,9339,4812,4527,5494,2679,2815,3873,1700,2173,4817,1788,3029,42.4,41.7,43.1
050,15,001,Hawaii,Hawaii County,10,199981,99211,100770,12058,6168,5890,22123,11334,10789,9222,4700,4522,14442,7213,7229,161154,79321,81833,156578,77009,79569,68722,34218,34504,47431,23560,23871,54311,26556,27755,40394,19680,20714,12058,6168,5890,12468,6324,6144,12028,6265,5763,10956,5522,5434,10335,5136,5199,11822,5902,5920,12243,6045,6198,12131,6037,6094,11235,5576,5659,11404,5680,5724,12033,5907,6126,14571,7058,7513,16303,7911,8392,15288,7789,7499,10365,5383,4982,5852,2909,2943,3873,1734,2139,5016,1865,3151,42.6,41.9,43.2
