"Notes"	"County"	"County Code"	Deaths	Births	Death Rate
	"Queens County, NY"	"36081"	1440	335518	4.29
	"Richmond County, NY"	"36085"	276	61156	4.51
	"Rockland County, NY"	"36087"	231	56314	4.10
	"Suffolk County, NY"	"36103"	776	180218	4.31
	"Westchester County, NY"	"36119"	516	119597	4.31
	"Unidentified Counties, NY"	"36999"	2729	454668	6.00
	"Cumberland County, NC"	"37051"	604	62767	9.62
	"Durham County, NC"	"37063"	108	17260	6.26
	"Forsyth County, NC"	"37067"	481	51238	9.39
	"Guilford County, NC"	"37081"	605	67881	8.91
	"Mecklenburg County, NC"	"37119"	958	158580	6.04
	"Wake County, NC"	"37183"	869	140978	6.16
	"Unidentified Counties, NC"	"37999"	6499	854311	7.61
	"Unidentified Counties, ND"	"38999"	687	110908	6.19
	"Butler County, OH"	"39017"	372	51375	7.24
	"Cuyahoga County, OH"	"39035"	1529	167416	9.13
	"Franklin County, OH"	"39049"	1705	203885	8.36
	"Hamilton County, OH"	"39061"	1185	122351	9.69
	"Lorain County, OH"	"39093"	245	37456	6.54
	"Lucas County, OH"	"39095"	493	63908	7.71
	"Mahoning County, OH"	"39099"	158	17269	9.15
	"Montgomery County, OH"	"39113"	584	74893	7.80
	"Stark County, OH"	"39151"	371	46465	7.98
	"Summit County, OH"	"39153"	492	68053	7.23
	"Unidentified Counties, OH"	"39999"	4496	699583	6.43
	"Cleveland County, OK"	"40027"	68	11742	5.79
	"Oklahoma County, OK"	"40109"	1041	134585	7.73
	"Tulsa County, OK"	"40143"	808	104093	7.76
	"Unidentified Counties, OK"	"40999"	2517	334876	7.52
	"Clackamas County, OR"	"41005"	187	44224	4.23
	"Lane County, OR"	"41039"	202	39386	5.13
	"Marion County, OR"	"41047"	274	50513	5.42
	"Multnomah County, OR"	"41051"	552	105246	5.24
	"Washington County, OR"	"41067"	351	79397	4.42
	"Unidentified Counties, OR"	"41999"	1006	188134	5.35
	"Allegheny County, PA"	"42003"	962	144893	6.64
	"Berks County, PA"	"42011"	382	53872	7.09
	"Bucks County, PA"	"42017"	307	67654	4.54
	"Chester County, PA"	"42029"	302	61872	4.88
	"Dauphin County, PA"	"42043"	284	38097	7.45
	"Delaware County, PA"	"42045"	587	74234	7.91
	"Erie County, PA"	"42049"	269	35346	7.61
	"Lancaster County, PA"	"42071"	522	78599	6.64
	"Lehigh County, PA"	"42077"	330	46498	7.10
	"Luzerne County, PA"	"42079"	231	35091	6.58
	"Montgomery County, PA"	"42091"	452	99194	4.56
	"Northampton County, PA"	"42095"	189	32716	5.78
	"Philadelphia County, PA"	"42101"	2363	250406	9.44
	"Westmoreland County, PA"	"42129"	195	34908	5.59
	"York County, PA"	"42133"	307	55213	5.56
	"Unidentified Counties, PA"	"42999"	2900	468230	6.19
	"Providence County, RI"	"44007"	568	82875	6.85
	"Unidentified Counties, RI"	"44999"	190	40115	4.74
	"Charleston County, SC"	"45019"	319	54191	5.89
