"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","CRASH_YEAR","COUNTY","COUNTY_YEAR","MUNICIPALITY"
"2009018771","1","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009018979","1","0","MN","6","YL1OG8 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009024761","2","0","","7","999999999999","9999","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009024825","1","0","","1","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009025173","2","0","","7","T39307 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009025373","2","0","LA","7","R40672 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008070542","2","0","TN","6","U004037 ","2007","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008070759","1","0","","","EPN ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008070806","1","0","","1","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009005459","2","0","ME","7","09TRL57430 ","2008","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009005465","2","0","WI","7","29TRL1796Z ","2000","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009005738","1","0","PA","1","GPX-9447 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009005738","2","0","PA","1","TX42509 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009013445","1","0","ZZ","1","GXKIM4 ","2008","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009013505","2","0","","7","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009013505","3","0","","","T92WA ","212 ","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009013570","1","0","","","O ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009013634","2","0","PA","7","PF0Z24D ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009013656","1","0","","","8WW7 ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009013689","2","0","","7","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009013691","1","0","","7","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009013815","1","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009013972","1","0","","7","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009014226","1","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009015093","2","0","HW","8","M ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008039835","2","0","MS","7","033368A ","2005","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008040040","2","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008040135","4","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008040448","1","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008040448","2","0","","9","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008040478","1","0","PA","7","XSHB9I ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008041254","3","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008041254","4","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008041254","5","0","","3","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008041306","1","0","","1","NIA ","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008042109","2","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008042111","3","0","","","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008112136","1","0","WI","7","1X554 ","2009","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008112281","2","0","NJ","5","TAP-22F ","2009","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2008112914","1","0","PA","1","GKL8993 ","1991","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009000183","2","0","","7","","","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2012031503","3","0","ZZ","7","999999999999","9999","2008","67","TRAILVEH_2008_Philadelphia","67301"
"2009005178","1","0","PA","7","XP51135 ","2009","2008","67","TRAILVEH_2008_Philadelphia","67301"
